k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      28|[0.9984296226521923, -3.2549878683756144, 2.793712598918138, -0.1186485781186278, 0.0188340676883185, -1.0398305975011493, 1.9447536234581093, 0.8820318647962535, 0.4655984626706723, 1.395051899940332, -0.7548417449008508, 0.597384848836446, -0.2940180875823714, -1.4353976985854375, -0.8863267744945466, 0.2698661261810913, -0.5043919195533885, -0.6051758922379467, -0.9557106199366121, -1.035409827557248, 0.2859272876163959, 0.3772504823083819, 1.7474114918672106, 2.933890567249785, 0.4245726939488481, 1.9915485512112248, 1.0298343588008088, 1.0822087873975281, -0.8543924165755701, 0.7765517754535974, 0.2432903669162667, 0.3508643334098288, 0.2417650122350368, -0.0496523208935386, 0.4766168935349177, 0.4340547710892852, 1.118517497459807, 0.1810519721070335, 0.6218175850555403, 0.088360633910145, 0.7966006599377243, 0.2952591914243651, 0.6140605506085799, -0.1293383329083541, -0.4348095039413193, 1.1551324697705423, 0.7341348754879948, 0.1957380741193559, 0.1517811846049496, 1.0585694267562809, -0.574784433545762, -0.9408499162825038, -0.4519504099879364, -0.6188742214861225, 0.9919517727575453, 0.4178250263862833, -0.5465578593289913, 0.7090458292702446, 1.3711952556920186, 0.1809843383775955, 0.5616587564416604, 0.0837835886442162, 0.0062774754539905, 0.2049407548358273, 0.7329418208098026, 0.0018849510046817, 0.7773557612693593, 2.1411489460087454, 1.280863394454968, -0.4142092561477839, -0.685211795855294, 0.2832651975246511, -0.0394047915373288, 0.2950445860437324, -0.020975380260596, 0.2326588358171713, 0.4056961261958576, -1.5441870492226915, 0.15873019885089, -0.4353626922985063, -0.8693300316906762, 0.3036223687904316, 0.1846048966392173, 1.0853603926750335, 1.0836702267842448, 0.4516593334112725, -0.6971382769140332, 0.6513252648678794, -0.5871539808512647, 0.6452384128099712, -0.3364439406055142, -0.1158281628310216, 0.0859212557279722, 1.1576383302315367, 1.0845204815376135, 0.5320543709895742, -0.2238338500620869, 0.0215829458038058, 0.5413917985934461]|389.4266967773437500|      0.25000000|[2322, 154, 11, 165]                                                       |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 92 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 107 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.9860604989564001, -3.269605092589151, 2.770095848594554, -0.1355178293197563, 0.0196916853684322, -1.0416465139508415, 1.9023858242060758, 0.8436483522923736, 0.4617262177804483, 1.3572427259358275, -0.7425454762146894, 0.6024162028276896, -0.2787160264644749, -1.4189462958999177, -0.8851820968749573, 0.2746291518162067, -0.5005606417274859, -0.6212300368470974, -0.9460536578196939, -0.9860934162953064, 0.297314866386067, 0.3439307360277623, 1.7497848391597965, 2.8982063457565914, 0.3810515316919045, 1.9833216964914882, 1.0119105468722538, 1.073395655919476, -0.9195031558306475, 0.7924241333335668, 0.2294588464613606, 0.3754649147200509, 0.2633568967122601, -0.0407557462147707, 0.4691654059577052, 0.4185418143901066, 1.0550990452446618, 0.1645157742711272, 0.5908411557444022, 0.0443784850005029, 0.7458920263977813, 0.3035184106362285, 0.6173799020785281, -0.1430458194485355, -0.4186004192075745, 1.1504153254394716, 0.7023483241405837, 0.1419972477871463, 0.1342635244041756, 1.0830133501011179, -0.5352876484344282, -0.9772518750547953, -0.4524723470053353, -0.648942623127049, 1.0012939136471612, 0.4282552854701446, -0.5664023430689085, 0.704632155873281, 1.3813850883344958, 0.2009399950325304, 0.5728296179120316, 0.0873805945251736, -0.0302010175932419, 0.2459175505568095, 0.7460506279083655, -0.004333257933421, 0.7499170752441242, 2.1225749248410297, 1.2261300780043554, -0.4174168985216872, -0.6574952888881269, 0.2812827720249238, -0.0484862551356696, 0.2891397295376199, -0.0331303929994103, 0.2484039448527947, 0.3764502480961431, -1.5472025631393267, 0.1336934185306992, -0.4593785643519674, -0.8994288844350824, 0.2596216078854637, 0.1716960100193787, 1.1160340530501338, 1.0733482800710437, 0.4959568248215891, -0.7015995899016549, 0.6897364594986776, -0.5994208548438179, 0.6631111502402924, -0.3129708227403286, -0.1128509916759883, 0.0888763235121744, 1.1160190340836038, 1.1038656572865893, 0.5250847011342756, -0.2395236873952932, 0.020032535227866, 0.557969011318457]|388.0072937011718750|      0.50000000|[2352, 156, 11, 167]                                                       |  | trying linear partial model with 16 points | iterate success | actual_k=1
      30|[0.8652887752821087, -3.2662342027072673, 2.7280058779973655, -0.0864564487010757, 0.0721209244902616, -1.00167425426122, 1.9362703943643753, 0.8160435837227423, 0.4200425947884306, 1.3649043188241787, -0.6454799557410834, 0.6603406828513776, -0.2092244638661858, -1.4175767386776756, -0.8052219073595458, 0.348141838522616, -0.5196666240813261, -0.5587393440779792, -0.943783686989188, -1.0117489074433645, 0.2492273123284849, 0.3867379470931173, 1.8812284713780116, 2.9228435017811165, 0.4101734061087663, 2.0007761465960536, 1.0441556355844757, 1.0701220328289007, -0.9434482580606526, 0.7574499285515307, 0.179200111486955, 0.368033045521676, 0.3279127447763096, -0.0173478026300891, 0.4530034896485983, 0.3910854001808413, 1.0158321119344143, 0.2038100463876489, 0.6012682282318288, 0.0984014071865978, 0.7078423771772293, 0.3425397432847489, 0.6662960114166666, -0.2242476282825755, -0.3171928866753456, 1.1236916421533252, 0.7302533722104435, 0.164146284093496, 0.2626906250291116, 1.0498176253282032, -0.5160034161856532, -0.9387639177283619, -0.4759712286545634, -0.6779855400891711, 1.0199746502258826, 0.3567756662383066, -0.6390032869513756, 0.776233153495032, 1.4338933470852324, 0.2765078506944108, 0.5311573066311635, 0.0659852644732209, 0.003438339505183, 0.2887665398444632, 0.7277636070384496, -0.0561989315606205, 0.7674918295532094, 2.1361194477735306, 1.31562228724191, -0.399868691556632, -0.6435953856655431, 0.2242485534137864, -0.0018687205761783, 0.303468161936198, -0.0683020863527129, 0.3151680113781961, 0.4121624768458785, -1.5750358448835011, 0.1373907016640334, -0.4394615116495814, -0.8523593492205637, 0.2222336567095227, 0.1473179522786833, 1.0324171109679008, 1.0686978395685274, 0.4095751038888747, -0.7779498329264564, 0.6357040675370089, -0.6832435387503015, 0.696959201161013, -0.3213456416063283, -0.1291052591047035, 0.1257956377441055, 1.160716937797827, 1.0945956575233704, 0.4400190948911142, -0.2393009326183655, 0.0300215282324994, 0.522045135443459]|386.4156799316406250|      1.00000000|[2412, 160, 11, 171]                                                       |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | iterate success | actual_k=1
      31|[0.8652887752821087, -3.2662342027072673, 2.7280058779973655, -0.0864564487010757, 0.0721209244902616, -1.00167425426122, 1.9362703943643753, 0.8160435837227423, 0.4200425947884306, 1.3649043188241787, -0.6454799557410834, 0.6603406828513776, -0.2092244638661858, -1.4175767386776756, -0.8052219073595458, 0.348141838522616, -0.5196666240813261, -0.5587393440779792, -0.943783686989188, -1.0117489074433645, 0.2492273123284849, 0.3867379470931173, 1.8812284713780116, 2.9228435017811165, 0.4101734061087663, 2.0007761465960536, 1.0441556355844757, 1.0701220328289007, -0.9434482580606526, 0.7574499285515307, 0.179200111486955, 0.368033045521676, 0.3279127447763096, -0.0173478026300891, 0.4530034896485983, 0.3910854001808413, 1.0158321119344143, 0.2038100463876489, 0.6012682282318288, 0.0984014071865978, 0.7078423771772293, 0.3425397432847489, 0.6662960114166666, -0.2242476282825755, -0.3171928866753456, 1.1236916421533252, 0.7302533722104435, 0.164146284093496, 0.2626906250291116, 1.0498176253282032, -0.5160034161856532, -0.9387639177283619, -0.4759712286545634, -0.6779855400891711, 1.0199746502258826, 0.3567756662383066, -0.6390032869513756, 0.776233153495032, 1.4338933470852324, 0.2765078506944108, 0.5311573066311635, 0.0659852644732209, 0.003438339505183, 0.2887665398444632, 0.7277636070384496, -0.0561989315606205, 0.7674918295532094, 2.1361194477735306, 1.31562228724191, -0.399868691556632, -0.6435953856655431, 0.2242485534137864, -0.0018687205761783, 0.303468161936198, -0.0683020863527129, 0.3151680113781961, 0.4121624768458785, -1.5750358448835011, 0.1373907016640334, -0.4394615116495814, -0.8523593492205637, 0.2222336567095227, 0.1473179522786833, 1.0324171109679008, 1.0686978395685274, 0.4095751038888747, -0.7779498329264564, 0.6357040675370089, -0.6832435387503015, 0.696959201161013, -0.3213456416063283, -0.1291052591047035, 0.1257956377441055, 1.160716937797827, 1.0945956575233704, 0.4400190948911142, -0.2393009326183655, 0.0300215282324994, 0.522045135443459]|386.4156799316406250|      0.50000000|[2532, 168, 11, 179]                                                       |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 106 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      32|[0.8652887752821087, -3.2662342027072673, 2.7280058779973655, -0.0864564487010757, 0.0721209244902616, -1.00167425426122, 1.9362703943643753, 0.8160435837227423, 0.4200425947884306, 1.3649043188241787, -0.6454799557410834, 0.6603406828513776, -0.2092244638661858, -1.4175767386776756, -0.8052219073595458, 0.348141838522616, -0.5196666240813261, -0.5587393440779792, -0.943783686989188, -1.0117489074433645, 0.2492273123284849, 0.3867379470931173, 1.8812284713780116, 2.9228435017811165, 0.4101734061087663, 2.0007761465960536, 1.0441556355844757, 1.0701220328289007, -0.9434482580606526, 0.7574499285515307, 0.179200111486955, 0.368033045521676, 0.3279127447763096, -0.0173478026300891, 0.4530034896485983, 0.3910854001808413, 1.0158321119344143, 0.2038100463876489, 0.6012682282318288, 0.0984014071865978, 0.7078423771772293, 0.3425397432847489, 0.6662960114166666, -0.2242476282825755, -0.3171928866753456, 1.1236916421533252, 0.7302533722104435, 0.164146284093496, 0.2626906250291116, 1.0498176253282032, -0.5160034161856532, -0.9387639177283619, -0.4759712286545634, -0.6779855400891711, 1.0199746502258826, 0.3567756662383066, -0.6390032869513756, 0.776233153495032, 1.4338933470852324, 0.2765078506944108, 0.5311573066311635, 0.0659852644732209, 0.003438339505183, 0.2887665398444632, 0.7277636070384496, -0.0561989315606205, 0.7674918295532094, 2.1361194477735306, 1.31562228724191, -0.399868691556632, -0.6435953856655431, 0.2242485534137864, -0.0018687205761783, 0.303468161936198, -0.0683020863527129, 0.3151680113781961, 0.4121624768458785, -1.5750358448835011, 0.1373907016640334, -0.4394615116495814, -0.8523593492205637, 0.2222336567095227, 0.1473179522786833, 1.0324171109679008, 1.0686978395685274, 0.4095751038888747, -0.7779498329264564, 0.6357040675370089, -0.6832435387503015, 0.696959201161013, -0.3213456416063283, -0.1291052591047035, 0.1257956377441055, 1.160716937797827, 1.0945956575233704, 0.4400190948911142, -0.2393009326183655, 0.0300215282324994, 0.522045135443459]|386.4156799316406250|      0.25000000|[2652, 176, 11, 187]                                                       |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 106 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      33|[0.8542020092451121, -3.2450720388238996, 2.708672941156234, -0.0844616112034279, 0.0819082534375071, -0.9961705005366318, 1.9109583678671067, 0.7744020597180544, 0.4125878831083934, 1.3491761908173059, -0.6903977627104919, 0.6390784347809481, -0.2568476311492655, -1.4048501436892906, -0.8402314874575467, 0.3837879185912582, -0.513722181021279, -0.574641283764038, -0.9571753635568959, -1.030907123134229, 0.273910233853808, 0.3318657842351623, 1.9084929668987045, 2.938246111030478, 0.4118268032588101, 2.0467620259489205, 1.1059754472462022, 1.1072889259194945, -0.9602012314832601, 0.7788078602234946, 0.1453603387313948, 0.3768870514596723, 0.3277195095051778, -0.0145404923559111, 0.4137289436975025, 0.4115518669314012, 1.0661183152356535, 0.2061349235709283, 0.5747049530420504, 0.0810929030158324, 0.6657946335797204, 0.3029490437214789, 0.6712835539427641, -0.201718050030121, -0.3247060869833943, 1.113723156354565, 0.6872783876893094, 0.1284782910764357, 0.2244819447630675, 1.0251663990951987, -0.4979946867864957, -0.9177206684463028, -0.4831857342785759, -0.6573064855535451, 1.0371478638230096, 0.3295697337728392, -0.6461906564445163, 0.7647605756448812, 1.4113465177389588, 0.3084641123963683, 0.5363311199408297, 0.0452971918220749, 0.034421931523041, 0.2813841700854735, 0.7361074739920446, -0.0370958026319001, 0.7582060619533746, 2.159671698855083, 1.2963206576102615, -0.4447025267717356, -0.6377372590694028, 0.2451775501842165, -0.0062186835910766, 0.2693701819886715, -0.1184681512551964, 0.3301447169661897, 0.4158446833026168, -1.5811071601465756, 0.1162105702346698, -0.4029842465495627, -0.8387278608005387, 0.2057309460031176, 0.1950574736348144, 1.009810961787242, 1.0879900791553956, 0.4182418756071752, -0.7819036881819288, 0.6167073991004313, -0.670738196907811, 0.7043119492814318, -0.3368169659845934, -0.1252324570483117, 0.1362500870349665, 1.1334986889526801, 1.0666859761714218, 0.4362121957640893, -0.2454888855985955, 0.0093143396515088, 0.5331163489711906]|385.4973144531250000|      0.50000000|[2727, 181, 11, 192]                                                       |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | iterate success | actual_k=1
      34|[0.8542020092451121, -3.2450720388238996, 2.708672941156234, -0.0844616112034279, 0.0819082534375071, -0.9961705005366318, 1.9109583678671067, 0.7744020597180544, 0.4125878831083934, 1.3491761908173059, -0.6903977627104919, 0.6390784347809481, -0.2568476311492655, -1.4048501436892906, -0.8402314874575467, 0.3837879185912582, -0.513722181021279, -0.574641283764038, -0.9571753635568959, -1.030907123134229, 0.273910233853808, 0.3318657842351623, 1.9084929668987045, 2.938246111030478, 0.4118268032588101, 2.0467620259489205, 1.1059754472462022, 1.1072889259194945, -0.9602012314832601, 0.7788078602234946, 0.1453603387313948, 0.3768870514596723, 0.3277195095051778, -0.0145404923559111, 0.4137289436975025, 0.4115518669314012, 1.0661183152356535, 0.2061349235709283, 0.5747049530420504, 0.0810929030158324, 0.6657946335797204, 0.3029490437214789, 0.6712835539427641, -0.201718050030121, -0.3247060869833943, 1.113723156354565, 0.6872783876893094, 0.1284782910764357, 0.2244819447630675, 1.0251663990951987, -0.4979946867864957, -0.9177206684463028, -0.4831857342785759, -0.6573064855535451, 1.0371478638230096, 0.3295697337728392, -0.6461906564445163, 0.7647605756448812, 1.4113465177389588, 0.3084641123963683, 0.5363311199408297, 0.0452971918220749, 0.034421931523041, 0.2813841700854735, 0.7361074739920446, -0.0370958026319001, 0.7582060619533746, 2.159671698855083, 1.2963206576102615, -0.4447025267717356, -0.6377372590694028, 0.2451775501842165, -0.0062186835910766, 0.2693701819886715, -0.1184681512551964, 0.3301447169661897, 0.4158446833026168, -1.5811071601465756, 0.1162105702346698, -0.4029842465495627, -0.8387278608005387, 0.2057309460031176, 0.1950574736348144, 1.009810961787242, 1.0879900791553956, 0.4182418756071752, -0.7819036881819288, 0.6167073991004313, -0.670738196907811, 0.7043119492814318, -0.3368169659845934, -0.1252324570483117, 0.1362500870349665, 1.1334986889526801, 1.0666859761714218, 0.4362121957640893, -0.2454888855985955, 0.0093143396515088, 0.5331163489711906]|385.4973144531250000|      0.25000000|[2847, 189, 11, 200]                                                       |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 106 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[0.8598263903368655, -3.2317211425447705, 2.6963194465505933, -0.1147778591823661, 0.1193350356863198, -0.9920422541846495, 1.9574536098002833, 0.740306959563188, 0.4480384681720526, 1.3476750153065233, -0.6204226151665093, 0.6284440830940846, -0.2656047926342373, -1.4017954043638254, -0.8267800836198347, 0.3916144267784579, -0.4902610684471904, -0.5692530318093527, -0.9879502127670146, -1.0572285208852885, 0.2690838737459846, 0.3197501560344631, 1.944987250273074, 2.9847883791287337, 0.4229319024158728, 2.0679989489798003, 1.1470566144194911, 1.122121007086246, -0.9652554994507447, 0.7528354752731126, 0.1465471293660089, 0.3543890844737452, 0.3598093992700049, -0.018354200114681, 0.4118202395412847, 0.4088890345159602, 1.0753098238709533, 0.2047466196388537, 0.5688091215412998, 0.0986414341945719, 0.681922898097951, 0.2862389395902294, 0.7059672370216038, -0.205741706225448, -0.3542796107786808, 1.1323067928520576, 0.706531408711724, 0.1051426199354965, 0.2112258366684106, 1.0194266517602897, -0.5310354803264814, -0.9009819604142882, -0.4766613481620376, -0.6697456519944092, 1.0146506249376972, 0.3281344252414882, -0.6114424302464556, 0.7904416035796871, 1.4130350203524569, 0.294183783494503, 0.5842513432216878, 0.0767743392179834, 0.0252264699311673, 0.2947323223722251, 0.7743338907426488, -0.0344642863793211, 0.7787808782210615, 2.1518277978117992, 1.2817125848858635, -0.447951873522819, -0.6072440778556758, 0.286202930646166, -0.0288207670983541, 0.2447013817328834, -0.1013696436401432, 0.3327027050767647, 0.3778713963390945, -1.551946301236194, 0.1451232812027149, -0.4017746053916911, -0.7810434980653427, 0.2279293682786223, 0.248498548249856, 1.0576741460068309, 1.1268303765844279, 0.4125873205912216, -0.7880085722781912, 0.6250366113202325, -0.6814242456891911, 0.6412485565692578, -0.3350154670407597, -0.1371117759263503, 0.1110276301793549, 1.131695048488571, 1.0658090993670106, 0.4333873499634597, -0.236881628353656, 0.0078378013835654, 0.5789716023514311]|384.7351684570312500|      0.50000000|[2877, 191, 11, 202]                                                       |  | trying linear partial model with 16 points | iterate success | actual_k=1
      36|[0.8598263903368655, -3.2317211425447705, 2.6963194465505933, -0.1147778591823661, 0.1193350356863198, -0.9920422541846495, 1.9574536098002833, 0.740306959563188, 0.4480384681720526, 1.3476750153065233, -0.6204226151665093, 0.6284440830940846, -0.2656047926342373, -1.4017954043638254, -0.8267800836198347, 0.3916144267784579, -0.4902610684471904, -0.5692530318093527, -0.9879502127670146, -1.0572285208852885, 0.2690838737459846, 0.3197501560344631, 1.944987250273074, 2.9847883791287337, 0.4229319024158728, 2.0679989489798003, 1.1470566144194911, 1.122121007086246, -0.9652554994507447, 0.7528354752731126, 0.1465471293660089, 0.3543890844737452, 0.3598093992700049, -0.018354200114681, 0.4118202395412847, 0.4088890345159602, 1.0753098238709533, 0.2047466196388537, 0.5688091215412998, 0.0986414341945719, 0.681922898097951, 0.2862389395902294, 0.7059672370216038, -0.205741706225448, -0.3542796107786808, 1.1323067928520576, 0.706531408711724, 0.1051426199354965, 0.2112258366684106, 1.0194266517602897, -0.5310354803264814, -0.9009819604142882, -0.4766613481620376, -0.6697456519944092, 1.0146506249376972, 0.3281344252414882, -0.6114424302464556, 0.7904416035796871, 1.4130350203524569, 0.294183783494503, 0.5842513432216878, 0.0767743392179834, 0.0252264699311673, 0.2947323223722251, 0.7743338907426488, -0.0344642863793211, 0.7787808782210615, 2.1518277978117992, 1.2817125848858635, -0.447951873522819, -0.6072440778556758, 0.286202930646166, -0.0288207670983541, 0.2447013817328834, -0.1013696436401432, 0.3327027050767647, 0.3778713963390945, -1.551946301236194, 0.1451232812027149, -0.4017746053916911, -0.7810434980653427, 0.2279293682786223, 0.248498548249856, 1.0576741460068309, 1.1268303765844279, 0.4125873205912216, -0.7880085722781912, 0.6250366113202325, -0.6814242456891911, 0.6412485565692578, -0.3350154670407597, -0.1371117759263503, 0.1110276301793549, 1.131695048488571, 1.0658090993670106, 0.4333873499634597, -0.236881628353656, 0.0078378013835654, 0.5789716023514311]|384.7351684570312500|      0.25000000|[2997, 199, 11, 210]                                                       |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 106 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.8426656456156738, -3.185333119608359, 2.668359960777292, -0.0974500879376712, 0.0865436871083607, -1.0138054071760114, 1.9233313315938805, 0.728862812958114, 0.4419791032706599, 1.3466799989741165, -0.6242061520881359, 0.6535784114636157, -0.272188794245365, -1.3982601352473676, -0.8114481297714594, 0.3889463925245822, -0.5385837058137972, -0.5676634992871213, -0.9980737647176057, -1.026633812791844, 0.26179645738623, 0.3250385300313112, 1.9609152741853915, 2.982631133178244, 0.4346284917533115, 2.0964883927579754, 1.1291288268499011, 1.0867383758513132, -1.0024750483118667, 0.7440912669166175, 0.1525359959553279, 0.3560341261475915, 0.3414263505929716, -0.0148657446747659, 0.4333204294383827, 0.4387918502899448, 1.070640574626464, 0.171844540955117, 0.6130735931983405, 0.0654838445646403, 0.6529873261070072, 0.2709168874061327, 0.7169899950309737, -0.2074381885300694, -0.4094974616127952, 1.1536307445781535, 0.7088370301632732, 0.0670281941628968, 0.1474067695930323, 0.9777253974832303, -0.5617062796181879, -0.8947985078211736, -0.4605313086130454, -0.62012206220364, 1.0406787130180266, 0.3181995924515049, -0.5776057135970595, 0.760537370698678, 1.4609086877873103, 0.2885554994343915, 0.5993452871113771, 0.1132085087102108, 0.0439970413184394, 0.3018611261411789, 0.7576250441011809, -0.0660930743035484, 0.7739214022065409, 2.150956913191527, 1.274539426931954, -0.4082132529487696, -0.6541017143640289, 0.2906489529496719, -0.0674341388000344, 0.2603593150722445, -0.1273807350354523, 0.3283153088710845, 0.4011450739180406, -1.5308881535987986, 0.1463488174498986, -0.4408001956110126, -0.8010380399116703, 0.2335235309938574, 0.2949268157386441, 1.0752460067907965, 1.134488181649717, 0.384884346315677, -0.7840414886221184, 0.6466447942714384, -0.6727036042635022, 0.617983225868754, -0.3106436408634769, -0.1237653938743881, 0.09659233269828, 1.1098479610972072, 1.0553421424317324, 0.4413299765035156, -0.2277877351839038, 0.0199741486149439, 0.6236469029901343]|384.0506896972656250|      0.50000000|[3027, 201, 11, 212]                                                       |  | trying linear partial model with 16 points | iterate success | actual_k=1
      38|[0.724688848818675, -3.1900844129900046, 2.5951792114545067, -0.1374643129005526, -0.0275044667180628, -0.9102964907952591, 2.0317765367806655, 0.7690789258504028, 0.3723467908268923, 1.3649732745172787, -0.5995924179619491, 0.7166075673769727, -0.2719101995390652, -1.3737754614787399, -0.8394527429757784, 0.4439400060175219, -0.5071692808738871, -0.4918481680463994, -0.9573615291251566, -1.024461501421934, 0.2433359166399557, 0.301296299786903, 2.0708618473404794, 3.0488887352854364, 0.4283084734406074, 2.1266612728368566, 1.191172370026834, 1.0651472502594437, -1.0874277764600604, 0.7479066560531072, 0.2040175648070241, 0.2785208929941665, 0.4046040383802075, -0.0026119176595689, 0.4269397724694733, 0.5041493001380585, 0.9961863380161478, 0.1573434711466303, 0.5061242350850086, 0.0827219617162536, 0.599455291347321, 0.2390326213696675, 0.6971440859585639, -0.2190591128723333, -0.3983128575313432, 1.2139683141812903, 0.7096119159348074, 0.0922321192050653, 0.1376427286773189, 0.9927561351507371, -0.6431438707769013, -0.9768416216420036, -0.5003979061323217, -0.5732113703426608, 1.052884070362389, 0.3621466727473019, -0.5533641562094314, 0.8312223101421424, 1.506274112764763, 0.291142548075527, 0.6143489918577333, 0.0980094232980833, 0.0827887877393873, 0.3181584392533752, 0.7869886239793352, -0.1411855901205776, 0.7405147813885201, 2.163370656495033, 1.3427967678417467, -0.3123541535371467, -0.5485236972736615, 0.3184088227877047, -0.0536761187650651, 0.2159157305337263, -0.1498235331548881, 0.346112585121225, 0.3954852154604731, -1.5037750983820353, 0.0954002350297811, -0.4094440620415142, -0.8127041159207533, 0.2366766110705122, 0.2766083316412043, 1.1715176323440895, 1.1127612416109547, 0.3351288090542952, -0.809067799466753, 0.64010611190642, -0.6282646912274734, 0.6440503044277143, -0.295902604280195, -0.1301158463295513, 0.1241416116296565, 1.059155267410376, 1.0500518960737846, 0.4865256639429509, -0.2693431413443617, -0.007619183335249, 0.6646145093200926]|382.4511413574218750|      1.00000000|[3057, 203, 11, 214]                                                       |  | trying linear partial model with 16 points | iterate success | actual_k=1
