k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      53|[0.0385435516413937, 0.0691226061040456, 0.0181496648060919, -0.0333803489138437, -0.0020258015360116, 0.0209546799044291, -0.0500129792459776, 0.0139120634627072, 0.0037077986819187, -0.0103218508769705, -0.0246441325535687, -0.0092655137289927, -0.0262141587398875, 0.0040075283346077, -0.0016442135799943, -0.0349474074640939, -0.0218227114168467, -0.0200938505423806, 0.0197515665162753, -0.0321843699103206, -0.0315177715842783, -0.0340477537206127, 0.0136594697631703, 0.0306758933734472, 0.0233324604243302, 0.0038916510812669, -0.0014493329473822, 0.0243118483022182, -0.0088802743291066, -0.0131450891624085, 0.0883374879552021, 0.0042505745107949, -0.072076563013027, -0.0087243485261473, 0.0800779022851959, 0.0073140031326369, 0.0018794928272404, -0.0209877773596748, 0.0142860185121457, 0.1084314516633802, 0.0332515361277403, -0.0619810246593523, 0.0116257924704167, 0.0871316214885411, 0.0184965432840433, -0.0142436790784612, 0.0129253258425989, 0.0275942411407003, 0.145275161755913, 0.045664475317443, -0.037946326359666, 0.0264677594356677, 0.1146813628412737, 0.0303253928656433, -6.60329285295e-05, 0.0292983397968251, 0.0075352851431557]|  3.5704756208373891|      0.00048828|[5141, 1696, 53, 159]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      54|[0.0386534884017024, 0.0690075631350821, 0.0179441321890479, -0.0335700619500388, -0.0021520307345822, 0.0209515982651965, -0.0499547034655411, 0.0138661616962742, 0.0035920386955983, -0.0104158819998293, -0.0247845681947444, -0.0092913723331959, -0.0262770530079963, 0.0039727749792798, -0.0016390457382205, -0.0349799350649539, -0.0218612516977848, -0.0200941752386041, 0.0197540170050564, -0.0321732629655347, -0.0315232808751692, -0.0340740350848058, 0.0136506775996828, 0.0306749829905739, 0.0233439927134701, 0.0038685374859253, -0.0014737994057017, 0.0243027788667661, -0.0088900369054383, -0.0131479798385202, 0.0883107535741114, 0.0042064701219294, -0.0720498805908884, -0.0087058497499881, 0.0800784680555303, 0.007333318238607, 0.0019027402439788, -0.0210058130879578, 0.0142882918215083, 0.1083627729794807, 0.0331864792595984, -0.061946116243693, 0.0116297499936279, 0.0870568308453433, 0.0184663981776172, -0.0142614293462931, 0.0129014369624548, 0.0275970494339997, 0.1454084707108726, 0.0457091431574537, -0.0379730537100942, 0.0264646285183695, 0.1148070237938727, 0.0303389725643573, -2.84999212751e-05, 0.0293134896292312, 0.0075300204027293]|  2.0263766896570199|      0.00097656|[5238, 1728, 54, 162]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
      55|[0.0386534884017024, 0.0690075631350821, 0.0179441321890479, -0.0335700619500388, -0.0021520307345822, 0.0209515982651965, -0.0499547034655411, 0.0138661616962742, 0.0035920386955983, -0.0104158819998293, -0.0247845681947444, -0.0092913723331959, -0.0262770530079963, 0.0039727749792798, -0.0016390457382205, -0.0349799350649539, -0.0218612516977848, -0.0200941752386041, 0.0197540170050564, -0.0321732629655347, -0.0315232808751692, -0.0340740350848058, 0.0136506775996828, 0.0306749829905739, 0.0233439927134701, 0.0038685374859253, -0.0014737994057017, 0.0243027788667661, -0.0088900369054383, -0.0131479798385202, 0.0883107535741114, 0.0042064701219294, -0.0720498805908884, -0.0087058497499881, 0.0800784680555303, 0.007333318238607, 0.0019027402439788, -0.0210058130879578, 0.0142882918215083, 0.1083627729794807, 0.0331864792595984, -0.061946116243693, 0.0116297499936279, 0.0870568308453433, 0.0184663981776172, -0.0142614293462931, 0.0129014369624548, 0.0275970494339997, 0.1454084707108726, 0.0457091431574537, -0.0379730537100942, 0.0264646285183695, 0.1148070237938727, 0.0303389725643573, -2.84999212751e-05, 0.0293134896292312, 0.0075300204027293]|  2.0263766896570199|      0.00048828|[5335, 1760, 55, 165]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      56|[0.038619178920008, 0.0690184852860477, 0.0180237279794497, -0.0334163778594998, -0.0020568197303027, 0.0209269380800241, -0.0500603764490503, 0.0139416652690513, 0.0036791189598233, -0.0103723483797754, -0.0247722625605751, -0.009287381009595, -0.0263713996677205, 0.0040195166938383, -0.0015604323223794, -0.0349116976089547, -0.0219300853169668, -0.0200485077229701, 0.019741027766281, -0.0321511098078747, -0.0315453917145789, -0.0340569439536137, 0.0136320884691704, 0.0306613806502203, 0.0233429639574964, 0.0038162749123733, -0.0014276927972405, 0.0243508189090112, -0.0089668264658121, -0.0131803706321501, 0.088325261624881, 0.0041824916274698, -0.0719929703076898, -0.0086420551205255, 0.0800619243957799, 0.0072872351646913, 0.0018681909596475, -0.0209765487622975, 0.0142831949913398, 0.1082493820622522, 0.0332027836876099, -0.0618747144031162, 0.011641461415851, 0.0869620800279944, 0.0184147854865259, -0.0143537738386967, 0.0128756499082348, 0.0275585096714377, 0.1455663370859987, 0.0458012113306557, -0.0380695917714232, 0.026473440521434, 0.114929513619358, 0.0303608619979366, -5.50978225359e-05, 0.029427303901598, 0.0075611232534343]|  1.2900039219035260|      0.00097656|[5432, 1792, 56, 168]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
      57|[0.038619178920008, 0.0690184852860477, 0.0180237279794497, -0.0334163778594998, -0.0020568197303027, 0.0209269380800241, -0.0500603764490503, 0.0139416652690513, 0.0036791189598233, -0.0103723483797754, -0.0247722625605751, -0.009287381009595, -0.0263713996677205, 0.0040195166938383, -0.0015604323223794, -0.0349116976089547, -0.0219300853169668, -0.0200485077229701, 0.019741027766281, -0.0321511098078747, -0.0315453917145789, -0.0340569439536137, 0.0136320884691704, 0.0306613806502203, 0.0233429639574964, 0.0038162749123733, -0.0014276927972405, 0.0243508189090112, -0.0089668264658121, -0.0131803706321501, 0.088325261624881, 0.0041824916274698, -0.0719929703076898, -0.0086420551205255, 0.0800619243957799, 0.0072872351646913, 0.0018681909596475, -0.0209765487622975, 0.0142831949913398, 0.1082493820622522, 0.0332027836876099, -0.0618747144031162, 0.011641461415851, 0.0869620800279944, 0.0184147854865259, -0.0143537738386967, 0.0128756499082348, 0.0275585096714377, 0.1455663370859987, 0.0458012113306557, -0.0380695917714232, 0.026473440521434, 0.114929513619358, 0.0303608619979366, -5.50978225359e-05, 0.029427303901598, 0.0075611232534343]|  1.2900039219035260|      0.00048828|[5529, 1824, 57, 171]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      58|[0.038619178920008, 0.0690184852860477, 0.0180237279794497, -0.0334163778594998, -0.0020568197303027, 0.0209269380800241, -0.0500603764490503, 0.0139416652690513, 0.0036791189598233, -0.0103723483797754, -0.0247722625605751, -0.009287381009595, -0.0263713996677205, 0.0040195166938383, -0.0015604323223794, -0.0349116976089547, -0.0219300853169668, -0.0200485077229701, 0.019741027766281, -0.0321511098078747, -0.0315453917145789, -0.0340569439536137, 0.0136320884691704, 0.0306613806502203, 0.0233429639574964, 0.0038162749123733, -0.0014276927972405, 0.0243508189090112, -0.0089668264658121, -0.0131803706321501, 0.088325261624881, 0.0041824916274698, -0.0719929703076898, -0.0086420551205255, 0.0800619243957799, 0.0072872351646913, 0.0018681909596475, -0.0209765487622975, 0.0142831949913398, 0.1082493820622522, 0.0332027836876099, -0.0618747144031162, 0.011641461415851, 0.0869620800279944, 0.0184147854865259, -0.0143537738386967, 0.0128756499082348, 0.0275585096714377, 0.1455663370859987, 0.0458012113306557, -0.0380695917714232, 0.026473440521434, 0.114929513619358, 0.0303608619979366, -5.50978225359e-05, 0.029427303901598, 0.0075611232534343]|  1.2900039219035260|      0.00024414|[5626, 1856, 58, 174]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      59|[0.0386680385303865, 0.0689923940885883, 0.0179392761472649, -0.0335230575260354, -0.0021304707550044, 0.0209561800370912, -0.050062486931692, 0.0139027582342811, 0.003623251293942, -0.010386772647776, -0.0248055533382891, -0.0092799743800669, -0.0263804929307391, 0.0040030889215555, -0.0015611199912027, -0.0349330290222471, -0.0219484710558874, -0.0200580744569163, 0.0197475100918228, -0.0321383259701608, -0.03153529227748, -0.0340856820857684, 0.0136134239634129, 0.0306751953266788, 0.0233378525784914, 0.0038085918318033, -0.0014256546020552, 0.0243645023830508, -0.0089522012085583, -0.0131845782085421, 0.0883203550849394, 0.0042040952332481, -0.071980870531751, -0.0086183744465323, 0.0800575410669342, 0.0072961502370721, 0.0018457940439755, -0.0209587821535546, 0.0143090543717607, 0.1081967367665619, 0.0331832417200498, -0.0618523504154243, 0.0116589689441827, 0.0869482419064323, 0.0184008859757985, -0.0143662324578179, 0.0128696079198317, 0.0275570545522158, 0.1456443663312509, 0.0458116852513185, -0.038117526736745, 0.0265007562371432, 0.1149968803788203, 0.0303779167715706, -4.67300818815e-05, 0.0294509682539135, 0.007578237801471]|  0.9129993621757277|      0.00048828|[5723, 1888, 59, 177]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
      60|[0.0386680385303865, 0.0689923940885883, 0.0179392761472649, -0.0335230575260354, -0.0021304707550044, 0.0209561800370912, -0.050062486931692, 0.0139027582342811, 0.003623251293942, -0.010386772647776, -0.0248055533382891, -0.0092799743800669, -0.0263804929307391, 0.0040030889215555, -0.0015611199912027, -0.0349330290222471, -0.0219484710558874, -0.0200580744569163, 0.0197475100918228, -0.0321383259701608, -0.03153529227748, -0.0340856820857684, 0.0136134239634129, 0.0306751953266788, 0.0233378525784914, 0.0038085918318033, -0.0014256546020552, 0.0243645023830508, -0.0089522012085583, -0.0131845782085421, 0.0883203550849394, 0.0042040952332481, -0.071980870531751, -0.0086183744465323, 0.0800575410669342, 0.0072961502370721, 0.0018457940439755, -0.0209587821535546, 0.0143090543717607, 0.1081967367665619, 0.0331832417200498, -0.0618523504154243, 0.0116589689441827, 0.0869482419064323, 0.0184008859757985, -0.0143662324578179, 0.0128696079198317, 0.0275570545522158, 0.1456443663312509, 0.0458116852513185, -0.038117526736745, 0.0265007562371432, 0.1149968803788203, 0.0303779167715706, -4.67300818815e-05, 0.0294509682539135, 0.007578237801471]|  0.9129993621757277|      0.00024414|[5820, 1920, 60, 180]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      61|[0.0386318310215983, 0.0690124484212128, 0.0179797643792076, -0.0335084186297807, -0.0020472724897434, 0.0209494758391445, -0.0500878374575449, 0.0138811878693454, 0.0036327088639322, -0.010378221693932, -0.0247588191327644, -0.0092713227557972, -0.0263579543258899, 0.0040209252637381, -0.0015512547810912, -0.0349340940471666, -0.0219571467859094, -0.0200517954853841, 0.0197545935627785, -0.0321406330811579, -0.0315396634413051, -0.0340859307591126, 0.0136379216623855, 0.0306973835862535, 0.0233285154410746, 0.0038045717231015, -0.0014029938745401, 0.0243670643381953, -0.0089223299960415, -0.0131769156189124, 0.0883168407499471, 0.0042312926052691, -0.0719848025075995, -0.0086450285710693, 0.0801009380734954, 0.0073009991523969, 0.0018411920347803, -0.0209672694336802, 0.0143063870308414, 0.108128642188615, 0.0331785179487127, -0.0618362976718586, 0.0116421400764532, 0.0868662955144444, 0.0183864633156346, -0.0143737169180987, 0.0128681162504998, 0.027549117397344, 0.145738339574558, 0.0458474444660213, -0.0381492637970374, 0.0264966771708426, 0.1151016051592636, 0.030373288085467, -1.72130360923e-05, 0.0294969314863534, 0.0076086508265003]|  0.5619907531633940|      0.00048828|[5917, 1952, 61, 183]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
      62|[0.0386318310215983, 0.0690124484212128, 0.0179797643792076, -0.0335084186297807, -0.0020472724897434, 0.0209494758391445, -0.0500878374575449, 0.0138811878693454, 0.0036327088639322, -0.010378221693932, -0.0247588191327644, -0.0092713227557972, -0.0263579543258899, 0.0040209252637381, -0.0015512547810912, -0.0349340940471666, -0.0219571467859094, -0.0200517954853841, 0.0197545935627785, -0.0321406330811579, -0.0315396634413051, -0.0340859307591126, 0.0136379216623855, 0.0306973835862535, 0.0233285154410746, 0.0038045717231015, -0.0014029938745401, 0.0243670643381953, -0.0089223299960415, -0.0131769156189124, 0.0883168407499471, 0.0042312926052691, -0.0719848025075995, -0.0086450285710693, 0.0801009380734954, 0.0073009991523969, 0.0018411920347803, -0.0209672694336802, 0.0143063870308414, 0.108128642188615, 0.0331785179487127, -0.0618362976718586, 0.0116421400764532, 0.0868662955144444, 0.0183864633156346, -0.0143737169180987, 0.0128681162504998, 0.027549117397344, 0.145738339574558, 0.0458474444660213, -0.0381492637970374, 0.0264966771708426, 0.1151016051592636, 0.030373288085467, -1.72130360923e-05, 0.0294969314863534, 0.0076086508265003]|  0.5619907531633940|      0.00024414|[6014, 1984, 62, 186]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      63|[0.0386318310215983, 0.0690124484212128, 0.0179797643792076, -0.0335084186297807, -0.0020472724897434, 0.0209494758391445, -0.0500878374575449, 0.0138811878693454, 0.0036327088639322, -0.010378221693932, -0.0247588191327644, -0.0092713227557972, -0.0263579543258899, 0.0040209252637381, -0.0015512547810912, -0.0349340940471666, -0.0219571467859094, -0.0200517954853841, 0.0197545935627785, -0.0321406330811579, -0.0315396634413051, -0.0340859307591126, 0.0136379216623855, 0.0306973835862535, 0.0233285154410746, 0.0038045717231015, -0.0014029938745401, 0.0243670643381953, -0.0089223299960415, -0.0131769156189124, 0.0883168407499471, 0.0042312926052691, -0.0719848025075995, -0.0086450285710693, 0.0801009380734954, 0.0073009991523969, 0.0018411920347803, -0.0209672694336802, 0.0143063870308414, 0.108128642188615, 0.0331785179487127, -0.0618362976718586, 0.0116421400764532, 0.0868662955144444, 0.0183864633156346, -0.0143737169180987, 0.0128681162504998, 0.027549117397344, 0.145738339574558, 0.0458474444660213, -0.0381492637970374, 0.0264966771708426, 0.1151016051592636, 0.030373288085467, -1.72130360923e-05, 0.0294969314863534, 0.0076086508265003]|  0.5619907531633940|      0.00012207|[6111, 2016, 63, 189]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      64|[0.0386562380480713, 0.0690040438283294, 0.0179467033480638, -0.0335328490565647, -0.0020680359605239, 0.0209488518912101, -0.0500829816730705, 0.0138684983931563, 0.0036248753117404, -0.0103931212851251, -0.0247735544081842, -0.009266976903302, -0.0263584610334422, 0.0040077019610211, -0.0015495023091698, -0.0349266102940372, -0.0219596802409309, -0.0200508634315582, 0.0197662064368428, -0.0321403071901664, -0.0315430932459163, -0.034091606490783, 0.0136268045781791, 0.0307019609903948, 0.0233402528986032, 0.0038029120568423, -0.0014027341899969, 0.0243580645619821, -0.0089227457729338, -0.013174733973868, 0.0883083105349828, 0.0042260555757316, -0.0719727334008014, -0.0086346898920175, 0.0800944398598197, 0.0072974234472558, 0.0018354059290053, -0.0209713885890668, 0.0143098889083314, 0.1081037556237686, 0.0331606621556998, -0.0618229003283835, 0.011639269804213, 0.0868245681446451, 0.0183826076990038, -0.0143877598038531, 0.0128579346267004, 0.0275474703024858, 0.1457925514074829, 0.0458540912423389, -0.0381740669081994, 0.0265030483386112, 0.1151543041982707, 0.0303845071355309, -6.4637981915e-06, 0.029503260836009, 0.0076249124323221]|  0.4089484837206931|      0.00024414|[6208, 2048, 64, 192]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
      65|[0.0386497065924143, 0.0690379518293515, 0.0179719475761591, -0.0335219322251359, -0.0020010910196126, 0.0209640431362774, -0.0501171625166827, 0.0138927320914371, 0.0036392531758527, -0.0103837062149331, -0.024794037502222, -0.0093029915739898, -0.0263386116851682, 0.0040083903312067, -0.0015460622531142, -0.0349297556338366, -0.0219685251271106, -0.0200467115315617, 0.0197199400664124, -0.0321390000766915, -0.0315476884898242, -0.0340998641367027, 0.0136027467211233, 0.0307202800049878, 0.023319769467204, 0.0038177438198688, -0.0014249474703419, 0.0243462028142436, -0.0089415345092815, -0.0131369343082035, 0.0883120608591397, 0.0042498997818591, -0.0719609948811639, -0.0086020108770381, 0.080043809517279, 0.0073172845479547, 0.0018564848331913, -0.0209478331847046, 0.0143191842506526, 0.1080433098996525, 0.0331638551986183, -0.0618130854023098, 0.0116383847494059, 0.086762027783062, 0.0183790181347611, -0.0144328850447581, 0.0128230338964762, 0.0275454613927743, 0.1458842400649818, 0.045860566250218, -0.0382430956207005, 0.0265219255263054, 0.1152454651039261, 0.0304439337889452, 2.8762625085e-06, 0.0294986679232322, 0.0076378386077198]|  0.2328459322860275|      0.00048828|[6305, 2080, 65, 195]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
      66|[0.0386497065924143, 0.0690379518293515, 0.0179719475761591, -0.0335219322251359, -0.0020010910196126, 0.0209640431362774, -0.0501171625166827, 0.0138927320914371, 0.0036392531758527, -0.0103837062149331, -0.024794037502222, -0.0093029915739898, -0.0263386116851682, 0.0040083903312067, -0.0015460622531142, -0.0349297556338366, -0.0219685251271106, -0.0200467115315617, 0.0197199400664124, -0.0321390000766915, -0.0315476884898242, -0.0340998641367027, 0.0136027467211233, 0.0307202800049878, 0.023319769467204, 0.0038177438198688, -0.0014249474703419, 0.0243462028142436, -0.0089415345092815, -0.0131369343082035, 0.0883120608591397, 0.0042498997818591, -0.0719609948811639, -0.0086020108770381, 0.080043809517279, 0.0073172845479547, 0.0018564848331913, -0.0209478331847046, 0.0143191842506526, 0.1080433098996525, 0.0331638551986183, -0.0618130854023098, 0.0116383847494059, 0.086762027783062, 0.0183790181347611, -0.0144328850447581, 0.0128230338964762, 0.0275454613927743, 0.1458842400649818, 0.045860566250218, -0.0382430956207005, 0.0265219255263054, 0.1152454651039261, 0.0304439337889452, 2.8762625085e-06, 0.0294986679232322, 0.0076378386077198]|  0.2328459322860275|      0.00024414|[6402, 2112, 66, 198]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      67|[0.0387275164021858, 0.0690108795776003, 0.0179728708274073, -0.0335633895647097, -0.0020667045479167, 0.0209908137021418, -0.0501003146995485, 0.0138616021365953, 0.0035775502995658, -0.0104252025486559, -0.0248281446848829, -0.0093079930272317, -0.0263180467503554, 0.0039519477619021, -0.0015467401662468, -0.0349276958905733, -0.0219778796284846, -0.0200535368586796, 0.0197321120110668, -0.0321284389806371, -0.0315406392369017, -0.0341345479892419, 0.0136485807283219, 0.0307430818400458, 0.0233049888240264, 0.003822255175931, -0.0013752792003328, 0.02432082511703, -0.0089619936841242, -0.0131500219026295, 0.0882648582226026, 0.0042568113051042, -0.0719345941654566, -0.0086211185711386, 0.0800395862928331, 0.0073206490372637, 0.0018679509230075, -0.0209344236853013, 0.0143021610691042, 0.1079925842568246, 0.0331571835316625, -0.0618385310695976, 0.0116306626230742, 0.0867422280730248, 0.0183813526616896, -0.0144238380074898, 0.0128359097557584, 0.0275422018900665, 0.1459629944873224, 0.045892757252696, -0.0382872098201808, 0.0265552485056309, 0.1153007571410385, 0.0304921146296257, -1.55266256615e-05, 0.0295464792704729, 0.0076316270013005]|  0.1818883739804284|      0.00048828|[6499, 2144, 67, 201]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
      68|[0.0387275164021858, 0.0690108795776003, 0.0179728708274073, -0.0335633895647097, -0.0020667045479167, 0.0209908137021418, -0.0501003146995485, 0.0138616021365953, 0.0035775502995658, -0.0104252025486559, -0.0248281446848829, -0.0093079930272317, -0.0263180467503554, 0.0039519477619021, -0.0015467401662468, -0.0349276958905733, -0.0219778796284846, -0.0200535368586796, 0.0197321120110668, -0.0321284389806371, -0.0315406392369017, -0.0341345479892419, 0.0136485807283219, 0.0307430818400458, 0.0233049888240264, 0.003822255175931, -0.0013752792003328, 0.02432082511703, -0.0089619936841242, -0.0131500219026295, 0.0882648582226026, 0.0042568113051042, -0.0719345941654566, -0.0086211185711386, 0.0800395862928331, 0.0073206490372637, 0.0018679509230075, -0.0209344236853013, 0.0143021610691042, 0.1079925842568246, 0.0331571835316625, -0.0618385310695976, 0.0116306626230742, 0.0867422280730248, 0.0183813526616896, -0.0144238380074898, 0.0128359097557584, 0.0275422018900665, 0.1459629944873224, 0.045892757252696, -0.0382872098201808, 0.0265552485056309, 0.1153007571410385, 0.0304921146296257, -1.55266256615e-05, 0.0295464792704729, 0.0076316270013005]|  0.1818883739804284|      0.00024414|[6596, 2176, 68, 204]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      69|[0.0387275164021858, 0.0690108795776003, 0.0179728708274073, -0.0335633895647097, -0.0020667045479167, 0.0209908137021418, -0.0501003146995485, 0.0138616021365953, 0.0035775502995658, -0.0104252025486559, -0.0248281446848829, -0.0093079930272317, -0.0263180467503554, 0.0039519477619021, -0.0015467401662468, -0.0349276958905733, -0.0219778796284846, -0.0200535368586796, 0.0197321120110668, -0.0321284389806371, -0.0315406392369017, -0.0341345479892419, 0.0136485807283219, 0.0307430818400458, 0.0233049888240264, 0.003822255175931, -0.0013752792003328, 0.02432082511703, -0.0089619936841242, -0.0131500219026295, 0.0882648582226026, 0.0042568113051042, -0.0719345941654566, -0.0086211185711386, 0.0800395862928331, 0.0073206490372637, 0.0018679509230075, -0.0209344236853013, 0.0143021610691042, 0.1079925842568246, 0.0331571835316625, -0.0618385310695976, 0.0116306626230742, 0.0867422280730248, 0.0183813526616896, -0.0144238380074898, 0.0128359097557584, 0.0275422018900665, 0.1459629944873224, 0.045892757252696, -0.0382872098201808, 0.0265552485056309, 0.1153007571410385, 0.0304921146296257, -1.55266256615e-05, 0.0295464792704729, 0.0076316270013005]|  0.1818883739804284|      0.00012207|[6693, 2208, 69, 207]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      70|[0.0386953624454717, 0.0690384625060039, 0.0180082933063, -0.0335290076685533, -0.0020042820948497, 0.0209895375981896, -0.050130801812456, 0.013875395409916, 0.0036044644595746, -0.0103930231176913, -0.0247976930207491, -0.0093204515525916, -0.0263158149048938, 0.0039546073276605, -0.0015526021903856, -0.0349335600606879, -0.0219728749171092, -0.0200557219310788, 0.0197418529507502, -0.032131727465226, -0.0315296316763017, -0.0341212641564103, 0.0136346785966223, 0.0307466175054574, 0.0233036057389561, 0.0038271917466338, -0.0013733895893235, 0.0243209538368603, -0.0089615963445406, -0.0131536619540547, 0.0882642856956202, 0.0042624026085074, -0.0719297187229714, -0.0086225417866393, 0.0800319556611537, 0.0073186534967478, 0.0018696829601484, -0.0209409953931249, 0.0143036844258663, 0.1079830909640328, 0.0331687861831748, -0.0618373178141268, 0.011616600468858, 0.0867351063077956, 0.0183756592999195, -0.014427886615607, 0.0128274249738157, 0.0275466251835351, 0.1459791636830682, 0.045913398568079, -0.0382963239012593, 0.026561485901887, 0.1153174577679361, 0.0304918553134973, -1.06171358479e-05, 0.0295528447286116, 0.0076421178198396]|  0.0965866889154192|      0.00024414|[6790, 2240, 70, 210]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
      71|[0.0386953624454717, 0.0690384625060039, 0.0180082933063, -0.0335290076685533, -0.0020042820948497, 0.0209895375981896, -0.050130801812456, 0.013875395409916, 0.0036044644595746, -0.0103930231176913, -0.0247976930207491, -0.0093204515525916, -0.0263158149048938, 0.0039546073276605, -0.0015526021903856, -0.0349335600606879, -0.0219728749171092, -0.0200557219310788, 0.0197418529507502, -0.032131727465226, -0.0315296316763017, -0.0341212641564103, 0.0136346785966223, 0.0307466175054574, 0.0233036057389561, 0.0038271917466338, -0.0013733895893235, 0.0243209538368603, -0.0089615963445406, -0.0131536619540547, 0.0882642856956202, 0.0042624026085074, -0.0719297187229714, -0.0086225417866393, 0.0800319556611537, 0.0073186534967478, 0.0018696829601484, -0.0209409953931249, 0.0143036844258663, 0.1079830909640328, 0.0331687861831748, -0.0618373178141268, 0.011616600468858, 0.0867351063077956, 0.0183756592999195, -0.014427886615607, 0.0128274249738157, 0.0275466251835351, 0.1459791636830682, 0.045913398568079, -0.0382963239012593, 0.026561485901887, 0.1153174577679361, 0.0304918553134973, -1.06171358479e-05, 0.0295528447286116, 0.0076421178198396]|  0.0965866889154192|      0.00012207|[6887, 2272, 71, 213]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      72|[0.0386953624454717, 0.0690384625060039, 0.0180082933063, -0.0335290076685533, -0.0020042820948497, 0.0209895375981896, -0.050130801812456, 0.013875395409916, 0.0036044644595746, -0.0103930231176913, -0.0247976930207491, -0.0093204515525916, -0.0263158149048938, 0.0039546073276605, -0.0015526021903856, -0.0349335600606879, -0.0219728749171092, -0.0200557219310788, 0.0197418529507502, -0.032131727465226, -0.0315296316763017, -0.0341212641564103, 0.0136346785966223, 0.0307466175054574, 0.0233036057389561, 0.0038271917466338, -0.0013733895893235, 0.0243209538368603, -0.0089615963445406, -0.0131536619540547, 0.0882642856956202, 0.0042624026085074, -0.0719297187229714, -0.0086225417866393, 0.0800319556611537, 0.0073186534967478, 0.0018696829601484, -0.0209409953931249, 0.0143036844258663, 0.1079830909640328, 0.0331687861831748, -0.0618373178141268, 0.011616600468858, 0.0867351063077956, 0.0183756592999195, -0.014427886615607, 0.0128274249738157, 0.0275466251835351, 0.1459791636830682, 0.045913398568079, -0.0382963239012593, 0.026561485901887, 0.1153174577679361, 0.0304918553134973, -1.06171358479e-05, 0.0295528447286116, 0.0076421178198396]|  0.0965866889154192|      0.00006104|[6984, 2304, 72, 216]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      73|[0.0387115028292143, 0.0690292625855743, 0.0179949422518368, -0.0335411345333067, -0.0020258007612908, 0.0209860682934816, -0.050121474513476, 0.0138740426424144, 0.0035964650729632, -0.0104026367158367, -0.0248100048933442, -0.0093192634947195, -0.0263204107579297, 0.0039556267987071, -0.0015464866994952, -0.0349292717344255, -0.0219750481535304, -0.020054153084401, 0.0197398134675016, -0.0321294866508652, -0.0315304675237635, -0.0341267202574536, 0.0136258448029839, 0.0307452422581442, 0.0233049322078044, 0.0038258432956086, -0.0013750781851494, 0.0243153943463349, -0.0089656048198511, -0.0131532651399387, 0.0882641227601638, 0.0042555006135519, -0.0719265429606774, -0.0086217190050728, 0.0800309304578496, 0.0073208781827086, 0.0018702658654534, -0.0209408937849356, 0.0143026996394558, 0.107962930933466, 0.0331599121360578, -0.0618353691371496, 0.0116141855091684, 0.0867214840742777, 0.018371715951161, -0.0144277002549826, 0.0128190141597067, 0.0275468679462166, 0.1460001644310646, 0.0459235303832404, -0.0383070519325906, 0.0265631157307552, 0.1153363765181097, 0.0304980035830546, -1.43464973502e-05, 0.0295539969123973, 0.0076464006536423]|  0.0666023305781391|      0.00012207|[7081, 2336, 73, 219]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
      74|[0.0387038379249832, 0.0690384282927379, 0.0180127580222198, -0.0335328870119168, -0.0019805075038813, 0.0209991822849763, -0.0501254921452772, 0.0138788658184107, 0.0036076712369573, -0.0103915035092463, -0.0248091301639306, -0.0093176554783746, -0.0263334855939324, 0.0039607765302436, -0.0015185825851266, -0.034937308481887, -0.0219644597363804, -0.0200468692956321, 0.0197339205598945, -0.0321087663946471, -0.0315190079752723, -0.034103896711842, 0.0136162211911665, 0.0307337832820929, 0.0232986545804531, 0.0038238737165407, -0.0013728705452304, 0.0243357484217138, -0.0089825393847308, -0.0131578280908499, 0.088245147300562, 0.0042525688090384, -0.0719105859062275, -0.0086215640195872, 0.0800335288636627, 0.0073085477811177, 0.0018551335835016, -0.0209440951581123, 0.0143142066960996, 0.1079446505827912, 0.0331425315687121, -0.061810549841605, 0.01160736467449, 0.086697557001126, 0.0183658646318815, -0.014438709782802, 0.0128193730934801, 0.0275613196430165, 0.1460492367110451, 0.0459573800851149, -0.0383171262993522, 0.0265697140750048, 0.1153652989610226, 0.0305062241375197, 4.598183638e-07, 0.0295681007760381, 0.0076578240103144]|  0.0457963192719253|      0.00024414|[7178, 2368, 74, 222]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
