k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      12|[0.0259002987928432, 0.0553934121799147, 0.0347288109802295, -0.022920953034313, 0.0046626565443559, 0.0142678438841964, -0.0285706128771767, 0.0137723378640255, 0.0078063243832628, -0.0084982830319222, -0.018720811715557, -0.0066093747066445, -0.0111397211489993, 0.0004809103953757, -0.0047360860977714, -0.0345584457421747, -0.0265212900070783, -0.0167398280216712, 0.0179814864514753, -0.0224805280703718, -0.023289857806652, -0.0193247841284243, 0.0074623710156224, 0.0237403767464578, 0.0221211552967083, -0.0020377369800137, -0.0014105511383399, 0.0127349116180943, -0.0082014036889537, -0.0151512657902373, 0.1083495625800828, 0.0187390618452383, -0.0735200599113922, -0.0204082373827986, 0.0747116872663695, 0.0130771027486545, 0.0037520857853645, -0.0167301172049276, 0.0092249466137379, 0.0819878802561373, 0.0273237269945547, -0.0475348355717314, 0.0080823344828789, 0.0623680820003029, 0.0088940546551214, -0.011979559704856, 0.0150595139365096, 0.0144395572722479, 0.099535836544515, 0.0259197740571281, -0.0426549679008163, 0.0163552170169692, 0.0730932329984239, 0.0196792340326094, -0.0049477322192743, 0.0298487761464416, 0.0018024947444882]|13929.1184513327370951|      0.06250000|[1164, 384, 12, 36]                                                        |  | used linear model with 129 points | iterate failure | actual_k=16
      13|[0.0436650181791372, 0.0539160071242621, 0.0170621378733769, -0.0411433530461611, -0.0104156926890413, 0.0151842784868765, -0.0358234920791446, 0.0089291544707419, -0.0067496138650098, -0.0183280135343416, -0.0263818070187763, -0.0056212869713436, -0.0214041641749634, -0.0016307093139228, -0.0015209766862718, -0.0352197491674501, -0.0224028278796515, -0.0183423561456474, 0.0132701520055057, -0.031859038389623, -0.0326221677620854, -0.02279912980715, 0.0124793919113899, 0.0227671140703714, 0.0227915231854516, 0.0040390425756425, -0.0004258832568372, 0.0244597710420714, -0.0125008158602936, -0.0168398998677381, 0.0990221959394539, 0.0095434702349709, -0.0736700663135042, -0.0089011700907313, 0.0797692547931862, 0.0083140647231717, 0.0020819401164062, -0.0191466346078811, 0.0081014639511131, 0.096083062938342, 0.0279279924852812, -0.0571830105607648, 0.0093534003442972, 0.0773855095218838, 0.0131372854975075, -0.013649398903647, 0.0182997576198793, 0.0228812761109641, 0.1174092125740698, 0.0331627011162365, -0.0366745675086787, 0.0221064289714114, 0.0892417617408097, 0.0221922641108863, -0.003476859137512, 0.0290423391995648, -0.000329777114202]|7704.6333536646252469|      0.12500000|[1261, 416, 13, 39]                                                        |  | used linear model with 129 points | iterate success | actual_k=16
      14|[0.0436650181791372, 0.0539160071242621, 0.0170621378733769, -0.0411433530461611, -0.0104156926890413, 0.0151842784868765, -0.0358234920791446, 0.0089291544707419, -0.0067496138650098, -0.0183280135343416, -0.0263818070187763, -0.0056212869713436, -0.0214041641749634, -0.0016307093139228, -0.0015209766862718, -0.0352197491674501, -0.0224028278796515, -0.0183423561456474, 0.0132701520055057, -0.031859038389623, -0.0326221677620854, -0.02279912980715, 0.0124793919113899, 0.0227671140703714, 0.0227915231854516, 0.0040390425756425, -0.0004258832568372, 0.0244597710420714, -0.0125008158602936, -0.0168398998677381, 0.0990221959394539, 0.0095434702349709, -0.0736700663135042, -0.0089011700907313, 0.0797692547931862, 0.0083140647231717, 0.0020819401164062, -0.0191466346078811, 0.0081014639511131, 0.096083062938342, 0.0279279924852812, -0.0571830105607648, 0.0093534003442972, 0.0773855095218838, 0.0131372854975075, -0.013649398903647, 0.0182997576198793, 0.0228812761109641, 0.1174092125740698, 0.0331627011162365, -0.0366745675086787, 0.0221064289714114, 0.0892417617408097, 0.0221922641108863, -0.003476859137512, 0.0290423391995648, -0.000329777114202]|7704.6333536646252469|      0.06250000|[1358, 448, 14, 42]                                                        |  | used linear model with 129 points | iterate failure | actual_k=16
      15|[0.0436650181791372, 0.0539160071242621, 0.0170621378733769, -0.0411433530461611, -0.0104156926890413, 0.0151842784868765, -0.0358234920791446, 0.0089291544707419, -0.0067496138650098, -0.0183280135343416, -0.0263818070187763, -0.0056212869713436, -0.0214041641749634, -0.0016307093139228, -0.0015209766862718, -0.0352197491674501, -0.0224028278796515, -0.0183423561456474, 0.0132701520055057, -0.031859038389623, -0.0326221677620854, -0.02279912980715, 0.0124793919113899, 0.0227671140703714, 0.0227915231854516, 0.0040390425756425, -0.0004258832568372, 0.0244597710420714, -0.0125008158602936, -0.0168398998677381, 0.0990221959394539, 0.0095434702349709, -0.0736700663135042, -0.0089011700907313, 0.0797692547931862, 0.0083140647231717, 0.0020819401164062, -0.0191466346078811, 0.0081014639511131, 0.096083062938342, 0.0279279924852812, -0.0571830105607648, 0.0093534003442972, 0.0773855095218838, 0.0131372854975075, -0.013649398903647, 0.0182997576198793, 0.0228812761109641, 0.1174092125740698, 0.0331627011162365, -0.0366745675086787, 0.0221064289714114, 0.0892417617408097, 0.0221922641108863, -0.003476859137512, 0.0290423391995648, -0.000329777114202]|7704.6333536646252469|      0.03125000|[1455, 480, 15, 45]                                                        |  | used linear model with 129 points | iterate failure | actual_k=16
      16|[0.0348320147236413, 0.0577773296965457, 0.0212603663027135, -0.0294504641341638, 0.0003834472849127, 0.0185328675115887, -0.0456930178059072, 0.0156972875011292, -0.000701836094908, -0.0130250509260578, -0.0270623917016075, -0.0081557358634018, -0.0234925676097308, 0.0002414753855211, -0.00288697713541, -0.034668252176994, -0.0243398232453944, -0.020191290911487, 0.0149786925196901, -0.0329096121372789, -0.0346417667666917, -0.028313722255396, 0.0118931668044385, 0.0274244525802995, 0.0242698084830013, 0.0018333611098978, -0.0010635081334773, 0.0263284707957122, -0.0116325569711311, -0.0150060385599399, 0.0995202250489146, 0.0070709432554098, -0.0765393048149799, -0.0074440981981858, 0.0815391130012943, 0.0065018561971163, 0.0040136028399121, -0.0182798227284265, 0.0101398181839701, 0.1059505312298574, 0.0300520986069895, -0.0575014469795212, 0.0069055616727745, 0.080968468201562, 0.0163069937117258, -0.0129504919106185, 0.0194617351474085, 0.0225467096145388, 0.1210047521456625, 0.0401390360804273, -0.0326911378254314, 0.0228488219608913, 0.0935041204881624, 0.0224378383309857, -0.0037058896085107, 0.027589899009921, 0.0052239988977107]|2107.1371352363885308|      0.06250000|[1552, 512, 16, 48]                                                        |  | used linear model with 129 points | iterate success | actual_k=16
      17|[0.0348320147236413, 0.0577773296965457, 0.0212603663027135, -0.0294504641341638, 0.0003834472849127, 0.0185328675115887, -0.0456930178059072, 0.0156972875011292, -0.000701836094908, -0.0130250509260578, -0.0270623917016075, -0.0081557358634018, -0.0234925676097308, 0.0002414753855211, -0.00288697713541, -0.034668252176994, -0.0243398232453944, -0.020191290911487, 0.0149786925196901, -0.0329096121372789, -0.0346417667666917, -0.028313722255396, 0.0118931668044385, 0.0274244525802995, 0.0242698084830013, 0.0018333611098978, -0.0010635081334773, 0.0263284707957122, -0.0116325569711311, -0.0150060385599399, 0.0995202250489146, 0.0070709432554098, -0.0765393048149799, -0.0074440981981858, 0.0815391130012943, 0.0065018561971163, 0.0040136028399121, -0.0182798227284265, 0.0101398181839701, 0.1059505312298574, 0.0300520986069895, -0.0575014469795212, 0.0069055616727745, 0.080968468201562, 0.0163069937117258, -0.0129504919106185, 0.0194617351474085, 0.0225467096145388, 0.1210047521456625, 0.0401390360804273, -0.0326911378254314, 0.0228488219608913, 0.0935041204881624, 0.0224378383309857, -0.0037058896085107, 0.027589899009921, 0.0052239988977107]|2107.1371352363885308|      0.03125000|[1649, 544, 17, 51]                                                        |  | used linear model with 129 points | iterate failure | actual_k=16
      18|[0.0389349059914294, 0.0644826110913803, 0.0144585944874057, -0.0343691245702841, -0.0021005772028969, 0.0220854533896551, -0.0509705834210517, 0.0144166863604883, 0.0023270358127278, -0.0109936891950816, -0.0264931436305483, -0.0101127190870653, -0.0252896003571766, 0.0057191790211056, -0.0014418898673718, -0.0343154913615656, -0.0205780246063778, -0.0202695197903761, 0.0197227444315896, -0.0311318057555627, -0.0343700976765346, -0.0365386359214951, 0.0111864424330254, 0.0304553904069069, 0.0219719176591407, 0.0029064121123086, -0.0036594180530545, 0.024622106825554, -0.00950496741625, -0.0152727740224566, 0.0933062057513895, 0.0001357929048065, -0.0779087539905061, -0.0052648245083151, 0.0829352874165447, 0.009221495718532, 0.000176678986246, -0.018312409356237, 0.0154315964578057, 0.1113887770530859, 0.030103716221894, -0.0630476992497465, 0.0117505527140267, 0.0898415731741152, 0.0197726170476711, -0.0126545742957091, 0.0174456012907208, 0.0286134678950397, 0.1312913946205968, 0.0421889912980046, -0.0305060552555931, 0.0242320143468072, 0.1035622220359725, 0.0266673478944537, -0.0015697885025369, 0.028663506665092, 0.0035452261531509]|1032.4316385096153681|      0.06250000|[1746, 576, 18, 54]                                                        |  | used linear model with 129 points | iterate success | actual_k=16
      19|[0.0389349059914294, 0.0644826110913803, 0.0144585944874057, -0.0343691245702841, -0.0021005772028969, 0.0220854533896551, -0.0509705834210517, 0.0144166863604883, 0.0023270358127278, -0.0109936891950816, -0.0264931436305483, -0.0101127190870653, -0.0252896003571766, 0.0057191790211056, -0.0014418898673718, -0.0343154913615656, -0.0205780246063778, -0.0202695197903761, 0.0197227444315896, -0.0311318057555627, -0.0343700976765346, -0.0365386359214951, 0.0111864424330254, 0.0304553904069069, 0.0219719176591407, 0.0029064121123086, -0.0036594180530545, 0.024622106825554, -0.00950496741625, -0.0152727740224566, 0.0933062057513895, 0.0001357929048065, -0.0779087539905061, -0.0052648245083151, 0.0829352874165447, 0.009221495718532, 0.000176678986246, -0.018312409356237, 0.0154315964578057, 0.1113887770530859, 0.030103716221894, -0.0630476992497465, 0.0117505527140267, 0.0898415731741152, 0.0197726170476711, -0.0126545742957091, 0.0174456012907208, 0.0286134678950397, 0.1312913946205968, 0.0421889912980046, -0.0305060552555931, 0.0242320143468072, 0.1035622220359725, 0.0266673478944537, -0.0015697885025369, 0.028663506665092, 0.0035452261531509]|1032.4316385096153681|      0.03125000|[1843, 608, 19, 57]                                                        |  | used linear model with 129 points | iterate failure | actual_k=16
      20|[0.0389349059914294, 0.0644826110913803, 0.0144585944874057, -0.0343691245702841, -0.0021005772028969, 0.0220854533896551, -0.0509705834210517, 0.0144166863604883, 0.0023270358127278, -0.0109936891950816, -0.0264931436305483, -0.0101127190870653, -0.0252896003571766, 0.0057191790211056, -0.0014418898673718, -0.0343154913615656, -0.0205780246063778, -0.0202695197903761, 0.0197227444315896, -0.0311318057555627, -0.0343700976765346, -0.0365386359214951, 0.0111864424330254, 0.0304553904069069, 0.0219719176591407, 0.0029064121123086, -0.0036594180530545, 0.024622106825554, -0.00950496741625, -0.0152727740224566, 0.0933062057513895, 0.0001357929048065, -0.0779087539905061, -0.0052648245083151, 0.0829352874165447, 0.009221495718532, 0.000176678986246, -0.018312409356237, 0.0154315964578057, 0.1113887770530859, 0.030103716221894, -0.0630476992497465, 0.0117505527140267, 0.0898415731741152, 0.0197726170476711, -0.0126545742957091, 0.0174456012907208, 0.0286134678950397, 0.1312913946205968, 0.0421889912980046, -0.0305060552555931, 0.0242320143468072, 0.1035622220359725, 0.0266673478944537, -0.0015697885025369, 0.028663506665092, 0.0035452261531509]|1032.4316385096153681|      0.01562500|[1940, 640, 20, 60]                                                        |  | used linear model with 129 points | iterate failure | actual_k=16
      21|[0.037208066162318, 0.0690178971772933, 0.0190385921043015, -0.0294094405719393, -0.0004740012919556, 0.0198832226187081, -0.0496240203972431, 0.0163303975298216, 0.0039015432840815, -0.0103599772728792, -0.0228030495860957, -0.0105511784154584, -0.0254988586227895, 0.0044481256679061, -0.0023831435586922, -0.0353588809513104, -0.0198965411959131, -0.0187818559744519, 0.0186681728298204, -0.0307869377902481, -0.0322409008261625, -0.0315863544078028, 0.0132837216311927, 0.0299842903782877, 0.0242326805923627, 0.0063542814248425, -0.0011825473250676, 0.0255399176423345, -0.0087118023554527, -0.013296672816155, 0.0908846742792356, 0.0020331708692804, -0.0744886575934097, -0.0080960746288313, 0.080992027179635, 0.0080736125527394, 0.0013335406116103, -0.0211461114886535, 0.0146176234112502, 0.1096787395519075, 0.031260439871934, -0.063212390589631, 0.0119708063062532, 0.0887608386703097, 0.0193839639463556, -0.0133705751716339, 0.0156024910864297, 0.0284956467973331, 0.1330786487206798, 0.0437602747079831, -0.0332880346130657, 0.0250827722893034, 0.104723572232828, 0.0277652142190933, -0.0026777297988943, 0.0271207625990396, 0.0047503004434046]|686.4868760573317559|      0.03125000|[2037, 672, 21, 63]                                                        |  | used linear model with 129 points | iterate success | actual_k=16
