k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[-0.1599045842885971, -0.446689635515213, 0.5832761824131012, 1.7735376954078674, 0.9608887694776058, 0.963259395211935]|516.1846313476562500|      3.33333333|[5, 0, 0, 1]                                                               | 
       2|[-2.6501566022634506, 1.6155774295330048, -0.0017564594745636, 1.3660888671875, 0.8659189157187939, 1.3367755375802517]|495.1776123046875000|     11.11111111|[17, 0, 0, 4]                                                              | 
       3|[-2.6501566022634506, 1.6155774295330048, -0.0017564594745636, 1.3660888671875, 0.8659189157187939, 1.3367755375802517]|495.1776123046875000|      3.33333333|[29, 0, 0, 7]                                                              | 
       4|[-1.287763699889183, 0.4407214820384979, 2.551185578107834, 0.6391667127609253, 0.073591273277998, 1.7851051352918148]|317.3177490234375000|     11.11111111|[33, 0, 0, 8]                                                              | 
       5|[-1.287763699889183, 0.4407214820384979, 2.551185578107834, 0.6391667127609253, 0.073591273277998, 1.7851051352918148]|317.3177490234375000|      3.33333333|[45, 0, 0, 11]                                                             | 
       6|[-1.287763699889183, 0.4407214820384979, 2.551185578107834, 0.6391667127609253, 0.073591273277998, 1.7851051352918148]|317.3177490234375000|      1.00000000|[57, 0, 0, 14]                                                             | 
       7|[-1.4476682841777802, 0.2607962340116501, 2.06389656662941, 1.4127044081687927, -0.2502858228981495, 1.7483645305037498]|103.6720428466796875|      3.33333333|[69, 0, 0, 17]                                                             | 
       8|[-1.4476682841777802, 0.2607962340116501, 2.06389656662941, 1.4127044081687927, -0.2502858228981495, 1.7483645305037498]|103.6720428466796875|      1.00000000|[81, 0, 0, 20]                                                             | 
       9|[-1.3196115344762802, 0.1983990930020809, 2.1421330124139786, 1.875762790441513, -0.295386079698801, 1.6639251038432121]| 83.1851959228515625|      3.33333333|[89, 0, 0, 22]                                                             | 
      10|[-1.3196115344762802, 0.1983990930020809, 2.1421330124139786, 1.875762790441513, -0.295386079698801, 1.6639251038432121]| 83.1851959228515625|      1.00000000|[101, 0, 0, 25]                                                            | 
      11|[-1.1652811467647552, 0.50206184014678, 2.6806360632181168, 2.4383505284786224, -0.0835555829107761, 1.1816300973296165]| 70.7211837768554688|      3.33333333|[109, 0, 0, 27]                                                            | 
      12|[-1.1652811467647552, 0.50206184014678, 2.6806360632181168, 2.4383505284786224, -0.0835555829107761, 1.1816300973296165]| 70.7211837768554688|      1.00000000|[121, 0, 0, 30]                                                            | 
      13|[-1.1652811467647552, 0.50206184014678, 2.6806360632181168, 2.4383505284786224, -0.0835555829107761, 1.1816300973296165]| 70.7211837768554688|      0.30000000|[133, 0, 0, 33]                                                            | 
      14|[-1.1956417635083199, 0.4617767632007599, 2.6135352924466133, 2.3470804318785667, 0.1649961285293102, 1.2949643358588219]| 58.0223426818847656|      1.00000000|[145, 0, 0, 36]                                                            | 
      15|[-1.1956417635083199, 0.4617767632007599, 2.6135352924466133, 2.3470804318785667, 0.1649961285293102, 1.2949643358588219]| 58.0223426818847656|      0.30000000|[157, 0, 0, 39]                                                            | 
      16|[-1.1956417635083199, 0.4617767632007599, 2.6135352924466133, 2.3470804318785667, 0.1649961285293102, 1.2949643358588219]| 58.0223426818847656|      0.09000000|[169, 0, 0, 42]                                                            | 
      17|[-1.1992131567094475, 0.4845000952482224, 2.7152967005968094, 2.37493128888309, 0.0811752639710903, 1.4120707213878632]| 52.2210388183593750|      0.30000000|[173, 0, 0, 43]                                                            | 
      18|[-1.2225398703012615, 0.4754562741145492, 2.6588450968265533, 2.495498104020953, 0.1260535940527916, 1.3658444285392761]| 48.8911323547363281|      1.00000000|[177, 0, 0, 44]                                                            | 
      19|[-1.2225398703012615, 0.4754562741145492, 2.6588450968265533, 2.495498104020953, 0.1260535940527916, 1.3658444285392761]| 48.8911323547363281|      0.30000000|[189, 0, 0, 47]                                                            | 
      20|[-1.2225398703012615, 0.4754562741145492, 2.6588450968265533, 2.495498104020953, 0.1260535940527916, 1.3658444285392761]| 48.8911323547363281|      0.09000000|[201, 0, 0, 50]                                                            | 
      21|[-1.2644664777908474, 0.4422858757898211, 2.641068944707513, 2.4992256769910455, 0.1932922378182411, 1.3856172282248735]| 47.1929969787597656|      0.30000000|[213, 0, 0, 53]                                                            | 
      22|[-1.2644664777908474, 0.4422858757898211, 2.641068944707513, 2.4992256769910455, 0.1932922378182411, 1.3856172282248735]| 47.1929969787597656|      0.09000000|[225, 0, 0, 56]                                                            | 
      23|[-1.2788578907493502, 0.4143764497712255, 2.6035637985914946, 2.4906980134546757, 0.1641432978212833, 1.4547904524952173]| 47.0715866088867188|      0.30000000|[229, 0, 0, 57]                                                            | 
      24|[-1.2788578907493502, 0.4143764497712255, 2.6035637985914946, 2.4906980134546757, 0.1641432978212833, 1.4547904524952173]| 47.0715866088867188|      0.09000000|[241, 0, 0, 60]                                                            | 
