k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | k=2
       1|[9.775196015834808, 8.98568069934845, 9.275566935539246, 9.147382259368896, -0.4275180995464325, -0.6760247349739075, -0.9638646245002747, 0.316295862197876]|1555.1784667968750000|      3.33333333|[15, 2, 0, 1]                                                              | 
       2|[4.076802670955658, 7.592554330825806, 10.734997391700745, 9.547294467687607, -0.3108585998415947, -1.1484744846820831, -1.1857228130102158, -2.414280414581299]|1237.6740722656250000|     11.11111111|[29, 4, 0, 2]                                                              | 
       3|[8.92751544713974, 3.323982000350952, 5.3437992334365845, 6.307918161153793, 1.4093686416745186, 4.269717425107956, 1.1763155609369278, -4.476525545120239]|775.5470581054687500|     37.03703704|[43, 6, 0, 3]                                                              | 
       4|[3.7357725501060486, -2.95483660697937, 3.8799232244491577, -8.815542608499527, 3.7071782425045967, 8.531723231077194, 4.753268733620644, -1.401376724243164]|304.4241638183593750|    123.45679012|[57, 8, 0, 4]                                                              | 
       5|[3.7357725501060486, -2.95483660697937, 3.8799232244491577, -8.815542608499527, 3.7071782425045967, 8.531723231077194, 4.753268733620644, -1.401376724243164]|304.4241638183593750|     37.03703704|[85, 12, 0, 6]                                                             | 
       6|[3.7357725501060486, -2.95483660697937, 3.8799232244491577, -8.815542608499527, 3.7071782425045967, 8.531723231077194, 4.753268733620644, -1.401376724243164]|304.4241638183593750|     11.11111111|[113, 16, 0, 8]                                                            | 
       7|[4.827154576778412, -0.8280913829803467, 6.538701176643372, -6.386662870645523, 5.35031796246767, 0.6429331004619598, 2.1164980083703995, -7.136234283447266]|100.1599807739257812|     37.03703704|[127, 18, 0, 9]                                                            | 
       8|[4.827154576778412, -0.8280913829803467, 6.538701176643372, -6.386662870645523, 5.35031796246767, 0.6429331004619598, 2.1164980083703995, -7.136234283447266]|100.1599807739257812|     11.11111111|[155, 22, 0, 11]                                                           | 
       9|[2.844269573688507, -1.55246239900589, 5.728796064853668, -2.8223799765110016, 6.659321792423725, -2.1535270512104034, 1.960075005888939, -5.2682294845581055]| 93.7747726440429688|     37.03703704|[169, 24, 0, 12]                                                           | 
      10|[2.844269573688507, -1.55246239900589, 5.728796064853668, -2.8223799765110016, 6.659321792423725, -2.1535270512104034, 1.960075005888939, -5.2682294845581055]| 93.7747726440429688|     11.11111111|[197, 28, 0, 14]                                                           | 
      11|[2.1363967061042786, -0.4876654744148254, 7.822686016559601, -3.3655602037906647, 1.1150155141949654, 6.735642641782761, -0.6526922136545181, -4.52039247751236]| 89.6834106445312500|     37.03703704|[211, 30, 0, 15]                                                           | 
      12|[2.1363967061042786, -0.4876654744148254, 7.822686016559601, -3.3655602037906647, 1.1150155141949654, 6.735642641782761, -0.6526922136545181, -4.52039247751236]| 89.6834106445312500|     11.11111111|[239, 34, 0, 17]                                                           | 
      13|[2.1363967061042786, -0.4876654744148254, 7.822686016559601, -3.3655602037906647, 1.1150155141949654, 6.735642641782761, -0.6526922136545181, -4.52039247751236]| 89.6834106445312500|      3.33333333|[267, 38, 0, 19]                                                           | 
      14|[1.9831880182027817, -1.1146950721740723, 7.478150874376297, -4.731045991182327, 0.66376081854105, 6.583477184176445, -0.9365062862634659, -4.254784971475601]| 41.8083953857421875|     11.11111111|[281, 40, 0, 20]                                                           | 
      15|[1.9831880182027817, -1.1146950721740723, 7.478150874376297, -4.731045991182327, 0.66376081854105, 6.583477184176445, -0.9365062862634659, -4.254784971475601]| 41.8083953857421875|      3.33333333|[309, 44, 0, 22]                                                           | 
      16|[2.2038668543100357, -1.0487204641103745, 7.344283610582352, -5.630309969186783, 1.739745058119297, 4.6004649847745895, 1.1699209064245224, -3.415530413389206]| 32.3605575561523438|     11.11111111|[323, 46, 0, 23]                                                           | 
      17|[2.2038668543100357, -1.0487204641103745, 7.344283610582352, -5.630309969186783, 1.739745058119297, 4.6004649847745895, 1.1699209064245224, -3.415530413389206]| 32.3605575561523438|      3.33333333|[351, 50, 0, 25]                                                           | 
      18|[2.4737654477357864, -1.4774592071771622, 5.983161956071854, -3.0547784864902496, 2.6338320150971413, 4.172832205891609, 2.3434082120656967, -3.510923855006695]| 24.9275398254394531|     11.11111111|[379, 54, 0, 27]                                                           | 
      19|[2.0381334871053696, -1.3987564966082573, 2.7470498383045197, -1.1174840033054352, -1.0395466908812523, 3.498353496193886, 0.9406826347112656, -2.785375528037548]| 23.3431377410888672|     37.03703704|[407, 58, 0, 29]                                                           | 
      20|[2.0381334871053696, -1.3987564966082573, 2.7470498383045197, -1.1174840033054352, -1.0395466908812523, 3.498353496193886, 0.9406826347112656, -2.785375528037548]| 23.3431377410888672|     11.11111111|[435, 62, 0, 31]                                                           | 
      21|[2.0381334871053696, -1.3987564966082573, 2.7470498383045197, -1.1174840033054352, -1.0395466908812523, 3.498353496193886, 0.9406826347112656, -2.785375528037548]| 23.3431377410888672|      3.33333333|[463, 66, 0, 33]                                                           | 
      22|[2.2445803731679916, -1.9356845542788506, 5.577450543642044, -0.5198105275630951, 0.0367250815033913, 4.1934468895196915, 1.7563400715589523, -3.109420709311962]| 20.3686504364013672|     11.11111111|[477, 68, 0, 34]                                                           | 
      23|[2.2445803731679916, -1.9356845542788506, 5.577450543642044, -0.5198105275630951, 0.0367250815033913, 4.1934468895196915, 1.7563400715589523, -3.109420709311962]| 20.3686504364013672|      3.33333333|[505, 72, 0, 36]                                                           | 
      24|[2.5325130969285965, -2.1010637506842613, 5.646971508860588, -0.8757836520671844, 0.1598300933837891, 3.555704966187477, 0.6868783682584763, -2.1243550702929497]| 15.4384670257568359|     11.11111111|[519, 74, 0, 37]                                                           | 
      25|[2.5325130969285965, -2.1010637506842613, 5.646971508860588, -0.8757836520671844, 0.1598300933837891, 3.555704966187477, 0.6868783682584763, -2.1243550702929497]| 15.4384670257568359|      3.33333333|[547, 78, 0, 39]                                                           | 
      26|[1.8863311558961868, -2.167188659310341, 4.043145939707756, -2.0584226548671722, -0.397035539150238, 1.8884977251291275, -1.1976280957460403, -2.402294658124447]|  5.1424498558044434|     11.11111111|[561, 80, 0, 40]                                                           | 
      27|[1.8863311558961868, -2.167188659310341, 4.043145939707756, -2.0584226548671722, -0.397035539150238, 1.8884977251291275, -1.1976280957460403, -2.402294658124447]|  5.1424498558044434|      3.33333333|[589, 84, 0, 42]                                                           | 
      28|[1.8863311558961868, -2.167188659310341, 4.043145939707756, -2.0584226548671722, -0.397035539150238, 1.8884977251291275, -1.1976280957460403, -2.402294658124447]|  5.1424498558044434|      1.00000000|[617, 88, 0, 44]                                                           | 
      29|[2.115455135703087, -2.067261628806591, 4.266183748841286, -1.93767748773098, -0.3647606186568737, 2.196774259209633, -1.2220484353601933, -2.239447869360447]|  3.8143172264099121|      3.33333333|[631, 90, 0, 45]                                                           | 
      30|[2.115455135703087, -2.067261628806591, 4.266183748841286, -1.93767748773098, -0.3647606186568737, 2.196774259209633, -1.2220484353601933, -2.239447869360447]|  3.8143172264099121|      1.00000000|[659, 94, 0, 47]                                                           | 
      31|[1.7254331856966019, -1.5077735111117363, 3.6471482068300247, -0.9206328243017197, -0.5785482190549374, 1.111297383904457, -0.6288262940943241, -1.5036535039544106]|  3.5426776409149170|      3.33333333|[673, 96, 0, 48]                                                           | 
      32|[1.6607868671417236, -0.4354942962527275, 3.460700675845146, -1.3025524467229843, -0.7711924128234386, 1.5384989529848099, -1.2296373583376408, -0.574889101088047]|  2.3393287658691406|     11.11111111|[687, 98, 0, 49]                                                           | 
      33|[1.6607868671417236, -0.4354942962527275, 3.460700675845146, -1.3025524467229843, -0.7711924128234386, 1.5384989529848099, -1.2296373583376408, -0.574889101088047]|  2.3393287658691406|      3.33333333|[715, 102, 0, 51]                                                          | 
      34|[1.6607868671417236, -0.4354942962527275, 3.460700675845146, -1.3025524467229843, -0.7711924128234386, 1.5384989529848099, -1.2296373583376408, -0.574889101088047]|  2.3393287658691406|      1.00000000|[743, 106, 0, 53]                                                          | 
      35|[1.6132430098950863, -0.845455102622509, 3.2251467406749725, -1.3021732814377174, -1.6377979926764965, 1.6127038449048996, -1.357426393777132, -0.5382260493934155]|  1.6487032175064087|      3.33333333|[757, 108, 0, 54]                                                          | 
      36|[1.6132430098950863, -0.845455102622509, 3.2251467406749725, -1.3021732814377174, -1.6377979926764965, 1.6127038449048996, -1.357426393777132, -0.5382260493934155]|  1.6487032175064087|      1.00000000|[785, 112, 0, 56]                                                          | 
      37|[1.4123701117932796, -0.7912966273725033, 3.3595181554555893, -1.2163053326075897, -1.2538393251597881, 1.49496678262949, -1.2968566752970219, -0.6660266928374767]|  0.6830469369888306|      3.33333333|[813, 116, 0, 58]                                                          | 
      38|[1.4123701117932796, -0.7912966273725033, 3.3595181554555893, -1.2163053326075897, -1.2538393251597881, 1.49496678262949, -1.2968566752970219, -0.6660266928374767]|  0.6830469369888306|      1.00000000|[841, 120, 0, 60]                                                          | 
      39|[1.3348448686301708, -0.6954648979008198, 3.6513666063547134, -1.2372452713316306, -1.7528269104659557, 2.2949921265244484, -1.3719099797308445, -0.5987213589251041]|  0.3584114015102386|      3.33333333|[869, 124, 0, 62]                                                          | 
      40|[1.3348448686301708, -0.6954648979008198, 3.6513666063547134, -1.2372452713316306, -1.7528269104659557, 2.2949921265244484, -1.3719099797308445, -0.5987213589251041]|  0.3584114015102386|      1.00000000|[897, 128, 0, 64]                                                          | 
      41|[1.3348448686301708, -0.6954648979008198, 3.6513666063547134, -1.2372452713316306, -1.7528269104659557, 2.2949921265244484, -1.3719099797308445, -0.5987213589251041]|  0.3584114015102386|      0.30000000|[925, 132, 0, 66]                                                          | 
      42|[1.3495004018768668, -0.732594583183527, 3.6125524155795574, -1.2605745255714282, -1.8144601583480835, 2.1944988444447517, -1.3021118231117725, -0.5894225630909204]|  0.3091393411159515|      1.00000000|[939, 134, 0, 67]                                                          | 
      43|[1.3495004018768668, -0.732594583183527, 3.6125524155795574, -1.2605745255714282, -1.8144601583480835, 2.1944988444447517, -1.3021118231117725, -0.5894225630909204]|  0.3091393411159515|      0.30000000|[967, 138, 0, 69]                                                          | 
      44|[1.3495004018768668, -0.732594583183527, 3.6125524155795574, -1.2605745255714282, -1.8144601583480835, 2.1944988444447517, -1.3021118231117725, -0.5894225630909204]|  0.3091393411159515|      0.09000000|[995, 142, 0, 71]                                                          | 
      45|[1.3679865868762136, -0.6781463921070099, 3.649258676916361, -1.2476644817506894, -1.810692668426782, 2.2096136705949903, -1.2492289505898952, -0.5739181246608496]|  0.2687201499938965|      0.30000000|[1009, 144, 0, 72]                                                         | 
      46|[1.4422382758930326, -0.7713000923395157, 3.656905888579786, -1.2492628683103248, -1.7650929582305253, 2.246919837780297, -1.2010782361030579, -0.6235010530799627]|  0.1957099586725235|      1.00000000|[1023, 146, 0, 73]                                                         | 
      47|[1.4422382758930326, -0.7713000923395157, 3.656905888579786, -1.2492628683103248, -1.7650929582305253, 2.246919837780297, -1.2010782361030579, -0.6235010530799627]|  0.1957099586725235|      0.30000000|[1051, 150, 0, 75]                                                         | 
      48|[1.4462292869575322, -0.8126631677150726, 3.7007569214329123, -1.2795402229530737, -1.6544405040331185, 2.204150882549584, -1.1650334037840366, -0.6741089317947626]|  0.1594697982072830|      1.00000000|[1065, 152, 0, 76]                                                         | 
      49|[1.4462292869575322, -0.8126631677150726, 3.7007569214329123, -1.2795402229530737, -1.6544405040331185, 2.204150882549584, -1.1650334037840366, -0.6741089317947626]|  0.1594697982072830|      0.30000000|[1093, 156, 0, 78]                                                         | 
      50|[1.5244678710587323, -0.8160775112919509, 3.7910244977101684, -1.3006306634051725, -1.697186712641269, 2.246595081873238, -1.102313343435526, -0.6595668438822031]|  0.1513185948133469|      1.00000000|[1107, 158, 0, 79]                                                         | 
      51|[1.5244678710587323, -0.8160775112919509, 3.7910244977101684, -1.3006306634051725, -1.697186712641269, 2.246595081873238, -1.102313343435526, -0.6595668438822031]|  0.1513185948133469|      0.30000000|[1135, 162, 0, 81]                                                         | 
