k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.9090582653880119, 1.2171084880828857, 1.5535513758659363, 0.7642989158630371, 0.3416724801063538, 1.152001827955246, 0.7069468796253204, 1.1262805610895157, 0.5500964522361755, 0.9784351252019405, 0.4233585596084595, 0.2950726747512817, 0.2973083853721619, 0.7585887163877487, 0.1208729147911072, 0.816099226474762, 0.953229047358036, 1.0097330268472433, 0.7726828008890152, 0.2953720092773438, 0.7560786306858063, 1.1525916010141373]|  1.3290504217147827|      3.33333333|[31, 2, 0, 2]                                                              | 
       2|[0.8076633661985397, 1.0650161355733871, 1.3507615774869919, 1.6124217510223389, 0.0374877750873566, 0.797119677066803, 0.3013672828674316, 0.6700035482645035, 0.0431219339370728, 0.4207632206380367, -0.1850108504295349, -0.3639941215515137, -0.4124559164047241, -0.0018730312585831, 0.1749350428581238, -0.0457574129104614, 0.0406750217080116, 0.0464814361184835, -0.2412662357091904, -0.7692743539810181, -0.3592651784420013, -0.0134497731924057]|  1.0582997798919678|     11.11111111|[61, 4, 0, 4]                                                              | 
       3|[0.6894825845956802, -8.995028153061867, 1.1144000142812729, 1.316969782114029, -0.3170545995235443, 0.3834869265556335, -0.1713558435440063, 0.1381899863481522, -0.5477820038795471, -0.2292311526834965, -0.8940955996513367, -1.132169246673584, -1.239721417427063, -0.88822902739048, -0.7705112099647522, -1.0502941608428955, -1.022952102124691, -1.0762360636144876, -1.4230741113424301, -2.0101726055145264, -3.339061349630356, -1.3725288957357407]|  0.9061298966407776|     37.03703704|[91, 6, 0, 6]                                                              | 
       4|[0.6894825845956802, -8.995028153061867, 1.1144000142812729, 1.316969782114029, -0.3170545995235443, 0.3834869265556335, -0.1713558435440063, 0.1381899863481522, -0.5477820038795471, -0.2292311526834965, -0.8940955996513367, -1.132169246673584, -1.239721417427063, -0.88822902739048, -0.7705112099647522, -1.0502941608428955, -1.022952102124691, -1.0762360636144876, -1.4230741113424301, -2.0101726055145264, -3.339061349630356, -1.3725288957357407]|  0.9061298966407776|     11.11111111|[121, 8, 0, 8]                                                             | 
       5|[0.5713018029928207, -9.172299340367317, 0.8780384510755539, 1.021517813205719, -0.6715969741344452, -0.0301458239555359, -0.6440789699554443, -0.3936235755681992, -1.138685941696167, -0.8792255260050297, -1.6031803488731384, -1.9003443717956543, -2.066986918449402, -1.774585023522377, 0.1140779852867126, -2.0548309087753296, -2.0865792259573936, -2.198953563347459, -2.60488198697567, -3.2510708570480347, 7.151517301797867, 0.0269234329462051]|  0.7773129343986511|     37.03703704|[151, 10, 0, 10]                                                           | 
       6|[0.5713018029928207, -9.172299340367317, 0.8780384510755539, 1.021517813205719, -0.6715969741344452, -0.0301458239555359, -0.6440789699554443, -0.3936235755681992, -1.138685941696167, -0.8792255260050297, -1.6031803488731384, -1.9003443717956543, -2.066986918449402, -1.774585023522377, 0.1140779852867126, -2.0548309087753296, -2.0865792259573936, -2.198953563347459, -2.60488198697567, -3.2510708570480347, 7.151517301797867, 0.0269234329462051]|  0.7773129343986511|     11.11111111|[181, 12, 0, 12]                                                           | 
       7|[-1.9078701883554459, -9.844264760613441, 1.8285401910543442, -0.4312135577201843, -1.099347710609436, -2.108515679836273, -1.9521743059158325, -1.5377588123083115, -1.2589254900813103, -1.2356259860098362, -1.0122140049934387, -1.5038954615592957, -0.4465831518173218, -1.4713696390390396, 0.7397910356521606, -1.9303856492042542, -1.5236780866980553, -3.689434701576829, -1.4342133849859238, -3.1764377802610397, 7.608550935983658, -2.3884193748235703]|  0.6381035447120667|     37.03703704|[211, 14, 0, 14]                                                           | 
       8|[-1.9078701883554459, -9.844264760613441, 1.8285401910543442, -0.4312135577201843, -1.099347710609436, -2.108515679836273, -1.9521743059158325, -1.5377588123083115, -1.2589254900813103, -1.2356259860098362, -1.0122140049934387, -1.5038954615592957, -0.4465831518173218, -1.4713696390390396, 0.7397910356521606, -1.9303856492042542, -1.5236780866980553, -3.689434701576829, -1.4342133849859238, -3.1764377802610397, 7.608550935983658, -2.3884193748235703]|  0.6381035447120667|     11.11111111|[241, 16, 0, 16]                                                           | 
       9|[-4.54808010160923, -9.901527933776379, -0.3489872366189957, -0.0513732731342316, -2.3958098888397217, -3.6752215027809143, 0.1690031290054321, -1.0034408420324326, -1.7870514914393425, -1.409460622817278, -0.709661453962326, -3.4964134097099304, 0.0922254323959351, -1.6347237825393677, 1.5903091430664062, -1.2684186697006226, -1.9320476278662682, -3.590736525133252, -0.3494943231344223, -4.593247696757317, 8.535980969667435, -2.2698814421892166]|  0.5826663970947266|     37.03703704|[271, 18, 0, 18]                                                           | 
      10|[-4.54808010160923, -9.901527933776379, -0.3489872366189957, -0.0513732731342316, -2.3958098888397217, -3.6752215027809143, 0.1690031290054321, -1.0034408420324326, -1.7870514914393425, -1.409460622817278, -0.709661453962326, -3.4964134097099304, 0.0922254323959351, -1.6347237825393677, 1.5903091430664062, -1.2684186697006226, -1.9320476278662682, -3.590736525133252, -0.3494943231344223, -4.593247696757317, 8.535980969667435, -2.2698814421892166]|  0.5826663970947266|     11.11111111|[301, 20, 0, 20]                                                           | 
      11|[-4.6602626740932465, -10.069801799952984, -0.5733523815870285, -0.331829696893692, -2.732357621192932, -4.067860543727875, -0.2797271609306335, -1.5082624405622482, -2.3479643389582634, -2.026464778929949, -1.382756918668747, -4.2256001234054565, -0.6930526494979858, -2.476093053817749, 1.784819781780243, -2.2219706177711487, -2.9416908249258995, -4.656470911577344, -1.471320018172264, 5.953937247395515, 10.049380332231522, -3.559980943799019]|  0.5655005574226379|     37.03703704|[331, 22, 0, 22]                                                           | 
      12|[-4.6602626740932465, -10.069801799952984, -0.5733523815870285, -0.331829696893692, -2.732357621192932, -4.067860543727875, -0.2797271609306335, -1.5082624405622482, -2.3479643389582634, -2.026464778929949, -1.382756918668747, -4.2256001234054565, -0.6930526494979858, -2.476093053817749, 1.784819781780243, -2.2219706177711487, -2.9416908249258995, -4.656470911577344, -1.471320018172264, 5.953937247395515, 10.049380332231522, -3.559980943799019]|  0.5655005574226379|     11.11111111|[361, 24, 0, 24]                                                           | 
      13|[-4.784545689821243, -10.256226323544979, -0.8219184130430222, -0.6425372362136841, -1.8445070385932922, -4.502851098775864, -0.7768592238426208, -2.0675359815359116, -2.9693794175982475, -2.710021335631609, -2.128455013036728, -5.0334396958351135, -1.5630337595939636, -2.0074885189533234, 0.7905556559562683, -3.278376281261444, -4.060237906873226, -5.837159531190991, -2.7141501754522324, 4.648965671658516, 8.682267218828201, 6.871031209826469]|  0.5518383383750916|     37.03703704|[391, 26, 0, 26]                                                           | 
      14|[-4.784545689821243, -10.256226323544979, -0.8219184130430222, -0.6425372362136841, -1.8445070385932922, -4.502851098775864, -0.7768592238426208, -2.0675359815359116, -2.9693794175982475, -2.710021335631609, -2.128455013036728, -5.0334396958351135, -1.5630337595939636, -2.0074885189533234, 0.7905556559562683, -3.278376281261444, -4.060237906873226, -5.837159531190991, -2.7141501754522324, 4.648965671658516, 8.682267218828201, 6.871031209826469]|  0.5518383383750916|     11.11111111|[421, 28, 0, 28]                                                           | 
      15|[-4.784545689821243, -10.256226323544979, -0.8219184130430222, -0.6425372362136841, -1.8445070385932922, -4.502851098775864, -0.7768592238426208, -2.0675359815359116, -2.9693794175982475, -2.710021335631609, -2.128455013036728, -5.0334396958351135, -1.5630337595939636, -2.0074885189533234, 0.7905556559562683, -3.278376281261444, -4.060237906873226, -5.837159531190991, -2.7141501754522324, 4.648965671658516, 8.682267218828201, 6.871031209826469]|  0.5518383383750916|      3.33333333|[451, 30, 0, 30]                                                           | 
      16|[-4.789106499403715, -7.529785178601742, -0.8310400322079659, -0.6539392601698637, -1.8581894664093852, -4.518813932314515, -0.7951024621725082, -2.0880596227943897, -2.9921834655106068, -2.735105788335204, -0.2164032161235809, -5.063084956258535, -1.5949594266712666, -2.041694588959217, 0.7540691792964935, -3.3171431645751, -4.1012851893901825, -5.880487220361829, -2.759758271276951, 4.601077172905207, 8.632098313421011, 6.818581897765398]|  0.5041762590408325|     11.11111111|[481, 32, 0, 32]                                                           | 
      17|[-3.585665713995695, -6.939900659024715, -1.965262658894062, -0.9993813168257475, -1.0107824234291911, -2.3120301607996225, -0.5498390048742294, -1.8274245746433735, -4.934756178408861, -1.5251927729696035, 0.1145029067993164, -5.417103048413992, -1.4734801165759563, -0.5005291178822517, 2.848233789205551, -5.148098550736904, -6.157171934843063, -5.058056550100446, -2.9702323153615, 5.728362772613764, 8.988863226026297, 6.796235408633947]|  0.5005155801773071|     37.03703704|[511, 34, 0, 34]                                                           | 
