k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|4165.1544172546082336|      1.00000000|[0, 0, 0, 0]                                                               | k=4
       1|[0.5873999297618866, 1.1246039792895317, 1.0575950555503368, 0.962927807122469, 0.9923375486396253, 0.5200221240520477, 1.0819808095693588, 1.2078158855438232, 1.4487894773483276, 0.8225844204425812, 0.5570860803127289, 0.8882475569844246, 1.017305187880993, 0.8753199130296707, 0.9314091801643372, 1.0477847717702389, 1.0930640250444412, 0.8927265107631683, 1.189154788851738, 1.0154988933354616, 1.1286994516849518, 1.0173415020108223, 0.8076012432575226, 1.189490407705307, 1.175509750843048, 1.2626659572124481, 1.0786036550998688, 0.821328729391098, 0.650707870721817, 0.8104063272476196, 1.1205979511141777, 0.9349148347973824, 1.180447280406952, 0.9734396748244762, 1.3977293968200684, 1.4501695036888123, 0.1425417065620422, 0.9315656200051308, 1.1230338737368584, 1.3841288685798645, 1.1524752229452133, 0.4295889139175415, 0.6209444403648376, 1.3745934069156647, 0.9469379298388958, 0.5756217837333679, 1.032934833317995, 0.893265999853611, 1.2168130427598953, 1.2445480674505234, 0.7794360369443893, 0.8336081802845001, 0.6014748513698578, 0.6291735172271729]|2878.9519042968750000|      3.33333333|[121, 8, 0, 2]                                                             | 
       2|[-1.4334302246570587, 2.2245488092303276, 2.678862851113081, 1.1550278700888157, -0.1415120721794665, 0.48858343064785, 1.898201808333397, 1.3012262433767319, 0.8553571701049805, 0.9785179793834686, 0.9813507497310638, 0.5674643591046333, 1.0482235997915268, 0.7860298976302147, 0.7161136567592621, 0.9468156956136227, 1.0094991028308868, 0.968553863465786, 1.299569234251976, 1.0092413118109107, 1.1643294282257557, 0.7992961928248405, 0.828417994081974, 1.1944697382859886, 1.1836821073666215, 1.3074832819402218, 1.1498017385601997, 1.4376274645328522, 0.6561634819954634, 0.8127074777148664, 1.1312716826796532, 0.8916834592819214, 1.1815395964076743, 0.967397550586611, 1.3927418645471334, 1.4420601082965732, 0.1221993174403906, 0.9229541169479489, 1.1319492515176535, 1.3951886696740985, 1.160346676595509, 0.4304873272194527, 0.6216879551066086, 1.365014505572617, 0.9471529338916298, 0.5802007606253028, 1.0334577445755713, 0.8797846017405391, 1.239278893917799, 1.2559708151966333, 0.7984220962971449, 0.8424816150218248, 0.6014360550398123, 0.6152746472507715]|476.3528442382812500|     11.11111111|[241, 16, 0, 4]                                                            | 
       3|[-0.5285613238811493, 3.5383276864886284, 4.196330469101667, 0.3837122358381748, 2.25827177753672, -0.1735885292291641, 2.6643438190221786, 1.8193397372961044, -0.977295994758606, 0.0914842784404755, 0.5626563131809235, 2.2599941566586494, 0.978988416492939, 1.479442797601223, -1.0373561680316925, 1.0724375657737255, 0.0901339948177338, 0.2022639736533165, 1.8643415421247482, 1.6619243314489722, 1.8571180887520313, -1.4111346676945686, -2.2135689482092857, 0.2114459159784019, -0.0796456104144454, 2.2575823329389095, 0.6727152243256569, -0.7211681306362152, 0.4403293114155531, 0.4579063295386732, 1.2402343302965164, 0.4782536923885345, 1.2162068685283884, 0.4484703340567648, 1.7001012619584799, 1.1733150435611606, -0.0205088946968317, 0.4502940522506833, 0.5668566878885031, 1.195163811556995, 1.348311041481793, 0.1591207607998513, -0.0575362379895523, 1.50022351462394, 1.2361738000472542, 1.2166683366522193, 1.6422391419182532, 0.8485484505072236, 1.507075559347868, 0.4131173882633448, -0.4268518704921007, -0.7280231695622206, -2.024392926359724, 8.397351482883096]|198.2197265625000000|     37.03703704|[361, 24, 0, 6]                                                            | 
       4|[-0.5285613238811493, 3.5383276864886284, 4.196330469101667, 0.3837122358381748, 2.25827177753672, -0.1735885292291641, 2.6643438190221786, 1.8193397372961044, -0.977295994758606, 0.0914842784404755, 0.5626563131809235, 2.2599941566586494, 0.978988416492939, 1.479442797601223, -1.0373561680316925, 1.0724375657737255, 0.0901339948177338, 0.2022639736533165, 1.8643415421247482, 1.6619243314489722, 1.8571180887520313, -1.4111346676945686, -2.2135689482092857, 0.2114459159784019, -0.0796456104144454, 2.2575823329389095, 0.6727152243256569, -0.7211681306362152, 0.4403293114155531, 0.4579063295386732, 1.2402343302965164, 0.4782536923885345, 1.2162068685283884, 0.4484703340567648, 1.7001012619584799, 1.1733150435611606, -0.0205088946968317, 0.4502940522506833, 0.5668566878885031, 1.195163811556995, 1.348311041481793, 0.1591207607998513, -0.0575362379895523, 1.50022351462394, 1.2361738000472542, 1.2166683366522193, 1.6422391419182532, 0.8485484505072236, 1.507075559347868, 0.4131173882633448, -0.4268518704921007, -0.7280231695622206, -2.024392926359724, 8.397351482883096]|198.2197265625000000|     11.11111111|[481, 32, 0, 8]                                                            | 
       5|[-0.5285613238811493, 3.5383276864886284, 4.196330469101667, 0.3837122358381748, 2.25827177753672, -0.1735885292291641, 2.6643438190221786, 1.8193397372961044, -0.977295994758606, 0.0914842784404755, 0.5626563131809235, 2.2599941566586494, 0.978988416492939, 1.479442797601223, -1.0373561680316925, 1.0724375657737255, 0.0901339948177338, 0.2022639736533165, 1.8643415421247482, 1.6619243314489722, 1.8571180887520313, -1.4111346676945686, -2.2135689482092857, 0.2114459159784019, -0.0796456104144454, 2.2575823329389095, 0.6727152243256569, -0.7211681306362152, 0.4403293114155531, 0.4579063295386732, 1.2402343302965164, 0.4782536923885345, 1.2162068685283884, 0.4484703340567648, 1.7001012619584799, 1.1733150435611606, -0.0205088946968317, 0.4502940522506833, 0.5668566878885031, 1.195163811556995, 1.348311041481793, 0.1591207607998513, -0.0575362379895523, 1.50022351462394, 1.2361738000472542, 1.2166683366522193, 1.6422391419182532, 0.8485484505072236, 1.507075559347868, 0.4131173882633448, -0.4268518704921007, -0.7280231695622206, -2.024392926359724, 8.397351482883096]|198.2197265625000000|      3.33333333|[601, 40, 0, 10]                                                           | 
       6|[-0.5285613238811493, 3.5383276864886284, 4.196330469101667, 0.3837122358381748, 2.25827177753672, -0.1735885292291641, 2.6643438190221786, 1.8193397372961044, -0.977295994758606, 0.0914842784404755, 0.5626563131809235, 2.2599941566586494, 0.978988416492939, 1.479442797601223, -1.0373561680316925, 1.0724375657737255, 0.0901339948177338, 0.2022639736533165, 1.8643415421247482, 1.6619243314489722, 1.8571180887520313, -1.4111346676945686, -2.2135689482092857, 0.2114459159784019, -0.0796456104144454, 2.2575823329389095, 0.6727152243256569, -0.7211681306362152, 0.4403293114155531, 0.4579063295386732, 1.2402343302965164, 0.4782536923885345, 1.2162068685283884, 0.4484703340567648, 1.7001012619584799, 1.1733150435611606, -0.0205088946968317, 0.4502940522506833, 0.5668566878885031, 1.195163811556995, 1.348311041481793, 0.1591207607998513, -0.0575362379895523, 1.50022351462394, 1.2361738000472542, 1.2166683366522193, 1.6422391419182532, 0.8485484505072236, 1.507075559347868, 0.4131173882633448, -0.4268518704921007, -0.7280231695622206, -2.024392926359724, 8.397351482883096]|198.2197265625000000|      1.00000000|[721, 48, 0, 12]                                                           | 
       7|[-0.5980523899197578, 3.575471006333828, 4.110870141535997, 0.3440458066761494, 2.1760627566836774, -0.0294052511453629, 2.6593496003188193, 1.880179550498724, -0.8486205488443375, 0.0745943281799555, 0.7495735883712769, 2.2621949512977153, 0.9781341184861958, 1.5907361954450607, -0.9209992587566376, 1.1447574980556965, 0.0060213953256607, 0.1098388060927391, 1.9512876942753792, 1.6128818644210696, 1.9344160072505474, -1.4847831726074219, -2.265420012176037, -0.0197755065746605, -0.1834467267617583, 2.169602829962969, 0.6666966238990426, -0.8885701447725296, 0.4232309199869633, 0.3844925775192678, 1.2199661452323198, 0.4286139830946922, 1.204652245505713, 0.4199947104789317, 1.7158061191439629, 1.217219459824264, 0.0217245388776064, 0.4591183075681329, 0.4845908787101507, 1.08137399982661, 1.1982868062332273, -0.0240042135701515, 0.7053191129816696, 1.345253718085587, 1.1090726618131157, 1.1406319430097938, 1.618972513533663, 0.8765850393101573, 1.548999696969986, 0.4727172497659922, -0.4026399422436953, -0.6653183829039335, -2.0266016928871977, 8.34600610844791]|160.3690795898437500|      3.33333333|[841, 56, 0, 14]                                                           | 
       8|[-0.5980523899197578, 3.575471006333828, 4.110870141535997, 0.3440458066761494, 2.1760627566836774, -0.0294052511453629, 2.6593496003188193, 1.880179550498724, -0.8486205488443375, 0.0745943281799555, 0.7495735883712769, 2.2621949512977153, 0.9781341184861958, 1.5907361954450607, -0.9209992587566376, 1.1447574980556965, 0.0060213953256607, 0.1098388060927391, 1.9512876942753792, 1.6128818644210696, 1.9344160072505474, -1.4847831726074219, -2.265420012176037, -0.0197755065746605, -0.1834467267617583, 2.169602829962969, 0.6666966238990426, -0.8885701447725296, 0.4232309199869633, 0.3844925775192678, 1.2199661452323198, 0.4286139830946922, 1.204652245505713, 0.4199947104789317, 1.7158061191439629, 1.217219459824264, 0.0217245388776064, 0.4591183075681329, 0.4845908787101507, 1.08137399982661, 1.1982868062332273, -0.0240042135701515, 0.7053191129816696, 1.345253718085587, 1.1090726618131157, 1.1406319430097938, 1.618972513533663, 0.8765850393101573, 1.548999696969986, 0.4727172497659922, -0.4026399422436953, -0.6653183829039335, -2.0266016928871977, 8.34600610844791]|160.3690795898437500|      1.00000000|[961, 64, 0, 16]                                                           | 
       9|[-0.5980523899197578, 3.575471006333828, 4.110870141535997, 0.3440458066761494, 2.1760627566836774, -0.0294052511453629, 2.6593496003188193, 1.880179550498724, -0.8486205488443375, 0.0745943281799555, 0.7495735883712769, 2.2621949512977153, 0.9781341184861958, 1.5907361954450607, -0.9209992587566376, 1.1447574980556965, 0.0060213953256607, 0.1098388060927391, 1.9512876942753792, 1.6128818644210696, 1.9344160072505474, -1.4847831726074219, -2.265420012176037, -0.0197755065746605, -0.1834467267617583, 2.169602829962969, 0.6666966238990426, -0.8885701447725296, 0.4232309199869633, 0.3844925775192678, 1.2199661452323198, 0.4286139830946922, 1.204652245505713, 0.4199947104789317, 1.7158061191439629, 1.217219459824264, 0.0217245388776064, 0.4591183075681329, 0.4845908787101507, 1.08137399982661, 1.1982868062332273, -0.0240042135701515, 0.7053191129816696, 1.345253718085587, 1.1090726618131157, 1.1406319430097938, 1.618972513533663, 0.8765850393101573, 1.548999696969986, 0.4727172497659922, -0.4026399422436953, -0.6653183829039335, -2.0266016928871977, 8.34600610844791]|160.3690795898437500|      0.30000000|[1081, 72, 0, 18]                                                          | 
