k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.30000000|[10, 3, 0, 3]                                                              | 
       2|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.09000000|[19, 6, 0, 6]                                                              | 
       3|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.02700000|[28, 9, 0, 9]                                                              | 
       4|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00810000|[37, 12, 0, 12]                                                            | 
       5|[0.0010160488309339, -3.69008885173e-05, 0.997014366555959, 0.0498894839227432, 26061.39925100035, 38.71275431798026, 37027.100894211]|10033.4208984375000000|      0.02700000|[46, 15, 0, 15]                                                            | 
       6|[0.0010160488309339, -3.69008885173e-05, 0.997014366555959, 0.0498894839227432, 26061.39925100035, 38.71275431798026, 37027.100894211]|10033.4208984375000000|      0.00810000|[55, 18, 0, 18]                                                            | 
       7|[0.0004922094522044, -0.0002113655173162, 0.9946890228893608, 0.0627243066817755, 26061.40865484006, 38.711404256710786, 37027.09957496172]|5874.6225585937500000|      0.02700000|[64, 21, 0, 21]                                                            | 
       8|[0.0004922094522044, -0.0002113655173162, 0.9946890228893608, 0.0627243066817755, 26061.40865484006, 38.711404256710786, 37027.09957496172]|5874.6225585937500000|      0.00810000|[73, 24, 0, 24]                                                            | 
       9|[0.0004922094522044, -0.0002113655173162, 0.9946890228893608, 0.0627243066817755, 26061.40865484006, 38.711404256710786, 37027.09957496172]|5874.6225585937500000|      0.00243000|[82, 27, 0, 27]                                                            | 
      10|[0.0004922094522044, -0.0002113655173162, 0.9946890228893608, 0.0627243066817755, 26061.40865484006, 38.711404256710786, 37027.09957496172]|5874.6225585937500000|      0.00072900|[91, 30, 0, 30]                                                            | 
      11|[0.0004922094522044, -0.0002113655173162, 0.9946890228893608, 0.0627243066817755, 26061.40865484006, 38.711404256710786, 37027.09957496172]|5874.6225585937500000|      0.00021870|[100, 33, 0, 33]                                                           | 
      12|[0.0005243962914392, -0.0001657077482378, 0.9947635207354324, 0.0627762661613815, 26061.408635989712, 38.71125196842954, 37027.09968859402]|5751.6088867187500000|      0.00072900|[109, 36, 0, 36]                                                           | 
      13|[0.0005243962914392, -0.0001657077482378, 0.9947635207354324, 0.0627762661613815, 26061.408635989712, 38.71125196842954, 37027.09968859402]|5751.6088867187500000|      0.00021870|[118, 39, 0, 39]                                                           | 
      14|[0.0004930115574098, -0.0001349283265881, 0.9948495825374266, 0.0628932856059691, 26061.40876269961, 38.71128815713278, 37027.09960238434]|5705.8217773437500000|      0.00072900|[127, 42, 0, 42]                                                           | 
      15|[0.0004930115574098, -0.0001349283265881, 0.9948495825374266, 0.0628932856059691, 26061.40876269961, 38.71128815713278, 37027.09960238434]|5705.8217773437500000|      0.00021870|[136, 45, 0, 45]                                                           | 
      16|[0.0004099228208361, -0.0001041489049385, 0.9948881558120775, 0.0630103050505568, 26061.408868909013, 38.71132434583601, 37027.099491898734]|5703.0014648437500000|      0.00072900|[145, 48, 0, 48]                                                           | 
      17|[0.0004099228208361, -0.0001041489049385, 0.9948881558120775, 0.0630103050505568, 26061.408868909013, 38.71132434583601, 37027.099491898734]|5703.0014648437500000|      0.00021870|[154, 51, 0, 51]                                                           | 
      18|[0.0003828880508081, -0.000157483118528, 0.9948636810477183, 0.0631853388775198, 26061.408792923357, 38.71128104713976, 37027.099418619655]|5656.4228515625000000|      0.00072900|[163, 54, 0, 54]                                                           | 
      19|[0.0003828880508081, -0.000157483118528, 0.9948636810477183, 0.0631853388775198, 26061.408792923357, 38.71128104713976, 37027.099418619655]|5656.4228515625000000|      0.00021870|[172, 57, 0, 57]                                                           | 
      20|[0.0003558532807801, -0.000107320236566, 0.9947891241790785, 0.0633603727044829, 26061.4087169377, 38.7112377484435, 37027.09944579198]|5622.0644531250000000|      0.00072900|[181, 60, 0, 60]                                                           | 
      21|[0.0003558532807801, -0.000107320236566, 0.9947891241790785, 0.0633603727044829, 26061.4087169377, 38.7112377484435, 37027.09944579198]|5622.0644531250000000|      0.00021870|[190, 63, 0, 63]                                                           | 
      22|[0.0004173105371592, -0.0001606544501556, 0.9948392501391936, 0.0635354065314459, 26061.408640952046, 38.711194449747246, 37027.0994660432]|5588.2426757812500000|      0.00072900|[199, 66, 0, 66]                                                           | 
      23|[0.0004173105371592, -0.0001606544501556, 0.9948392501391936, 0.0635354065314459, 26061.408640952046, 38.711194449747246, 37027.0994660432]|5588.2426757812500000|      0.00021870|[208, 69, 0, 69]                                                           | 
      24|[0.0003753540149773, -0.0001250018176506, 0.9948780086233455, 0.0634988651334425, 26061.40860613926, 38.71122380803977, 37027.09940268209]|5578.6093750000000000|      0.00072900|[217, 72, 0, 72]                                                           | 
