k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.30000000|[10, 3, 0, 3]                                                              | 
       2|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.09000000|[19, 6, 0, 6]                                                              | 
       3|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.02700000|[28, 9, 0, 9]                                                              | 
       4|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00810000|[37, 12, 0, 12]                                                            | 
       5|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00243000|[46, 15, 0, 15]                                                            | 
       6|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00072900|[55, 18, 0, 18]                                                            | 
       7|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00021870|[64, 21, 0, 21]                                                            | 
       8|[-3.13847340294e-05, 3.07794216496e-05, 1.0000860618019942, 0.0501170194445876, 17.068046209401565, 7.999908711492026, 13642.299928006254]| 27.4999217987060547|      0.00072900|[67, 22, 0, 22]                                                            | 
       9|[-3.13847340294e-05, 3.07794216496e-05, 1.0000860618019942, 0.0501170194445876, 17.068046209401565, 7.999908711492026, 13642.299928006254]| 27.4999217987060547|      0.00021870|[76, 25, 0, 25]                                                            | 
      10|[-3.13847340294e-05, 3.07794216496e-05, 1.0000860618019942, 0.0501170194445876, 17.068046209401565, 7.999908711492026, 13642.299928006254]| 27.4999217987060547|      0.00006561|[85, 28, 0, 28]                                                            | 
      11|[-3.13847340294e-05, 3.07794216496e-05, 1.0000860618019942, 0.0501170194445876, 17.068046209401565, 7.999908711492026, 13642.299928006254]| 27.4999217987060547|      0.00001968|[94, 31, 0, 31]                                                            | 
      12|[-3.13847340294e-05, 3.07794216496e-05, 1.0000860618019942, 0.0501170194445876, 17.068046209401565, 7.999908711492026, 13642.299928006254]| 27.4999217987060547|      0.00000590|[103, 34, 0, 34]                                                           | 
      13|[-3.22321218391e-05, 2.96810169402e-05, 1.0000882716835804, 0.0501201789693823, 17.068049077055186, 7.999909688586968, 13642.299925023142]| 27.4892063140869141|      0.00001968|[106, 35, 0, 35]                                                           | 
      14|[-3.22321218391e-05, 2.96810169402e-05, 1.0000882716835804, 0.0501201789693823, 17.068049077055186, 7.999909688586968, 13642.299925023142]| 27.4892063140869141|      0.00000590|[115, 38, 0, 38]                                                           | 
      15|[-3.22321218391e-05, 2.96810169402e-05, 1.0000882716835804, 0.0501201789693823, 17.068049077055186, 7.999909688586968, 13642.299925023142]| 27.4892063140869141|      0.00000177|[124, 41, 0, 41]                                                           | 
      16|[-3.22321218391e-05, 2.96810169402e-05, 1.0000882716835804, 0.0501201789693823, 17.068049077055186, 7.999909688586968, 13642.299925023142]| 27.4892063140869141|      0.00000053|[133, 44, 0, 44]                                                           | 
      17|[-3.23083867428e-05, 2.97558109352e-05, 1.0000880491275268, 0.0501199049926015, 17.068049335144032, 7.99990977652552, 13642.299924754663]| 27.4891071319580078|      0.00000177|[142, 47, 0, 47]                                                           | 
      18|[-3.30983969192e-05, 2.98325910961e-05, 1.0000875530912765, 0.0501206242746719, 17.068049507141403, 7.999910402829435, 13642.29992590481]| 27.4890842437744141|      0.00000590|[148, 49, 0, 49]                                                           | 
      19|[-3.30983969192e-05, 2.98325910961e-05, 1.0000875530912765, 0.0501206242746719, 17.068049507141403, 7.999910402829435, 13642.29992590481]| 27.4890842437744141|      0.00000177|[157, 52, 0, 52]                                                           | 
      20|[-3.30983969192e-05, 2.98325910961e-05, 1.0000875530912765, 0.0501206242746719, 17.068049507141403, 7.999910402829435, 13642.29992590481]| 27.4890842437744141|      0.00000053|[166, 55, 0, 55]                                                           | 
      21|[-3.30983969192e-05, 2.98325910961e-05, 1.0000875530912765, 0.0501206242746719, 17.068049507141403, 7.999910402829435, 13642.29992590481]| 27.4890842437744141|      0.00000016|[175, 58, 0, 58]                                                           | 
      22|[-3.31181052662e-05, 2.9793710457e-05, 1.00008746962137, 0.0501207350383154, 17.06804945174786, 7.999910371264686, 13642.299925919573]| 27.4890575408935547|      0.00000053|[178, 59, 0, 59]                                                           | 
      23|[-3.31181052662e-05, 2.9793710457e-05, 1.00008746962137, 0.0501207350383154, 17.06804945174786, 7.999910371264686, 13642.299925919573]| 27.4890575408935547|      0.00000016|[187, 62, 0, 62]                                                           | 
      24|[-3.31181052662e-05, 2.9793710457e-05, 1.00008746962137, 0.0501207350383154, 17.06804945174786, 7.999910371264686, 13642.299925919573]| 27.4890575408935547|      0.00000005|[196, 65, 0, 65]                                                           | 
      25|[-3.31240177704e-05, 2.97820462647e-05, 1.0000874533157837, 0.0501207735272395, 17.0680494351298, 7.999910361795261, 13642.299925921463]| 27.4890556335449219|      0.00000016|[205, 68, 0, 68]                                                           | 
      26|[-3.31240177704e-05, 2.97820462647e-05, 1.0000874533157837, 0.0501207735272395, 17.0680494351298, 7.999910361795261, 13642.299925921463]| 27.4890556335449219|      0.00000005|[214, 71, 0, 71]                                                           | 
