k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      | 24.0625000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
      27|[0.5061769019046624, 0.650135538211092]                                         |  0.2615069448947906|      0.03125000|[178, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      28|[0.5061769019046624, 0.650135538211092]                                         |  0.2615069448947906|      0.01562500|[184, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.512914153740537, 0.6642334126147036]                                         |  0.2562662661075592|      0.03125000|[189, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      30|[0.512914153740537, 0.6642334126147036]                                         |  0.2562662661075592|      0.01562500|[196, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      31|[0.4974905635978191, 0.6667341109390635]                                        |  0.2448339909315109|      0.03125000|[201, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[0.4974905635978191, 0.6667341109390635]                                        |  0.2448339909315109|      0.01562500|[209, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.4974905635978191, 0.6667341109390635]                                        |  0.2448339909315109|      0.00781250|[216, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.493357287076469, 0.6733636796616922]                                         |  0.2423535883426666|      0.01562500|[221, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      35|[0.493357287076469, 0.6733636796616922]                                         |  0.2423535883426666|      0.00781250|[228, 87, 0, 87]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.493357287076469, 0.6733636796616922]                                         |  0.2423535883426666|      0.00390625|[236, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.493357287076469, 0.6733636796616922]                                         |  0.2423535883426666|      0.00195312|[243, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.4930015094847636, 0.675284127414396]                                         |  0.2421572953462601|      0.00390625|[250, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      39|[0.4930015094847636, 0.675284127414396]                                         |  0.2421572953462601|      0.00195312|[256, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      40|[0.4930015094847636, 0.675284127414396]                                         |  0.2421572953462601|      0.00097656|[262, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      41|[0.4920274311846326, 0.6752145157658004]                                        |  0.2419526129961014|      0.00195312|[268, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      42|[0.4920274311846326, 0.6752145157658004]                                        |  0.2419526129961014|      0.00097656|[276, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.4916523652007057, 0.6761161807945706]                                        |  0.2418418675661087|      0.00195312|[283, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      44|[0.4916523652007057, 0.6761161807945706]                                        |  0.2418418675661087|      0.00097656|[291, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.4907644237831016, 0.6765226710838883]                                        |  0.2416832447052002|      0.00195312|[297, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      46|[0.4890167350895055, 0.6773946123066213]                                        |  0.2415033280849457|      0.00390625|[304, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      47|[0.4869771003679655, 0.6807260803411653]                                        |  0.2410450875759125|      0.00781250|[310, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[0.4869771003679655, 0.6807260803411653]                                        |  0.2410450875759125|      0.00390625|[318, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.4869771003679655, 0.6807260803411653]                                        |  0.2410450875759125|      0.00195312|[325, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      50|[0.485090801092504, 0.6812326100135623]                                         |  0.2409588396549225|      0.00390625|[330, 126, 0, 126]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      51|[0.485090801092504, 0.6812326100135623]                                         |  0.2409588396549225|      0.00195312|[338, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[0.4843445202581609, 0.6830375372093009]                                        |  0.2407514154911041|      0.00390625|[343, 131, 0, 131]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      53|[0.4843445202581609, 0.6830375372093009]                                        |  0.2407514154911041|      0.00195312|[350, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.4843445202581609, 0.6830375372093009]                                        |  0.2407514154911041|      0.00097656|[356, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.4843445202581609, 0.6830375372093009]                                        |  0.2407514154911041|      0.00048828|[362, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.4839370329506402, 0.6833065589060302]                                        |  0.2407198548316956|      0.00097656|[368, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      57|[0.48303825763193, 0.6836884977007129]                                          |  0.2406956553459167|      0.00195312|[376, 143, 0, 143]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      58|[0.48303825763193, 0.6836884977007129]                                          |  0.2406956553459167|      0.00097656|[382, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[0.48303825763193, 0.6836884977007129]                                          |  0.2406956553459167|      0.00048828|[389, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.4832403902903698, 0.6841329760100753]                                        |  0.2406624257564545|      0.00097656|[395, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      61|[0.482558622264036, 0.6848321660233586]                                         |  0.2406176030635834|      0.00195312|[400, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      62|[0.482558622264036, 0.6848321660233586]                                         |  0.2406176030635834|      0.00097656|[407, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.482558622264036, 0.6848321660233586]                                         |  0.2406176030635834|      0.00048828|[414, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      64|[0.482558622264036, 0.6848321660233586]                                         |  0.2406176030635834|      0.00024414|[420, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
