k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
      27|[1.1071660770758907, 0.9285795664229466]                                        |  0.0151886185631156|      0.03125000|[175, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      28|[1.1071660770758907, 0.9285795664229466]                                        |  0.0151886185631156|      0.01562500|[181, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[1.1071660770758907, 0.9285795664229466]                                        |  0.0151886185631156|      0.00781250|[187, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[1.100670161515137, 0.9329198702461321]                                         |  0.0134391104802489|      0.01562500|[192, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[1.0891011446852066, 0.9434221783062102]                                        |  0.0103095360100269|      0.03125000|[197, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      32|[1.0891011446852066, 0.9434221783062102]                                        |  0.0103095360100269|      0.01562500|[204, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[1.0734945662933222, 0.9426636693095823]                                        |  0.0090899039059877|      0.03125000|[212, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      34|[1.0734945662933222, 0.9426636693095823]                                        |  0.0090899039059877|      0.01562500|[219, 82, 0, 82]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      35|[1.0675848954302787, 0.9571279845471072]                                        |  0.0059537538327277|      0.03125000|[224, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      36|[1.0675848954302787, 0.9571279845471072]                                        |  0.0059537538327277|      0.01562500|[231, 87, 0, 87]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      37|[1.0675848954302787, 0.9571279845471072]                                        |  0.0059537538327277|      0.00781250|[239, 90, 0, 90]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      38|[1.0597907808463107, 0.957663646849289]                                         |  0.0052333893254399|      0.01562500|[246, 93, 0, 93]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      39|[1.0540376192024783, 0.972190923128755]                                         |  0.0038084629923105|      0.03125000|[253, 96, 0, 96]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      40|[1.0540376192024783, 0.972190923128755]                                         |  0.0038084629923105|      0.01562500|[259, 98, 0, 98]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
