k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      24|[-1.4164884850211916, 4.352598064382102, 2.863701880270779, 7.328907269179056, 1.933420049367204, 6.9821510703100484]|  3.5815885066986084|      0.04000000|[321, 48, 0, 48]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      25|[-1.4005754642957338, 4.378800491179496, 2.8670834494232746, 7.325925853140445, 1.9235938528144108, 6.958841617054001]|  3.5193533897399902|      0.20000000|[334, 50, 0, 50]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      26|[-1.4005754642957338, 4.378800491179496, 2.8670834494232746, 7.325925853140445, 1.9235938528144108, 6.958841617054001]|  3.5193533897399902|      0.04000000|[347, 52, 0, 52]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      27|[-1.374681833639938, 4.3908164955325955, 2.855240184897506, 7.304074316133231, 1.9131583621480526, 6.951194167727926]|  3.4509203433990479|      0.20000000|[360, 54, 0, 54]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      28|[-1.374681833639938, 4.3908164955325955, 2.855240184897506, 7.304074316133231, 1.9131583621480526, 6.951194167727926]|  3.4509203433990479|      0.04000000|[373, 56, 0, 56]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      29|[-1.3578513947625344, 4.415873114742123, 2.856528312866677, 7.2900074853527235, 1.8940113438171233, 6.940114508520829]|  3.3854942321777344|      0.20000000|[387, 58, 0, 58]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      30|[-1.3578513947625344, 4.415873114742123, 2.856528312866677, 7.2900074853527235, 1.8940113438171233, 6.940114508520829]|  3.3854942321777344|      0.04000000|[400, 60, 0, 60]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      31|[-1.361055932007619, 4.42190848947239, 2.835981421211827, 7.287937440001929, 1.8693071467588345, 6.917386816244998]|  3.3403594493865967|      0.20000000|[413, 62, 0, 62]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      32|[-1.361055932007619, 4.42190848947239, 2.835981421211827, 7.287937440001929, 1.8693071467588345, 6.917386816244998]|  3.3403594493865967|      0.04000000|[427, 64, 0, 64]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      33|[-1.341445610004046, 4.4440898427950435, 2.8232774399365033, 7.270323192416815, 1.8618846195588103, 6.903362691765259]|  3.2694911956787109|      0.20000000|[441, 66, 0, 66]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      34|[-1.341445610004046, 4.4440898427950435, 2.8232774399365033, 7.270323192416815, 1.8618846195588103, 6.903362691765259]|  3.2694911956787109|      0.04000000|[454, 68, 0, 68]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      35|[-1.3127796138132777, 4.448924906023045, 2.816806360894838, 7.260391158394535, 1.8748487604615562, 6.8822370269747095]|  3.2288258075714111|      0.20000000|[467, 70, 0, 70]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      36|[-1.3127796138132777, 4.448924906023045, 2.816806360894838, 7.260391158394535, 1.8748487604615562, 6.8822370269747095]|  3.2288258075714111|      0.04000000|[480, 72, 0, 72]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      37|[-1.3038472225285411, 4.459113193751467, 2.7953885288808964, 7.2328679975818, 1.8607550215890571, 6.881000178401945]|  3.1688940525054932|      0.20000000|[494, 74, 0, 74]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      38|[-1.3038472225285411, 4.459113193751467, 2.7953885288808964, 7.2328679975818, 1.8607550215890571, 6.881000178401945]|  3.1688940525054932|      0.04000000|[507, 76, 0, 76]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      39|[-1.298361174168997, 4.4781135333378845, 2.7709804602931283, 7.21474758661327, 1.8440912119643056, 6.883665644952846]|  3.1126382350921631|      0.20000000|[521, 78, 0, 78]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      40|[-1.298361174168997, 4.4781135333378845, 2.7709804602931283, 7.21474758661327, 1.8440912119643056, 6.883665644952846]|  3.1126382350921631|      0.04000000|[534, 80, 0, 80]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      41|[-1.2848934159976904, 4.507664947270937, 2.7572462086776612, 7.197421765542648, 1.8393255350907567, 6.877851179790396]|  3.0502400398254395|      0.20000000|[547, 82, 0, 82]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
