k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      34|[0.1271489664831011, -0.0813054772351537]                                       |  0.0084607247263193|      0.01000000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      35|[0.1190682817494967, -0.0754145915431636]                                       |  0.0073833642527461|      0.10000000|[191, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.1190682817494967, -0.0754145915431636]                                       |  0.0073833642527461|      0.01000000|[196, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.1098551547853913, -0.0715263668141551]                                       |  0.0063796383328736|      0.10000000|[201, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[0.1098551547853913, -0.0715263668141551]                                       |  0.0063796383328736|      0.01000000|[206, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.1098551547853913, -0.0715263668141551]                                       |  0.0063796383328736|      0.00100000|[211, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.1090144496500431, -0.0709848736236169]                                       |  0.0062830229289830|      0.01000000|[216, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[0.1015045145521767, -0.0643817777719854]                                       |  0.0053721545264125|      0.10000000|[221, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[0.1015045145521767, -0.0643817777719854]                                       |  0.0053721545264125|      0.01000000|[226, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.1015045145521767, -0.0643817777719854]                                       |  0.0053721545264125|      0.00100000|[231, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      44|[0.1006255448583879, -0.0639049001384137]                                       |  0.0052832583896816|      0.01000000|[237, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      45|[0.1006255448583879, -0.0639049001384137]                                       |  0.0052832583896816|      0.00100000|[243, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[0.0997368264155573, -0.0634464467281605]                                       |  0.0051951953209937|      0.01000000|[248, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[0.0997368264155573, -0.0634464467281605]                                       |  0.0051951953209937|      0.00100000|[253, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.0988756065559752, -0.0629382141500416]                                       |  0.0051078922115266|      0.01000000|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[0.0988756065559752, -0.0629382141500416]                                       |  0.0051078922115266|      0.00100000|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[0.0980001847892367, -0.0624548543148045]                                       |  0.0050213476642966|      0.01000000|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[0.0980001847892367, -0.0624548543148045]                                       |  0.0050213476642966|      0.00100000|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.0971229255013528, -0.0619748375007017]                                       |  0.0049355914816260|      0.01000000|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[0.0971229255013528, -0.0619748375007017]                                       |  0.0049355914816260|      0.00100000|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.0962609551765994, -0.0614678787654535]                                       |  0.0048505887389183|      0.01000000|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      55|[0.0962609551765994, -0.0614678787654535]                                       |  0.0048505887389183|      0.00100000|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.0954018900213411, -0.0609560125143478]                                       |  0.0047663487493992|      0.01000000|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      57|[0.0954018900213411, -0.0609560125143478]                                       |  0.0047663487493992|      0.00100000|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.0945281188200068, -0.060469675298294]                                        |  0.0046828929334879|      0.01000000|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[0.0945281188200068, -0.060469675298294]                                        |  0.0046828929334879|      0.00100000|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      60|[0.0936779423489175, -0.0599431774654342]                                       |  0.0046001840382814|      0.01000000|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      61|[0.0936779423489175, -0.0599431774654342]                                       |  0.0046001840382814|      0.00100000|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[0.092818942011813, -0.0594312024456781]                                        |  0.0045182141475379|      0.01000000|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      63|[0.092818942011813, -0.0594312024456781]                                        |  0.0045182141475379|      0.00100000|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      64|[0.0919626826289825, -0.0589146563496568]                                       |  0.0044369967654347|      0.01000000|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[0.0919626826289825, -0.0589146563496568]                                       |  0.0044369967654347|      0.00100000|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      66|[0.0911204317138785, -0.0583755706458893]                                       |  0.0043565528467298|      0.01000000|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      67|[0.0911204317138785, -0.0583755706458893]                                       |  0.0043565528467298|      0.00100000|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      68|[0.0902772838935976, -0.0578378888132452]                                       |  0.0042768465355039|      0.01000000|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      69|[0.0902772838935976, -0.0578378888132452]                                       |  0.0042768465355039|      0.00100000|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      70|[0.0894240755966016, -0.0573163184901466]                                       |  0.0041978657245636|      0.01000000|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[0.0894240755966016, -0.0573163184901466]                                       |  0.0041978657245636|      0.00100000|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.088557634822852, -0.0568170386231539]                                        |  0.0041196639649570|      0.01000000|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[0.088557634822852, -0.0568170386231539]                                        |  0.0041196639649570|      0.00100000|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.0877094124159522, -0.0562873984165673]                                       |  0.0040421788580716|      0.01000000|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[0.0877094124159522, -0.0562873984165673]                                       |  0.0040421788580716|      0.00100000|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[0.0868617357165859, -0.0557568852561731]                                       |  0.0039654355496168|      0.01000000|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[0.0868617357165859, -0.0557568852561731]                                       |  0.0039654355496168|      0.00100000|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[0.0860002528659225, -0.0552490985903253]                                       |  0.0038894610479474|      0.01000000|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[0.0860002528659225, -0.0552490985903253]                                       |  0.0038894610479474|      0.00100000|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.0851373728291172, -0.0547436898032203]                                       |  0.0038142451085150|      0.01000000|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
