k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
      11|[1.0563710380796807, -0.0810637073695646, 0.2386454172966477, 1.526375815143396, -0.0724002221670649, -0.0613068171630724, 0.1219172550795039, 0.0486773516866894, -0.0270789619069238, -0.007727375235665, -0.0936907978278565, 0.0406496269839296, 0.0125381058085059, -0.1919427651304494, -0.0748288966776112, -0.0465609412882066, 0.0138969237537642, -0.0406269336450466, -0.0449203994261933, 0.0294402559738648, -0.0765277350317076, -0.0960210552980098]| 12.3139448165893555|      0.50000000|[1064, 74, 0, 37]                                                          |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | iterate success | actual_k=2
      12|[1.0563710380796807, -0.0810637073695646, 0.2386454172966477, 1.526375815143396, -0.0724002221670649, -0.0613068171630724, 0.1219172550795039, 0.0486773516866894, -0.0270789619069238, -0.007727375235665, -0.0936907978278565, 0.0406496269839296, 0.0125381058085059, -0.1919427651304494, -0.0748288966776112, -0.0465609412882066, 0.0138969237537642, -0.0406269336450466, -0.0449203994261933, 0.0294402559738648, -0.0765277350317076, -0.0960210552980098]| 12.3139448165893555|      0.25000000|[1178, 82, 0, 41]                                                          |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[1.0563710380796807, -0.0810637073695646, 0.2386454172966477, 1.526375815143396, -0.0724002221670649, -0.0613068171630724, 0.1219172550795039, 0.0486773516866894, -0.0270789619069238, -0.007727375235665, -0.0936907978278565, 0.0406496269839296, 0.0125381058085059, -0.1919427651304494, -0.0748288966776112, -0.0465609412882066, 0.0138969237537642, -0.0406269336450466, -0.0449203994261933, 0.0294402559738648, -0.0765277350317076, -0.0960210552980098]| 12.3139448165893555|      0.12500000|[1292, 90, 0, 45]                                                          |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[1.0848875706327454, -0.0924405937466199, 0.2696496837140256, 1.6145698478191985, -0.0914933440737233, -0.052592603944284, 0.1725360226338373, 0.0671111866792851, -0.022671511214367, 0.0230465673518655, -0.1112954212145145, 0.0448030920314815, 0.0131536941717275, -0.1897810640781302, -0.0729374341187084, -0.0570580583473928, 0.0199758336087735, -0.0347993985414707, -0.0257925389485606, 0.0321573886987317, -0.1029346330913841, -0.0892077195480945]| 12.2669382095336914|      0.25000000|[1350, 94, 0, 47]                                                          |  | trying quadratic partial model with 31 points | iterate success | actual_k=2
      15|[1.0848875706327454, -0.0924405937466199, 0.2696496837140256, 1.6145698478191985, -0.0914933440737233, -0.052592603944284, 0.1725360226338373, 0.0671111866792851, -0.022671511214367, 0.0230465673518655, -0.1112954212145145, 0.0448030920314815, 0.0131536941717275, -0.1897810640781302, -0.0729374341187084, -0.0570580583473928, 0.0199758336087735, -0.0347993985414707, -0.0257925389485606, 0.0321573886987317, -0.1029346330913841, -0.0892077195480945]| 12.2669382095336914|      0.12500000|[1464, 102, 0, 51]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[1.161734486811389, -0.0868624417010821, 0.2870614553023683, 1.7113939107964087, -0.0920489153175201, -0.0532411558784461, 0.1735647825125916, 0.0668228526085388, -0.0237167861745703, 0.0223965758200264, -0.1123184363271297, 0.0447589470405048, 0.0141296042712937, -0.1895768239515236, -0.0730235815314571, -0.0561384646785018, 0.0191525172508479, -0.0336275772610629, -0.0262922913035603, 0.0325921321113378, -0.1036629879675598, -0.088175772847462]| 12.2142000198364258|      0.25000000|[1550, 108, 0, 54]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | iterate success | actual_k=2
      17|[1.161734486811389, -0.0868624417010821, 0.2870614553023683, 1.7113939107964087, -0.0920489153175201, -0.0532411558784461, 0.1735647825125916, 0.0668228526085388, -0.0237167861745703, 0.0223965758200264, -0.1123184363271297, 0.0447589470405048, 0.0141296042712937, -0.1895768239515236, -0.0730235815314571, -0.0561384646785018, 0.0191525172508479, -0.0336275772610629, -0.0262922913035603, 0.0325921321113378, -0.1036629879675598, -0.088175772847462]| 12.2142000198364258|      0.12500000|[1666, 116, 0, 58]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[1.161734486811389, -0.0868624417010821, 0.2870614553023683, 1.7113939107964087, -0.0920489153175201, -0.0532411558784461, 0.1735647825125916, 0.0668228526085388, -0.0237167861745703, 0.0223965758200264, -0.1123184363271297, 0.0447589470405048, 0.0141296042712937, -0.1895768239515236, -0.0730235815314571, -0.0561384646785018, 0.0191525172508479, -0.0336275772610629, -0.0262922913035603, 0.0325921321113378, -0.1036629879675598, -0.088175772847462]| 12.2142000198364258|      0.06250000|[1780, 124, 0, 62]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[1.1841911997107832, -0.0897147613896321, 0.2885159262149041, 1.7549813594369204, -0.0934531414467931, -0.0542760313775124, 0.1766046409079433, 0.0958058392908829, -0.0264138389005377, 0.0344590010303334, -0.1148729367406525, 0.0456567898969562, 0.014650469780019, -0.2078149217054378, -0.0695858885241149, -0.0485150566997263, 0.0192651789194028, -0.0303856939122077, -0.0274504723329948, 0.0338686680903514, -0.1112313145530139, -0.085763781636251]| 12.1979293823242188|      0.12500000|[1838, 128, 0, 64]                                                         |  | trying quadratic partial model with 31 points | iterate success | actual_k=2
      20|[1.1841911997107832, -0.0897147613896321, 0.2885159262149041, 1.7549813594369204, -0.0934531414467931, -0.0542760313775124, 0.1766046409079433, 0.0958058392908829, -0.0264138389005377, 0.0344590010303334, -0.1148729367406525, 0.0456567898969562, 0.014650469780019, -0.2078149217054378, -0.0695858885241149, -0.0485150566997263, 0.0192651789194028, -0.0303856939122077, -0.0274504723329948, 0.0338686680903514, -0.1112313145530139, -0.085763781636251]| 12.1979293823242188|      0.06250000|[1952, 136, 0, 68]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      21|[1.2053458695723631, -0.0708144613977588, 0.2959939544972552, 1.8012926968022693, -0.1059037721238541, -0.0466902036237363, 0.1799629859688135, 0.0956300167148966, -0.0267390776326802, 0.0399463329604203, -0.1112003894161521, 0.039675801987978, 0.0108555090086504, -0.1978956032150722, -0.0642479359350683, -0.0509716571740002, 0.0277647052838173, -0.0178970523366421, -0.0399689275784454, 0.0411351594969826, -0.1081622097694903, -0.087505781366223]| 12.1829185485839844|      0.12500000|[2010, 140, 0, 70]                                                         |  | trying quadratic partial model with 31 points | iterate success | actual_k=2
