k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      27|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.10000000|[181, 64, 0, 64]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      27|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.10000000|[186, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | DECALRED SUCCESS
      27|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.10000000|[189, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      27|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.10000000|[194, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | DECALRED SUCCESS
      27|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.10000000|[197, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      27|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.10000000|[200, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      27|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.10000000|[203, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      27|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.10000000|[206, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      27|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.10000000|[209, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      27|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.10000000|[212, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      28|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.01000000|[218, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      28|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.01000000|[221, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      28|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.01000000|[224, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      28|[0.3327198760356266, 0.0906421761562177]                                        |  0.0387867167592049|      0.01000000|[227, 80, 0, 80]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
