k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.90000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       2|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.81000000|[53, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       3|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.72900000|[79, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       4|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.65610000|[105, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       5|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.59049000|[131, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       6|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.53144100|[157, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       7|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.47829690|[184, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       8|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.43046721|[212, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       9|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.38742049|[238, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      10|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.34867844|[264, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[1.0423357485652218, 0.9852018041805427, 0.9800341884104389, 0.9233579450447352, 0.8971059269135219, 0.9381305631394432, 0.8959859874257293, 0.9324958381085234, 0.9682296215615493, 0.9341185640013449, 0.9521391287688502, 0.7718175966638812, 1.0757948000354263, 0.9927794043799686, 1.0059054075145213, 1.0030956614355284, 0.9651254964453748, 0.9241963915396142, 1.0137544357016568, 0.9292659983206969, 1.0759165846806988, 0.9941091431985656]|  1.4428130388259888|      0.38742049|[290, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[1.0423357485652218, 0.9852018041805427, 0.9800341884104389, 0.9233579450447352, 0.8971059269135219, 0.9381305631394432, 0.8959859874257293, 0.9324958381085234, 0.9682296215615493, 0.9341185640013449, 0.9521391287688502, 0.7718175966638812, 1.0757948000354263, 0.9927794043799686, 1.0059054075145213, 1.0030956614355284, 0.9651254964453748, 0.9241963915396142, 1.0137544357016568, 0.9292659983206969, 1.0759165846806988, 0.9941091431985656]|  1.4428130388259888|      0.34867844|[316, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      13|[1.0423357485652218, 0.9852018041805427, 0.9800341884104389, 0.9233579450447352, 0.8971059269135219, 0.9381305631394432, 0.8959859874257293, 0.9324958381085234, 0.9682296215615493, 0.9341185640013449, 0.9521391287688502, 0.7718175966638812, 1.0757948000354263, 0.9927794043799686, 1.0059054075145213, 1.0030956614355284, 0.9651254964453748, 0.9241963915396142, 1.0137544357016568, 0.9292659983206969, 1.0759165846806988, 0.9941091431985656]|  1.4428130388259888|      0.31381060|[342, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      14|[1.0423357485652218, 0.9852018041805427, 0.9800341884104389, 0.9233579450447352, 0.8971059269135219, 0.9381305631394432, 0.8959859874257293, 0.9324958381085234, 0.9682296215615493, 0.9341185640013449, 0.9521391287688502, 0.7718175966638812, 1.0757948000354263, 0.9927794043799686, 1.0059054075145213, 1.0030956614355284, 0.9651254964453748, 0.9241963915396142, 1.0137544357016568, 0.9292659983206969, 1.0759165846806988, 0.9941091431985656]|  1.4428130388259888|      0.28242954|[369, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      15|[1.0423357485652218, 0.9852018041805427, 0.9800341884104389, 0.9233579450447352, 0.8971059269135219, 0.9381305631394432, 0.8959859874257293, 0.9324958381085234, 0.9682296215615493, 0.9341185640013449, 0.9521391287688502, 0.7718175966638812, 1.0757948000354263, 0.9927794043799686, 1.0059054075145213, 1.0030956614355284, 0.9651254964453748, 0.9241963915396142, 1.0137544357016568, 0.9292659983206969, 1.0759165846806988, 0.9941091431985656]|  1.4428130388259888|      0.25418658|[396, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      16|[1.0131241570393574, 0.9580250447657358, 0.9342582557412156, 0.8528763311478342, 0.9015578612946309, 0.9532930678799088, 0.8658176026889326, 0.848538974460179, 1.0116547407010137, 0.9039104440922421, 0.9928497588064776, 0.6449126046895162, 1.0818757504029144, 0.9706550027387773, 0.9852898357284177, 1.0473402906441864, 1.0237542661714745, 0.9178948701840663, 1.0876370682835637, 1.0275149312965302, 1.0322479260908834, 1.0556085271145699]|  1.3998076915740967|      0.28242954|[422, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      17|[0.9170104477608925, 0.8819696990991429, 0.8856429559257721, 0.8804663775185406, 0.8289508213271969, 0.8854267844890973, 0.8007797568178012, 0.7641520234379324, 0.9907546652312157, 0.8490427854852725, 0.9442845267544638, 0.526766080621367, 1.0150437232043839, 0.8907040356395576, 0.9601207823797359, 0.9764791662850736, 1.0182035585840103, 0.8895995004799411, 1.0665780537990426, 0.977040646804364, 1.0475700489050568, 1.0630634783535773]|  1.3356561660766602|      0.31381060|[448, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      18|[0.9170104477608925, 0.8819696990991429, 0.8856429559257721, 0.8804663775185406, 0.8289508213271969, 0.8854267844890973, 0.8007797568178012, 0.7641520234379324, 0.9907546652312157, 0.8490427854852725, 0.9442845267544638, 0.526766080621367, 1.0150437232043839, 0.8907040356395576, 0.9601207823797359, 0.9764791662850736, 1.0182035585840103, 0.8895995004799411, 1.0665780537990426, 0.977040646804364, 1.0475700489050568, 1.0630634783535773]|  1.3356561660766602|      0.28242954|[474, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      19|[0.9170104477608925, 0.8819696990991429, 0.8856429559257721, 0.8804663775185406, 0.8289508213271969, 0.8854267844890973, 0.8007797568178012, 0.7641520234379324, 0.9907546652312157, 0.8490427854852725, 0.9442845267544638, 0.526766080621367, 1.0150437232043839, 0.8907040356395576, 0.9601207823797359, 0.9764791662850736, 1.0182035585840103, 0.8895995004799411, 1.0665780537990426, 0.977040646804364, 1.0475700489050568, 1.0630634783535773]|  1.3356561660766602|      0.25418658|[500, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      20|[0.8652471167703765, 0.9095537685850302, 0.8664191929303892, 0.8483914399761736, 0.8138337094212287, 0.7762601604806927, 0.7864657844809939, 0.7590641679268653, 0.967208798068022, 0.7419663604081412, 0.9288988523449289, 0.4005286830065625, 0.9702463440840993, 0.9164769047118878, 0.9650204151255967, 0.9970738639793507, 1.0921944918817554, 0.8416347899050411, 1.0408651474829311, 0.8949796754884997, 1.0672316666508643, 1.0860181371084074]|  1.2870200872421265|      0.28242954|[526, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
