k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      12|[0.8179545222778634, 9.72744601335755, 1.1223442657912646]                      |  0.0123064713552594|      0.06250000|[125, 43, 0, 43]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.8179545222778634, 9.72744601335755, 1.1223442657912646]                      |  0.0123064713552594|      0.06250000|[128, 44, 0, 44]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      13|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.12500000|[133, 46, 0, 46]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.12500000|[136, 47, 0, 47]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      14|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.06250000|[141, 49, 0, 49]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.06250000|[144, 50, 0, 50]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      15|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.03125000|[149, 52, 0, 52]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.03125000|[152, 53, 0, 53]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      15|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.03125000|[155, 54, 0, 54]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      16|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.01562500|[160, 56, 0, 56]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.01562500|[163, 57, 0, 57]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      16|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.01562500|[166, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      16|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.01562500|[169, 59, 0, 59]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      17|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00781250|[175, 61, 0, 61]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[181, 63, 0, 63]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[184, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[187, 65, 0, 65]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[190, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[193, 67, 0, 67]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[196, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[199, 69, 0, 69]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[202, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[205, 71, 0, 71]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[208, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      18|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00390625|[211, 73, 0, 73]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      19|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00195312|[216, 75, 0, 75]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00195312|[219, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      19|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00195312|[222, 77, 0, 77]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      19|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00195312|[225, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      19|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00195312|[228, 79, 0, 79]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
      19|[0.8393653242938315, 9.757855901121912, 1.0814596523671007]                     |  0.0065366597846150|      0.00195312|[231, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | DECALRED SUCCESS
