k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.90000000|[175, 12, 0, 3]                                                            |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
       2|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.81000000|[348, 24, 0, 6]                                                            |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
       3|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.72900000|[522, 36, 0, 9]                                                            |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
       4|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.65610000|[694, 48, 0, 12]                                                           |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
       5|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.59049000|[868, 60, 0, 15]                                                           |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
       6|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.53144100|[1040, 72, 0, 18]                                                          |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
       7|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.47829690|[1213, 84, 0, 21]                                                          |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
       8|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.43046721|[1386, 96, 0, 24]                                                          |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
       9|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.38742049|[1559, 108, 0, 27]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
