k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      30|[0.5549190256547407, 0.0594581213692057, -8.049808411959022]                    |  1.3112651109695435|      0.25000000|[164, 60, 0, 60]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      31|[0.5549190256547407, 0.0594581213692057, -8.049808411959022]                    |  1.3112651109695435|      0.12500000|[170, 62, 0, 62]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.5549190256547407, 0.0594581213692057, -8.049808411959022]                    |  1.3112651109695435|      0.06250000|[175, 64, 0, 64]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.5549190256547407, 0.0594581213692057, -8.049808411959022]                    |  1.3112651109695435|      0.03125000|[180, 66, 0, 66]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.5402353872552663, 0.0351640370950851, -8.062875574337879]                    |  1.2925493717193604|      0.06250000|[186, 68, 0, 68]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      35|[0.4779605665071971, 0.0337828248592468, -8.06799308873018]                     |  1.2290393114089966|      0.12500000|[192, 70, 0, 70]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      36|[0.4779605665071971, 0.0337828248592468, -8.06799308873018]                     |  1.2290393114089966|      0.06250000|[197, 72, 0, 72]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      37|[0.4361265395205331, 0.0291933065795034, -8.114200236532646]                    |  1.1905106306076050|      0.12500000|[203, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      38|[0.4361265395205331, 0.0291933065795034, -8.114200236532646]                    |  1.1905106306076050|      0.06250000|[209, 76, 0, 76]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      39|[0.4361265395205331, 0.0291933065795034, -8.114200236532646]                    |  1.1905106306076050|      0.03125000|[214, 78, 0, 78]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.4114746332276059, 0.0201469168460332, -8.097258901021096]                    |  1.1691251993179321|      0.06250000|[219, 80, 0, 80]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      41|[0.3531701417497498, 0.0213464101747022, -8.119739948355752]                    |  1.1246093511581421|      0.12500000|[225, 82, 0, 82]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      42|[0.3531701417497498, 0.0213464101747022, -8.119739948355752]                    |  1.1246093511581421|      0.06250000|[231, 84, 0, 84]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      43|[0.2908225081320359, 0.0219930783078498, -8.124053230469977]                    |  1.0844904184341431|      0.12500000|[236, 86, 0, 86]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      44|[0.2908225081320359, 0.0219930783078498, -8.124053230469977]                    |  1.0844904184341431|      0.06250000|[241, 88, 0, 88]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.2908225081320359, 0.0219930783078498, -8.124053230469977]                    |  1.0844904184341431|      0.03125000|[246, 90, 0, 90]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      46|[0.2610959248531751, 0.0245986356052504, -8.114774016185626]                    |  1.0682082176208496|      0.06250000|[251, 92, 0, 92]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      47|[0.2610959248531751, 0.0245986356052504, -8.114774016185626]                    |  1.0682082176208496|      0.03125000|[257, 94, 0, 94]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.2301965733249157, 0.0199376170194226, -8.114514245371979]                    |  1.0528057813644409|      0.06250000|[263, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[0.2301965733249157, 0.0199376170194226, -8.114514245371979]                    |  1.0528057813644409|      0.03125000|[269, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      50|[0.2001994968916174, 0.0202490511631738, -8.105759765705605]                    |  1.0399031639099121|      0.06250000|[275, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[0.2001994968916174, 0.0202490511631738, -8.105759765705605]                    |  1.0399031639099121|      0.03125000|[280, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.2001994968916174, 0.0202490511631738, -8.105759765705605]                    |  1.0399031639099121|      0.01562500|[286, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.1848588503274654, 0.0183542621828199, -8.108043394991128]                    |  1.0339200496673584|      0.03125000|[292, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      54|[0.1536996478322685, 0.0168071246088133, -8.106234261167883]                    |  1.0233124494552612|      0.06250000|[297, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
