k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      49|[0.5756428373468081, 0.5791175943321527, 0.5700433313092033, 0.5717931514128708, 0.5723183327239465, 0.5709660934483751, 0.5727059820439279, 0.571176247714744, 0.5699211820707537, 0.5741238014012263, 1.092240755602692, -0.267873554587351, 0.9494090952286723, 0.946173244606512, 0.9473226344441531, 0.9478850501795655, 0.8899583781366242, 0.8493268359882586, 0.9101470757583042, 0.9738787501776948, 0.9587736759769191, 0.9627112141584476]|  1.0015981197357178|      0.10941899|[6642, 2688, 0, 168]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 86 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=16
      50|[0.549907033657475, 0.5536947407698116, 0.5439807332997706, 0.5456289470069027, 0.5463273765822586, 0.5444894523884904, 0.546788534009169, 0.5453167243403143, 0.5436983901786789, 0.5481570347137448, 1.093480546257241, -0.3380345552807038, 0.9457102472971197, 0.9422521515451987, 0.9433917069480624, 0.9437656273959348, 0.8820848940693731, 0.8386212660183879, 0.9039471516666067, 0.9719360865683371, 0.9557863401716168, 0.959911429813264]|  0.9760852456092834|      0.12157665|[6725, 2720, 0, 170]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      51|[0.549907033657475, 0.5536947407698116, 0.5439807332997706, 0.5456289470069027, 0.5463273765822586, 0.5444894523884904, 0.546788534009169, 0.5453167243403143, 0.5436983901786789, 0.5481570347137448, 1.093480546257241, -0.3380345552807038, 0.9457102472971197, 0.9422521515451987, 0.9433917069480624, 0.9437656273959348, 0.8820848940693731, 0.8386212660183879, 0.9039471516666067, 0.9719360865683371, 0.9557863401716168, 0.959911429813264]|  0.9760852456092834|      0.10941899|[6886, 2784, 0, 174]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 124 points | exploitation failed, decreasing delta | actual_k=16
      52|[0.5243066092310885, 0.527762013229091, 0.5173882057579633, 0.5195420977085943, 0.5199600585538897, 0.5182286521100313, 0.5210793308891601, 0.5192410288615076, 0.5171640793576718, 0.522677028113696, 1.0941596807762626, -0.4077775026759612, 0.942103199905357, 0.9380708570451296, 0.9390475707903494, 0.9403454599974667, 0.8733016222013973, 0.8279643927842447, 0.8977690385388347, 0.9696559807973714, 0.952915752009961, 0.9567579709930008]|  0.9511838555335999|      0.12157665|[6973, 2816, 0, 176]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      53|[0.5243066092310885, 0.527762013229091, 0.5173882057579633, 0.5195420977085943, 0.5199600585538897, 0.5182286521100313, 0.5210793308891601, 0.5192410288615076, 0.5171640793576718, 0.522677028113696, 1.0941596807762626, -0.4077775026759612, 0.942103199905357, 0.9380708570451296, 0.9390475707903494, 0.9403454599974667, 0.8733016222013973, 0.8279643927842447, 0.8977690385388347, 0.9696559807973714, 0.952915752009961, 0.9567579709930008]|  0.9511838555335999|      0.10941899|[7131, 2880, 0, 180]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 86 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=16
      54|[0.4981566838223385, 0.5022094872828777, 0.4910878204534377, 0.4935030917101787, 0.49374151880429, 0.4918367888661608, 0.4946443039240581, 0.4932658828002512, 0.4908777650527015, 0.4966445270573345, 1.0941111363341303, -0.4770849699496511, 0.9382626055324975, 0.9339402375464974, 0.9347558696839161, 0.9361517200291029, 0.864855349432205, 0.8166771557017857, 0.8909299137509384, 0.967416901798231, 0.9497620875554283, 0.9539149663923784]|  0.9268801808357239|      0.12157665|[7212, 2912, 0, 182]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      55|[0.4981566838223385, 0.5022094872828777, 0.4910878204534377, 0.4935030917101787, 0.49374151880429, 0.4918367888661608, 0.4946443039240581, 0.4932658828002512, 0.4908777650527015, 0.4966445270573345, 1.0941111363341303, -0.4770849699496511, 0.9382626055324975, 0.9339402375464974, 0.9347558696839161, 0.9361517200291029, 0.864855349432205, 0.8166771557017857, 0.8909299137509384, 0.967416901798231, 0.9497620875554283, 0.9539149663923784]|  0.9268801808357239|      0.10941899|[7369, 2976, 0, 186]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 84 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=16
      56|[0.4719450425962461, 0.4762457115515096, 0.4643865958022832, 0.466901985900448, 0.4679363474896305, 0.4648580613609678, 0.4677891758525577, 0.4670735812499281, 0.4645582761297688, 0.4703978469961682, 1.0939670309800156, -0.5452628264609841, 0.9338325759254245, 0.9296209587110176, 0.9311648197255503, 0.9313650717148259, 0.8560460355132453, 0.8046226787143027, 0.8843590611047605, 0.965682948773011, 0.9470764956357794, 0.9508267790654596]|  0.9031727910041809|      0.12157665|[7451, 3008, 0, 188]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      57|[0.4719450425962461, 0.4762457115515096, 0.4643865958022832, 0.466901985900448, 0.4679363474896305, 0.4648580613609678, 0.4677891758525577, 0.4670735812499281, 0.4645582761297688, 0.4703978469961682, 1.0939670309800156, -0.5452628264609841, 0.9338325759254245, 0.9296209587110176, 0.9311648197255503, 0.9313650717148259, 0.8560460355132453, 0.8046226787143027, 0.8843590611047605, 0.965682948773011, 0.9470764956357794, 0.9508267790654596]|  0.9031727910041809|      0.10941899|[7606, 3072, 0, 192]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=16
      58|[0.4719450425962461, 0.4762457115515096, 0.4643865958022832, 0.466901985900448, 0.4679363474896305, 0.4648580613609678, 0.4677891758525577, 0.4670735812499281, 0.4645582761297688, 0.4703978469961682, 1.0939670309800156, -0.5452628264609841, 0.9338325759254245, 0.9296209587110176, 0.9311648197255503, 0.9313650717148259, 0.8560460355132453, 0.8046226787143027, 0.8843590611047605, 0.965682948773011, 0.9470764956357794, 0.9508267790654596]|  0.9031727910041809|      0.09847709|[7762, 3136, 0, 196]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 84 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=16
      59|[0.4483708613800954, 0.453725323795481, 0.4401624648998139, 0.4434578573791305, 0.4438029851506852, 0.4418309129416712, 0.4438892905574131, 0.4430795368792717, 0.4407217707205048, 0.446604987937684, 1.092802980460357, -0.6068303040642361, 0.9301678217312171, 0.9252206143186326, 0.9273120078416852, 0.9277152032913178, 0.8475200687699576, 0.7939642058450977, 0.8777296222810678, 0.9631167868874232, 0.9443182966902645, 0.9481399126611039]|  0.8823387026786804|      0.10941899|[7843, 3168, 0, 198]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      60|[0.4483708613800954, 0.453725323795481, 0.4401624648998139, 0.4434578573791305, 0.4438029851506852, 0.4418309129416712, 0.4438892905574131, 0.4430795368792717, 0.4407217707205048, 0.446604987937684, 1.092802980460357, -0.6068303040642361, 0.9301678217312171, 0.9252206143186326, 0.9273120078416852, 0.9277152032913178, 0.8475200687699576, 0.7939642058450977, 0.8777296222810678, 0.9631167868874232, 0.9443182966902645, 0.9481399126611039]|  0.8823387026786804|      0.09847709|[8000, 3232, 0, 202]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 86 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=16
      61|[0.4248202398156081, 0.4295944030751301, 0.4160444523092063, 0.4199790744691304, 0.4203470511506842, 0.4185161402342183, 0.4199374434453375, 0.4182999533489975, 0.4182034081712889, 0.4239163209601632, 1.0909847926131988, -0.6686640024852405, 0.9262192114661849, 0.9214454104776658, 0.9239280145148961, 0.9238308127083708, 0.8394878529186475, 0.7828148564709655, 0.8714758265158934, 0.9614020628445314, 0.9421398741470522, 0.945726193936462]|  0.8619825839996338|      0.10941899|[8083, 3264, 0, 204]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      62|[0.4248202398156081, 0.4295944030751301, 0.4160444523092063, 0.4199790744691304, 0.4203470511506842, 0.4185161402342183, 0.4199374434453375, 0.4182999533489975, 0.4182034081712889, 0.4239163209601632, 1.0909847926131988, -0.6686640024852405, 0.9262192114661849, 0.9214454104776658, 0.9239280145148961, 0.9238308127083708, 0.8394878529186475, 0.7828148564709655, 0.8714758265158934, 0.9614020628445314, 0.9421398741470522, 0.945726193936462]|  0.8619825839996338|      0.09847709|[8238, 3328, 0, 208]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 84 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=16
      63|[0.4009358810991687, 0.40667023209173, 0.3927023866674802, 0.3958215108625847, 0.3963499516708164, 0.3949450292969321, 0.3967857541760131, 0.3938057220210868, 0.3943351594163411, 0.4010063709394945, 1.088728942292261, -0.7302867976668866, 0.9220055389595843, 0.9180324870852633, 0.9197119276505489, 0.9198926363573484, 0.8316922344498935, 0.771866844655371, 0.8649767106265626, 0.9593415758754914, 0.9386677088191786, 0.9430774564786304]|  0.8420983552932739|      0.10941899|[8321, 3360, 0, 210]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      64|[0.4009358810991687, 0.40667023209173, 0.3927023866674802, 0.3958215108625847, 0.3963499516708164, 0.3949450292969321, 0.3967857541760131, 0.3938057220210868, 0.3943351594163411, 0.4010063709394945, 1.088728942292261, -0.7302867976668866, 0.9220055389595843, 0.9180324870852633, 0.9197119276505489, 0.9198926363573484, 0.8316922344498935, 0.771866844655371, 0.8649767106265626, 0.9593415758754914, 0.9386677088191786, 0.9430774564786304]|  0.8420983552932739|      0.09847709|[8476, 3424, 0, 214]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 84 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=16
      65|[0.3770512961123217, 0.3834674471927845, 0.3685847442427866, 0.3720489646327055, 0.3729131622982136, 0.3709554231963933, 0.3727351890616966, 0.3703420435592678, 0.3705592354015664, 0.3770776357076884, 1.0859823225312546, -0.7908824928396276, 0.9176952814962507, 0.9141258479790176, 0.91509468515651, 0.91574898503458, 0.8227905448113394, 0.7600627139855435, 0.85764779148601, 0.9565574567669101, 0.9353122334830435, 0.9403478711559401]|  0.8226854801177979|      0.10941899|[8560, 3456, 0, 216]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      66|[0.3770512961123217, 0.3834674471927845, 0.3685847442427866, 0.3720489646327055, 0.3729131622982136, 0.3709554231963933, 0.3727351890616966, 0.3703420435592678, 0.3705592354015664, 0.3770776357076884, 1.0859823225312546, -0.7908824928396276, 0.9176952814962507, 0.9141258479790176, 0.91509468515651, 0.91574898503458, 0.8227905448113394, 0.7600627139855435, 0.85764779148601, 0.9565574567669101, 0.9353122334830435, 0.9403478711559401]|  0.8226854801177979|      0.09847709|[8719, 3520, 0, 220]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 86 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=16
