k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      29|[0.5027654278362313, 25.142990762309495, 45.15795298958435, 41.786620776907846] |  0.0080657759681344|      0.00195312|[383, 58, 0, 58]                                                           |  | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.5008342474990682, 25.143032792232272, 45.158143677387464, 41.786403725258886]|  0.0080632446333766|      0.00390625|[396, 60, 0, 60]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      31|[0.5008342474990682, 25.143032792232272, 45.158143677387464, 41.786403725258886]|  0.0080632446333766|      0.00195312|[409, 62, 0, 62]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      32|[0.5008342474990682, 25.143032792232272, 45.158143677387464, 41.786403725258886]|  0.0080632446333766|      0.00097656|[422, 64, 0, 64]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.5008342474990682, 25.143032792232272, 45.158143677387464, 41.786403725258886]|  0.0080632446333766|      0.00048828|[435, 66, 0, 66]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      34|[0.5006553825825252, 25.143180570982597, 45.15845496665153, 41.78610760643855]  |  0.0080630574375391|      0.00097656|[449, 68, 0, 68]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      35|[0.5006553825825252, 25.143180570982597, 45.15845496665153, 41.78610760643855]  |  0.0080630574375391|      0.00048828|[463, 70, 0, 70]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      36|[0.5006887139446031, 25.143324590226257, 45.158746498268336, 41.78574487324009] |  0.0080628683790565|      0.00097656|[477, 72, 0, 72]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      37|[0.5006887139446031, 25.143324590226257, 45.158746498268336, 41.78574487324009] |  0.0080628683790565|      0.00048828|[490, 74, 0, 74]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      38|[0.5005521924630058, 25.14344739682437, 45.15910183655965, 41.78546481306379]   |  0.0080626998096704|      0.00097656|[504, 76, 0, 76]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      39|[0.5005521924630058, 25.14344739682437, 45.15910183655965, 41.78546481306379]   |  0.0080626998096704|      0.00048828|[517, 78, 0, 78]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      40|[0.500717288062091, 25.143588202784912, 45.15937820627051, 41.78512576220233]   |  0.0080625144764781|      0.00097656|[530, 80, 0, 80]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      41|[0.500717288062091, 25.143588202784912, 45.15937820627051, 41.78512576220233]   |  0.0080625144764781|      0.00048828|[543, 82, 0, 82]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      42|[0.5006721445805994, 25.143763871352622, 45.15965104041731, 41.78476370871479]  |  0.0080623263493180|      0.00097656|[556, 84, 0, 84]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      43|[0.5006721445805994, 25.143763871352622, 45.15965104041731, 41.78476370871479]  |  0.0080623263493180|      0.00048828|[569, 86, 0, 86]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
