k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[175, 12, 0, 3]                                                            |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
       2|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.25000000|[348, 24, 0, 6]                                                            |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
       3|[0.9445383097136834, 0.9446706931761139, 0.943743199298329, 0.9435216938433401, 0.9438107152253735, 0.9440088590973992, 0.9437721789371665, 0.9437540817343782, 0.9436001215814399, 0.944083793751603, 1.020355116727958, 0.8270266258116301, 0.9943096875711467, 0.9939701872163892, 0.994363316840025, 0.9942961984683862, 0.9871438018719363, 0.9824128507147372, 0.9901001610138582, 0.9972929854625171, 0.9956750817784825, 0.9958446729187974]|  1.4494061470031738|      0.50000000|[465, 32, 0, 8]                                                            |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
       4|[0.9445383097136834, 0.9446706931761139, 0.943743199298329, 0.9435216938433401, 0.9438107152253735, 0.9440088590973992, 0.9437721789371665, 0.9437540817343782, 0.9436001215814399, 0.944083793751603, 1.020355116727958, 0.8270266258116301, 0.9943096875711467, 0.9939701872163892, 0.994363316840025, 0.9942961984683862, 0.9871438018719363, 0.9824128507147372, 0.9901001610138582, 0.9972929854625171, 0.9956750817784825, 0.9958446729187974]|  1.4494061470031738|      0.25000000|[638, 44, 0, 11]                                                           |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
       5|[0.8886359121393345, 0.889305479402079, 0.8869023920153088, 0.887798544045455, 0.887423251469217, 0.8877987095205423, 0.8874648846286148, 0.8876733322803894, 0.8869341856630466, 0.8880386774422935, 1.0385962690209993, 0.6543503147357839, 0.9883254451877318, 0.9879488706891393, 0.988299695973038, 0.9883127150352009, 0.9739127741264304, 0.964035877481063, 0.9795975599363471, 0.9942640913672618, 0.9909157210990844, 0.9916604820911347]|  1.3729144334793091|      0.50000000|[755, 52, 0, 13]                                                           |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
       6|[0.8886359121393345, 0.889305479402079, 0.8869023920153088, 0.887798544045455, 0.887423251469217, 0.8877987095205423, 0.8874648846286148, 0.8876733322803894, 0.8869341856630466, 0.8880386774422935, 1.0385962690209993, 0.6543503147357839, 0.9883254451877318, 0.9879488706891393, 0.988299695973038, 0.9883127150352009, 0.9739127741264304, 0.964035877481063, 0.9795975599363471, 0.9942640913672618, 0.9909157210990844, 0.9916604820911347]|  1.3729144334793091|      0.25000000|[928, 64, 0, 16]                                                           |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
       7|[0.8331717620134493, 0.8340877104494429, 0.8307327098182218, 0.8311977248160524, 0.831017277552076, 0.8308922239712268, 0.8309673837400022, 0.8309886522309794, 0.8312782438387268, 0.8324887777099134, 1.0547848933838386, 0.4816683609397419, 0.9820651935995435, 0.9807086171680431, 0.9816160821365117, 0.9820306942466299, 0.960401269354217, 0.9447957342321849, 0.9678347905781548, 0.9909505715982703, 0.9855703141925607, 0.9871852495742581]|  1.2987372875213623|      0.50000000|[1044, 72, 0, 18]                                                          |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
       8|[0.8331717620134493, 0.8340877104494429, 0.8307327098182218, 0.8311977248160524, 0.831017277552076, 0.8308922239712268, 0.8309673837400022, 0.8309886522309794, 0.8312782438387268, 0.8324887777099134, 1.0547848933838386, 0.4816683609397419, 0.9820651935995435, 0.9807086171680431, 0.9816160821365117, 0.9820306942466299, 0.960401269354217, 0.9447957342321849, 0.9678347905781548, 0.9909505715982703, 0.9855703141925607, 0.9871852495742581]|  1.2987372875213623|      0.25000000|[1217, 84, 0, 21]                                                          |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
       9|[0.7768579546978863, 0.7782552707136016, 0.7739257541554858, 0.7746031005258883, 0.7746091977830726, 0.7740037469728657, 0.7744851810886194, 0.7742979247286246, 0.7740281963855361, 0.7761387365711192, 1.068736853681619, 0.3103532764258389, 0.975782967533846, 0.9738851144468654, 0.9746757666940242, 0.9752319662884434, 0.9457726129209634, 0.9252373077122525, 0.956579225686368, 0.9877105065160654, 0.9803434480319297, 0.9825591521347462]|  1.2271403074264526|      0.50000000|[1333, 92, 0, 23]                                                          |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      10|[0.7768579546978863, 0.7782552707136016, 0.7739257541554858, 0.7746031005258883, 0.7746091977830726, 0.7740037469728657, 0.7744851810886194, 0.7742979247286246, 0.7740281963855361, 0.7761387365711192, 1.068736853681619, 0.3103532764258389, 0.975782967533846, 0.9738851144468654, 0.9746757666940242, 0.9752319662884434, 0.9457726129209634, 0.9252373077122525, 0.956579225686368, 0.9877105065160654, 0.9803434480319297, 0.9825591521347462]|  1.2271403074264526|      0.25000000|[1505, 104, 0, 26]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      11|[0.7202797495396638, 0.721640889975604, 0.7162634698649929, 0.7173220001830981, 0.7175523177406398, 0.7168756829761771, 0.7177766271996308, 0.7176346223926001, 0.715971051553327, 0.719789047268312, 1.0798645965648683, 0.14066982278973, 0.968786725472241, 0.9668297590133896, 0.967605717464631, 0.9684892810978524, 0.9304922761835871, 0.9045979420716166, 0.944058941988975, 0.9840116871017792, 0.9745744396834841, 0.9778290239706454]|  1.1584420204162598|      0.50000000|[1621, 112, 0, 28]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      12|[0.7202797495396638, 0.721640889975604, 0.7162634698649929, 0.7173220001830981, 0.7175523177406398, 0.7168756829761771, 0.7177766271996308, 0.7176346223926001, 0.715971051553327, 0.719789047268312, 1.0798645965648683, 0.14066982278973, 0.968786725472241, 0.9668297590133896, 0.967605717464631, 0.9684892810978524, 0.9304922761835871, 0.9045979420716166, 0.944058941988975, 0.9840116871017792, 0.9745744396834841, 0.9778290239706454]|  1.1584420204162598|      0.25000000|[1793, 124, 0, 31]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      13|[0.6630533058759968, 0.6650712130818156, 0.6587471607777167, 0.6599668235723182, 0.6594347669598974, 0.6586687630884397, 0.6597966439796771, 0.6603184371143125, 0.6576874645508655, 0.6626602279763152, 1.0889944458979695, -0.0269968418416318, 0.9621531079532966, 0.958684059156366, 0.9598029072202189, 0.9612575741010335, 0.9151013350835081, 0.8831649844951104, 0.9310715404284283, 0.9803294187048975, 0.9687740025869793, 0.9730401210785877]|  1.0929234027862549|      0.50000000|[1909, 132, 0, 33]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      14|[0.6630533058759968, 0.6650712130818156, 0.6587471607777167, 0.6599668235723182, 0.6594347669598974, 0.6586687630884397, 0.6597966439796771, 0.6603184371143125, 0.6576874645508655, 0.6626602279763152, 1.0889944458979695, -0.0269968418416318, 0.9621531079532966, 0.958684059156366, 0.9598029072202189, 0.9612575741010335, 0.9151013350835081, 0.8831649844951104, 0.9310715404284283, 0.9803294187048975, 0.9687740025869793, 0.9730401210785877]|  1.0929234027862549|      0.25000000|[2081, 144, 0, 36]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      15|[0.6045176972692475, 0.6082049747632429, 0.5997707466801775, 0.6021612304840954, 0.6017663334851148, 0.6000465409387687, 0.601808749114049, 0.6026391573530633, 0.5988247509295863, 0.6052857439053586, 1.0950822292691158, -0.1926839196350736, 0.9541856949602561, 0.9511691378633123, 0.9523755833970945, 0.9527539917855221, 0.8978779536559356, 0.8610092604406384, 0.9173007000240345, 0.9756549425480852, 0.9625484939102208, 0.9669337934842822]|  1.0307203531265259|      0.50000000|[2197, 152, 0, 38]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      16|[0.6045176972692475, 0.6082049747632429, 0.5997707466801775, 0.6021612304840954, 0.6017663334851148, 0.6000465409387687, 0.601808749114049, 0.6026391573530633, 0.5988247509295863, 0.6052857439053586, 1.0950822292691158, -0.1926839196350736, 0.9541856949602561, 0.9511691378633123, 0.9523755833970945, 0.9527539917855221, 0.8978779536559356, 0.8610092604406384, 0.9173007000240345, 0.9756549425480852, 0.9625484939102208, 0.9669337934842822]|  1.0307203531265259|      0.25000000|[2371, 164, 0, 41]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
