k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      42|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 336, 0, 84]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      43|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 344, 0, 86]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      44|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 352, 0, 88]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      45|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 360, 0, 90]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      46|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 368, 0, 92]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      47|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 376, 0, 94]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      48|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 384, 0, 96]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      49|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 392, 0, 98]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      50|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 400, 0, 100]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      51|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 408, 0, 102]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      52|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 416, 0, 104]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      53|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 424, 0, 106]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      54|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 432, 0, 108]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      55|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 440, 0, 110]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      56|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 448, 0, 112]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      57|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 456, 0, 114]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      58|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 464, 0, 116]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      59|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 472, 0, 118]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      60|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 480, 0, 120]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      61|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 488, 0, 122]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      62|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 496, 0, 124]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      63|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 504, 0, 126]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      64|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 512, 0, 128]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      65|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 520, 0, 130]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      66|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 528, 0, 132]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      67|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 536, 0, 134]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      68|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 544, 0, 136]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      69|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 552, 0, 138]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      70|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 560, 0, 140]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      71|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 568, 0, 142]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      72|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 576, 0, 144]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      73|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 584, 0, 146]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      74|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 592, 0, 148]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      75|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 600, 0, 150]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      76|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 608, 0, 152]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      77|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 616, 0, 154]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      78|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 624, 0, 156]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      79|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 632, 0, 158]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      80|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 640, 0, 160]                                                        |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
