k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      12|[1.3142712119564528, 0.0420912574581835, 0.1874840249074333, 2.0931413177970164, 0.0619161486290569, 0.2166089823753196, 0.2287448744540684, -0.2651714354464755, -0.2621332469510844, -0.1349267340933161, -0.3738682796846227, -0.0601042183785471, 0.1447736714397861, -0.3337809138621401, -0.0998056807513021, -0.1834832043375983, 0.0843922454022007, 0.3296587907590793, 0.1206156829864081, 0.2678509552083195, -0.477449168269673, 0.0227728746115991]| 12.1441335678100586|      0.01000000|[636, 96, 0, 24]                                                           |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      13|[1.3142712119564528, 0.0420912574581835, 0.1874840249074333, 2.0931413177970164, 0.0619161486290569, 0.2166089823753196, 0.2287448744540684, -0.2651714354464755, -0.2621332469510844, -0.1349267340933161, -0.3738682796846227, -0.0601042183785471, 0.1447736714397861, -0.3337809138621401, -0.0998056807513021, -0.1834832043375983, 0.0843922454022007, 0.3296587907590793, 0.1206156829864081, 0.2678509552083195, -0.477449168269673, 0.0227728746115991]| 12.1441335678100586|      0.00100000|[688, 104, 0, 26]                                                          |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      14|[1.313860060797832, 0.0417997496498366, 0.1875976701017104, 2.093753883190852, 0.0619992724231676, 0.2165994525558508, 0.2287916775820218, -0.2650943520718932, -0.2621615152772632, -0.1345861112536413, -0.3738578734088798, -0.0602656368204477, 0.1448577695543008, -0.3337887452048577, -0.0997815236702868, -0.1834362976830627, 0.0840794624169778, 0.32952802632886, 0.1206787288829824, 0.2678387707585358, -0.4775447067377575, 0.0230210788600308]| 12.1441316604614258|      0.01000000|[740, 112, 0, 28]                                                          |  | trying linear partial model with 29 points | iterate success | actual_k=4
      15|[1.313860060797832, 0.0417997496498366, 0.1875976701017104, 2.093753883190852, 0.0619992724231676, 0.2165994525558508, 0.2287916775820218, -0.2650943520718932, -0.2621615152772632, -0.1345861112536413, -0.3738578734088798, -0.0602656368204477, 0.1448577695543008, -0.3337887452048577, -0.0997815236702868, -0.1834362976830627, 0.0840794624169778, 0.32952802632886, 0.1206787288829824, 0.2678387707585358, -0.4775447067377575, 0.0230210788600308]| 12.1441316604614258|      0.00100000|[793, 120, 0, 30]                                                          |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      16|[1.3135100914885565, 0.0415380271062255, 0.1879920817974368, 2.0944311311144754, 0.0621028639127926, 0.2165487431608387, 0.2289476853418268, -0.2649853016949604, -0.2622194002149293, -0.1346112243348529, -0.374027479591469, -0.0603237733756419, 0.1448251908762494, -0.3336338905141503, -0.0997421388021094, -0.1836124429931446, 0.0841190633264676, 0.3296485511347881, 0.1205128018978623, 0.2678335814917345, -0.4776251416967833, 0.0230584197569997]| 12.1441297531127930|      0.01000000|[845, 128, 0, 32]                                                          |  | trying linear partial model with 29 points | iterate success | actual_k=4
      17|[1.3135100914885565, 0.0415380271062255, 0.1879920817974368, 2.0944311311144754, 0.0621028639127926, 0.2165487431608387, 0.2289476853418268, -0.2649853016949604, -0.2622194002149293, -0.1346112243348529, -0.374027479591469, -0.0603237733756419, 0.1448251908762494, -0.3336338905141503, -0.0997421388021094, -0.1836124429931446, 0.0841190633264676, 0.3296485511347881, 0.1205128018978623, 0.2678335814917345, -0.4776251416967833, 0.0230584197569997]| 12.1441297531127930|      0.00100000|[898, 136, 0, 34]                                                          |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      18|[1.3130944813968606, 0.0412665271268213, 0.1882142786350348, 2.095087436616242, 0.0620523522500961, 0.2166712191283103, 0.2288232943014216, -0.2648975243456083, -0.2620721426088039, -0.1345852788728738, -0.373804397931891, -0.0603522495629579, 0.1447033538885202, -0.3335976881276742, -0.0996708811179503, -0.1834695286829931, 0.0839043481266726, 0.3296516250457171, 0.1206057348303858, 0.2678350999803468, -0.4773791067972652, 0.0230051046858321]| 12.1441278457641602|      0.01000000|[950, 144, 0, 36]                                                          |  | trying linear partial model with 29 points | iterate success | actual_k=4
      19|[1.3130944813968606, 0.0412665271268213, 0.1882142786350348, 2.095087436616242, 0.0620523522500961, 0.2166712191283103, 0.2288232943014216, -0.2648975243456083, -0.2620721426088039, -0.1345852788728738, -0.373804397931891, -0.0603522495629579, 0.1447033538885202, -0.3335976881276742, -0.0996708811179503, -0.1834695286829931, 0.0839043481266726, 0.3296516250457171, 0.1206057348303858, 0.2678350999803468, -0.4773791067972652, 0.0230051046858321]| 12.1441278457641602|      0.00100000|[1002, 152, 0, 38]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      20|[1.3126372843781178, 0.0411337568180615, 0.1884217184617861, 2.095783956249954, 0.0620394473885388, 0.2165465724186679, 0.228619090991682, -0.2649747944899071, -0.2621694377889321, -0.134396271207332, -0.3737483572463769, -0.0602011504278024, 0.1446098417910649, -0.3334951863261191, -0.0996725771657958, -0.1835291105060346, 0.0839806212508682, 0.3298403896232271, 0.1206145069253387, 0.267794418626296, -0.4775057360834724, 0.0228359398772101]| 12.1441259384155273|      0.01000000|[1054, 160, 0, 40]                                                         |  | trying linear partial model with 29 points | iterate success | actual_k=4
      21|[1.3126372843781178, 0.0411337568180615, 0.1884217184617861, 2.095783956249954, 0.0620394473885388, 0.2165465724186679, 0.228619090991682, -0.2649747944899071, -0.2621694377889321, -0.134396271207332, -0.3737483572463769, -0.0602011504278024, 0.1446098417910649, -0.3334951863261191, -0.0996725771657958, -0.1835291105060346, 0.0839806212508682, 0.3298403896232271, 0.1206145069253387, 0.267794418626296, -0.4775057360834724, 0.0228359398772101]| 12.1441259384155273|      0.00100000|[1106, 168, 0, 42]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
