k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      1.00000000|[0, 0, 0, 0]                                                               | 
      17|[94.90000014497672, 0.0090328882965079, 90.09999983682523, 112.99999916695934, 20.000000089135558, 73.79999909695005, 140.00000082888275, 20.000000396969483]|18899.7910156250000000|      0.00001000|[511, 200, 0, 50]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      18|[94.90000014497672, 0.0090328882965079, 90.09999983682523, 112.99999916695934, 20.000000089135558, 73.79999909695005, 140.00000082888275, 20.000000396969483]|18899.7910156250000000|      0.00000100|[542, 212, 0, 53]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      19|[94.90000014770757, 0.0090338852312551, 90.0999998258073, 112.99999911034074, 20.000000096517144, 73.7999991054923, 140.00000087902222, 20.00000040901795]|18899.7167968750000000|      0.00001000|[563, 220, 0, 55]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      20|[94.90000014770757, 0.0090338852312551, 90.0999998258073, 112.99999911034074, 20.000000096517144, 73.7999991054923, 140.00000087902222, 20.00000040901795]|18899.7167968750000000|      0.00000100|[594, 232, 0, 58]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      21|[94.90000042486204, 0.0090346933810401, 90.09999985482865, 112.99999901893742, 20.000000320300416, 73.79999871484445, 140.0000009426222, 20.000000176310266]|18899.6601562500000000|      0.00001000|[615, 240, 0, 60]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      22|[94.90000042486204, 0.0090346933810401, 90.09999985482865, 112.99999901893742, 20.000000320300416, 73.79999871484445, 140.0000009426222, 20.000000176310266]|18899.6601562500000000|      0.00000100|[653, 256, 0, 64]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      23|[94.900000295497, 0.0090355583990744, 90.09999986014915, 112.99999886326341, 19.99999997798059, 73.79999865507281, 140.00000064638573, 20.000000129042604]|18899.6035156250000000|      0.00001000|[675, 264, 0, 66]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      24|[94.900000295497, 0.0090355583990744, 90.09999986014915, 112.99999886326341, 19.99999997798059, 73.79999865507281, 140.00000064638573, 20.000000129042604]|18899.6035156250000000|      0.00000100|[706, 276, 0, 69]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      25|[94.90000034812195, 0.009036455848068, 90.09999992877232, 112.99999875543973, 20.000000173321393, 73.7999987375723, 140.0000009985581, 20.000000048474305]|18899.5468750000000000|      0.00001000|[727, 284, 0, 71]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      26|[94.90000034812195, 0.009036455848068, 90.09999992877232, 112.99999875543973, 20.000000173321393, 73.7999987375723, 140.0000009985581, 20.000000048474305]|18899.5468750000000000|      0.00000100|[766, 300, 0, 75]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      27|[94.90000017739324, 0.009037412640865, 90.09999994803971, 112.99999856866367, 20.000000180000242, 73.7999987593579, 140.00000091331836, 20.00000015963945]|18899.4941406250000000|      0.00001000|[787, 308, 0, 77]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      28|[94.90000017739324, 0.009037412640865, 90.09999994803971, 112.99999856866367, 20.000000180000242, 73.7999987593579, 140.00000091331836, 20.00000015963945]|18899.4941406250000000|      0.00000100|[818, 320, 0, 80]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      29|[94.90000039140232, 0.0090383342133888, 90.09999999392977, 112.99999877879353, 20.00000020353726, 73.79999856287259, 140.00000102192155, 20.000000071954634]|18899.4472656250000000|      0.00001000|[839, 328, 0, 82]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      30|[94.90000039140232, 0.0090383342133888, 90.09999999392977, 112.99999877879353, 20.00000020353726, 73.79999856287259, 140.00000102192155, 20.000000071954634]|18899.4472656250000000|      0.00000100|[870, 340, 0, 85]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      31|[94.90000039585489, 0.0090393267555461, 90.10000000376478, 112.99999869193361, 20.000000211083076, 73.79999856211317, 140.0000011054426, 20.000000084822663]|18899.4003906250000000|      0.00001000|[892, 348, 0, 87]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
