k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      21|[-0.1839977726256831, -0.0892391377009595, -0.0399568778138408, -0.0360790051164004, -0.0432397027267504, -0.0517337704512953, -0.0677971528966119, -0.0785728706061328, -0.0855646422569913, -0.0866145118806917, -0.0875042335992295, -0.1003862327476649, -0.1123415302109848, -0.124085999700249, -0.1286547810590293, -0.1374117994623158, -0.1466261898677297, -0.1435356584408775, -0.1472590403345707, -0.1511652742611959, -0.1709750751667517, -0.1732439440816632, -0.1773095483781309, -0.1869344300587441, -0.1917275545678715, -0.2010271805480025, -0.1926223499282452, -0.1988559778872883, -0.1926308287792184, -0.200694935603327, -0.2159222844680496, -0.2248932781268476, -0.2267792357530508, -0.21917980425116, -0.2255748990263883, -0.2310573719243184, -0.2328532240861599, -0.2393822930133591, -0.2347660072698582, -0.2427610251594711, -0.2525376330634191, -0.2455881245706015, -0.2436988656873659, -0.2414142341572384, -0.2454174061729177, -0.2577725345131077, -0.2472354841947919, -0.2357276928527905, -0.2391395097399267, -0.2496016398544304, -0.2521447985142497, -0.2570433293461663, -0.2532879216200761, -0.2494416136386556, -0.253318767383112, -0.2498869812828211, -0.2371321405265206, -0.2358117205978139, -0.2400933355359059, -0.2467786014918075, -0.2447114772113487, -0.2382634491144908, -0.2363070309744912, -0.2384147043423469, -0.2312221040482323, -0.2323640736510977, -0.2207384649229369, -0.2196352025847481, -0.2131451883891417, -0.2058857079943021, -0.2013950244103005, -0.2055324564394788, -0.2096567016942017, -0.1955124161725016, -0.1887098857404511, -0.18420683099009, -0.1846093734546967, -0.1910424085530913, -0.182754600064784, -0.1737111777645609, -0.1592103070081106, -0.1485441064094494, -0.1536524460797184, -0.1489264824941518, -0.1424471678578915, -0.1301861283806396, -0.1239688684784038, -0.1129022119015037, -0.1054893273329829, -0.0972897342028489, -0.0934041406010287, -0.0760362426244319, -0.0761798613943505, -0.0710411294749666, -0.0658686975522809, -0.0453444031146533, -0.0312555926399666, -0.0261258241209136, -0.0892898969104276, -0.1906253091978848]| 99.4575729370117188|      0.20000000|[4951, 294, 0, 42]                                                         |  | trying linear partial model with 122 points | iterate success | actual_k=7
      22|[-0.1839977726256831, -0.0892391377009595, -0.0399568778138408, -0.0360790051164004, -0.0432397027267504, -0.0517337704512953, -0.0677971528966119, -0.0785728706061328, -0.0855646422569913, -0.0866145118806917, -0.0875042335992295, -0.1003862327476649, -0.1123415302109848, -0.124085999700249, -0.1286547810590293, -0.1374117994623158, -0.1466261898677297, -0.1435356584408775, -0.1472590403345707, -0.1511652742611959, -0.1709750751667517, -0.1732439440816632, -0.1773095483781309, -0.1869344300587441, -0.1917275545678715, -0.2010271805480025, -0.1926223499282452, -0.1988559778872883, -0.1926308287792184, -0.200694935603327, -0.2159222844680496, -0.2248932781268476, -0.2267792357530508, -0.21917980425116, -0.2255748990263883, -0.2310573719243184, -0.2328532240861599, -0.2393822930133591, -0.2347660072698582, -0.2427610251594711, -0.2525376330634191, -0.2455881245706015, -0.2436988656873659, -0.2414142341572384, -0.2454174061729177, -0.2577725345131077, -0.2472354841947919, -0.2357276928527905, -0.2391395097399267, -0.2496016398544304, -0.2521447985142497, -0.2570433293461663, -0.2532879216200761, -0.2494416136386556, -0.253318767383112, -0.2498869812828211, -0.2371321405265206, -0.2358117205978139, -0.2400933355359059, -0.2467786014918075, -0.2447114772113487, -0.2382634491144908, -0.2363070309744912, -0.2384147043423469, -0.2312221040482323, -0.2323640736510977, -0.2207384649229369, -0.2196352025847481, -0.2131451883891417, -0.2058857079943021, -0.2013950244103005, -0.2055324564394788, -0.2096567016942017, -0.1955124161725016, -0.1887098857404511, -0.18420683099009, -0.1846093734546967, -0.1910424085530913, -0.182754600064784, -0.1737111777645609, -0.1592103070081106, -0.1485441064094494, -0.1536524460797184, -0.1489264824941518, -0.1424471678578915, -0.1301861283806396, -0.1239688684784038, -0.1129022119015037, -0.1054893273329829, -0.0972897342028489, -0.0934041406010287, -0.0760362426244319, -0.0761798613943505, -0.0710411294749666, -0.0658686975522809, -0.0453444031146533, -0.0312555926399666, -0.0261258241209136, -0.0892898969104276, -0.1906253091978848]| 99.4575729370117188|      0.04000000|[5186, 308, 0, 44]                                                         |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      23|[-0.1970443481008403, -0.1014255395578147, -0.0410912415340176, -0.0375542719749973, -0.0420598421020373, -0.0549361685352779, -0.0623486009344575, -0.0801884056569463, -0.0841680972702818, -0.0833674569226489, -0.0910443938761593, -0.0998597511145387, -0.1119223830555448, -0.1204804693409405, -0.1307896544427538, -0.1382834615031394, -0.1438363366715975, -0.1499797255979627, -0.1520142026121661, -0.1571397217532247, -0.1723190159634448, -0.1740022289434656, -0.1755918074900557, -0.1854911489212323, -0.1855067543249182, -0.2027124772478759, -0.1972316738200685, -0.1971556545455985, -0.1961733251591787, -0.1994600054822757, -0.2111095372825189, -0.2229855450820797, -0.2254481981930223, -0.2168894542403194, -0.2254734598379236, -0.2280341632626504, -0.2316413683739184, -0.2389125360279891, -0.2414419888002129, -0.2420898695845392, -0.2506568670209255, -0.2463657598241142, -0.2407838019967865, -0.239350085569283, -0.2420233920672701, -0.2577708081078485, -0.2501608545982767, -0.2301188042843481, -0.2402051690544147, -0.2450858370616526, -0.2516141705449733, -0.2561089845511667, -0.2534740418039182, -0.24809181629588, -0.2579274610583497, -0.2468440567613795, -0.2413772101190932, -0.2377183118114109, -0.2375643130999023, -0.2479852833699437, -0.243560101104085, -0.2399404434428045, -0.2397243717060235, -0.2343614443030796, -0.2311427417266109, -0.2322495498446847, -0.2205282494973176, -0.2219973089725286, -0.214455085961349, -0.2048487190843395, -0.2008415543983642, -0.201607537697361, -0.200617489349063, -0.198348979606712, -0.1849402487385938, -0.1817459248823521, -0.1915075621053865, -0.1815890652916727, -0.1834090016938115, -0.1700309853372271, -0.1581999195701069, -0.1491873585970683, -0.1500269544271245, -0.1476064332424703, -0.1421919311573548, -0.1306090432213049, -0.1270005136290198, -0.1122323949572785, -0.1071583209287481, -0.0998907723645911, -0.0890900696051694, -0.077649117778287, -0.0696854829083376, -0.0756071624415193, -0.0642643174531404, -0.0426454584495242, -0.0292360246536905, -0.0263159300702373, -0.1040427219283009, -0.1997733881168959]| 99.4255676269531250|      0.20000000|[5421, 322, 0, 46]                                                         |  | trying linear partial model with 122 points | iterate success | actual_k=7
      24|[-0.1970443481008403, -0.1014255395578147, -0.0410912415340176, -0.0375542719749973, -0.0420598421020373, -0.0549361685352779, -0.0623486009344575, -0.0801884056569463, -0.0841680972702818, -0.0833674569226489, -0.0910443938761593, -0.0998597511145387, -0.1119223830555448, -0.1204804693409405, -0.1307896544427538, -0.1382834615031394, -0.1438363366715975, -0.1499797255979627, -0.1520142026121661, -0.1571397217532247, -0.1723190159634448, -0.1740022289434656, -0.1755918074900557, -0.1854911489212323, -0.1855067543249182, -0.2027124772478759, -0.1972316738200685, -0.1971556545455985, -0.1961733251591787, -0.1994600054822757, -0.2111095372825189, -0.2229855450820797, -0.2254481981930223, -0.2168894542403194, -0.2254734598379236, -0.2280341632626504, -0.2316413683739184, -0.2389125360279891, -0.2414419888002129, -0.2420898695845392, -0.2506568670209255, -0.2463657598241142, -0.2407838019967865, -0.239350085569283, -0.2420233920672701, -0.2577708081078485, -0.2501608545982767, -0.2301188042843481, -0.2402051690544147, -0.2450858370616526, -0.2516141705449733, -0.2561089845511667, -0.2534740418039182, -0.24809181629588, -0.2579274610583497, -0.2468440567613795, -0.2413772101190932, -0.2377183118114109, -0.2375643130999023, -0.2479852833699437, -0.243560101104085, -0.2399404434428045, -0.2397243717060235, -0.2343614443030796, -0.2311427417266109, -0.2322495498446847, -0.2205282494973176, -0.2219973089725286, -0.214455085961349, -0.2048487190843395, -0.2008415543983642, -0.201607537697361, -0.200617489349063, -0.198348979606712, -0.1849402487385938, -0.1817459248823521, -0.1915075621053865, -0.1815890652916727, -0.1834090016938115, -0.1700309853372271, -0.1581999195701069, -0.1491873585970683, -0.1500269544271245, -0.1476064332424703, -0.1421919311573548, -0.1306090432213049, -0.1270005136290198, -0.1122323949572785, -0.1071583209287481, -0.0998907723645911, -0.0890900696051694, -0.077649117778287, -0.0696854829083376, -0.0756071624415193, -0.0642643174531404, -0.0426454584495242, -0.0292360246536905, -0.0263159300702373, -0.1040427219283009, -0.1997733881168959]| 99.4255676269531250|      0.04000000|[5657, 336, 0, 48]                                                         |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      25|[-0.2051492178913671, -0.1180622333179071, -0.0424227617383992, -0.0344975312567637, -0.0436989273129224, -0.0540981310601424, -0.0595040076885673, -0.0789127898759935, -0.0874611444704608, -0.0821100048446403, -0.0878009810936239, -0.1026007391003382, -0.1131933187508723, -0.1252258644020287, -0.1242217320180052, -0.1458385564672501, -0.1363642906822226, -0.1472300114569289, -0.1526230419454281, -0.1603251629955713, -0.1723316529655042, -0.1689024346568405, -0.1792916887108189, -0.187153584968645, -0.1828889314254607, -0.2006981034697513, -0.1990311419088386, -0.1957356082644132, -0.1973627426274997, -0.2014859696487357, -0.2116819919932398, -0.221142575043253, -0.2232838177172119, -0.2166507420060515, -0.2235861084437442, -0.2300941485214542, -0.227491834229455, -0.2410263126889618, -0.2389766947565043, -0.2415903333278265, -0.2481626686007534, -0.2479666350585447, -0.2399351657316028, -0.2391698290819974, -0.2458181145532535, -0.2581918995792493, -0.2516046965444683, -0.234324137413665, -0.2387633249432299, -0.242132838022767, -0.2531877565927133, -0.2568550676002165, -0.2549226340693043, -0.2544326797189903, -0.2520116419896983, -0.2471408960647838, -0.2445187211345786, -0.2398977637751388, -0.244191436104991, -0.2507050405332227, -0.2430966962206626, -0.2375543677733773, -0.2374514717863349, -0.2351644697296644, -0.2324156102816567, -0.2302701212724904, -0.2273575304485926, -0.2190064137325597, -0.2043348340217166, -0.2031132197117912, -0.2063755760688367, -0.2003291738928757, -0.1987765488694921, -0.2016814188302212, -0.1848245255496037, -0.1878301161208181, -0.1913023065092585, -0.1868070207359746, -0.1815374063574445, -0.1698015459689748, -0.1527816569606272, -0.1477944033072532, -0.1504807212772351, -0.1486156030455136, -0.1415126933410701, -0.1280389680576523, -0.1276451866266765, -0.1130118545983072, -0.1060051433206155, -0.1028206132237704, -0.0893088337810964, -0.0765968302588659, -0.0711378340910505, -0.078501832911271, -0.0634960816307557, -0.0405232944327291, -0.0229687042310763, -0.0364397618122896, -0.1125775072246235, -0.210744132580667]| 99.3955917358398438|      0.20000000|[5892, 350, 0, 50]                                                         |  | trying linear partial model with 122 points | iterate success | actual_k=7
      26|[-0.2051492178913671, -0.1180622333179071, -0.0424227617383992, -0.0344975312567637, -0.0436989273129224, -0.0540981310601424, -0.0595040076885673, -0.0789127898759935, -0.0874611444704608, -0.0821100048446403, -0.0878009810936239, -0.1026007391003382, -0.1131933187508723, -0.1252258644020287, -0.1242217320180052, -0.1458385564672501, -0.1363642906822226, -0.1472300114569289, -0.1526230419454281, -0.1603251629955713, -0.1723316529655042, -0.1689024346568405, -0.1792916887108189, -0.187153584968645, -0.1828889314254607, -0.2006981034697513, -0.1990311419088386, -0.1957356082644132, -0.1973627426274997, -0.2014859696487357, -0.2116819919932398, -0.221142575043253, -0.2232838177172119, -0.2166507420060515, -0.2235861084437442, -0.2300941485214542, -0.227491834229455, -0.2410263126889618, -0.2389766947565043, -0.2415903333278265, -0.2481626686007534, -0.2479666350585447, -0.2399351657316028, -0.2391698290819974, -0.2458181145532535, -0.2581918995792493, -0.2516046965444683, -0.234324137413665, -0.2387633249432299, -0.242132838022767, -0.2531877565927133, -0.2568550676002165, -0.2549226340693043, -0.2544326797189903, -0.2520116419896983, -0.2471408960647838, -0.2445187211345786, -0.2398977637751388, -0.244191436104991, -0.2507050405332227, -0.2430966962206626, -0.2375543677733773, -0.2374514717863349, -0.2351644697296644, -0.2324156102816567, -0.2302701212724904, -0.2273575304485926, -0.2190064137325597, -0.2043348340217166, -0.2031132197117912, -0.2063755760688367, -0.2003291738928757, -0.1987765488694921, -0.2016814188302212, -0.1848245255496037, -0.1878301161208181, -0.1913023065092585, -0.1868070207359746, -0.1815374063574445, -0.1698015459689748, -0.1527816569606272, -0.1477944033072532, -0.1504807212772351, -0.1486156030455136, -0.1415126933410701, -0.1280389680576523, -0.1276451866266765, -0.1130118545983072, -0.1060051433206155, -0.1028206132237704, -0.0893088337810964, -0.0765968302588659, -0.0711378340910505, -0.078501832911271, -0.0634960816307557, -0.0405232944327291, -0.0229687042310763, -0.0364397618122896, -0.1125775072246235, -0.210744132580667]| 99.3955917358398438|      0.04000000|[6128, 364, 0, 52]                                                         |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      27|[-0.2202834888592113, -0.1275644602555681, -0.0459388400453759, -0.0352894501705408, -0.0454577281541498, -0.0554619556051483, -0.063945525606996, -0.0785024495251563, -0.0909360729632952, -0.0795136484702868, -0.0848301053195407, -0.1018653713502073, -0.1141932400912867, -0.122547328754134, -0.1267475928575363, -0.1419843952877455, -0.1384402950548698, -0.1456934749424188, -0.1532531997170613, -0.1633005737491267, -0.1662272993545597, -0.1729508372992124, -0.1761828466467023, -0.1813182780946047, -0.1802167357518185, -0.1962790549581472, -0.2015746661176477, -0.1973525044370583, -0.1976616324703324, -0.2007917722186474, -0.2111956803526448, -0.2230904323775179, -0.2255892827617338, -0.2162042165834985, -0.2294096415595105, -0.233379556976649, -0.2347083421301557, -0.2380451802590417, -0.2400373014230492, -0.2440552931526975, -0.249696162466243, -0.2493776015448093, -0.2344237673069216, -0.2318379932904545, -0.2495793089680967, -0.2539714051647829, -0.2538782839021569, -0.2335792082599252, -0.2343926565866322, -0.2393655470947788, -0.2506656877438435, -0.2509878476038714, -0.2549666579760196, -0.2559603846540352, -0.2523557295486865, -0.2537957686485978, -0.2431163200272869, -0.2389466139132376, -0.2504426972772649, -0.2499290931110016, -0.2435627070061885, -0.2396561050570938, -0.2348118464240818, -0.2323605223591605, -0.2319481317460979, -0.2336351959335105, -0.226483168862859, -0.2189895584793498, -0.2060359295035785, -0.2027327827183872, -0.2056243692056545, -0.1979787763480963, -0.1989165382944897, -0.196144038471669, -0.1835334182532036, -0.1875921870433513, -0.1843629738269268, -0.1898979763729896, -0.1826627678089574, -0.172681566333507, -0.1532253987845521, -0.1511986560871994, -0.1544004883245249, -0.1477733335991419, -0.1373162412457441, -0.135092121838598, -0.1262220443524998, -0.1174451565820649, -0.1015805329795796, -0.1009898305396714, -0.0923531113335767, -0.0792042016986646, -0.0700550971960265, -0.0804499738452037, -0.0594255740822446, -0.0364394764782297, -0.0230695213674464, -0.0427215960981032, -0.1223375348225715, -0.2234245919719768]| 99.3623352050781250|      0.20000000|[6363, 378, 0, 54]                                                         |  | trying linear partial model with 122 points | iterate success | actual_k=7
      28|[-0.2202834888592113, -0.1275644602555681, -0.0459388400453759, -0.0352894501705408, -0.0454577281541498, -0.0554619556051483, -0.063945525606996, -0.0785024495251563, -0.0909360729632952, -0.0795136484702868, -0.0848301053195407, -0.1018653713502073, -0.1141932400912867, -0.122547328754134, -0.1267475928575363, -0.1419843952877455, -0.1384402950548698, -0.1456934749424188, -0.1532531997170613, -0.1633005737491267, -0.1662272993545597, -0.1729508372992124, -0.1761828466467023, -0.1813182780946047, -0.1802167357518185, -0.1962790549581472, -0.2015746661176477, -0.1973525044370583, -0.1976616324703324, -0.2007917722186474, -0.2111956803526448, -0.2230904323775179, -0.2255892827617338, -0.2162042165834985, -0.2294096415595105, -0.233379556976649, -0.2347083421301557, -0.2380451802590417, -0.2400373014230492, -0.2440552931526975, -0.249696162466243, -0.2493776015448093, -0.2344237673069216, -0.2318379932904545, -0.2495793089680967, -0.2539714051647829, -0.2538782839021569, -0.2335792082599252, -0.2343926565866322, -0.2393655470947788, -0.2506656877438435, -0.2509878476038714, -0.2549666579760196, -0.2559603846540352, -0.2523557295486865, -0.2537957686485978, -0.2431163200272869, -0.2389466139132376, -0.2504426972772649, -0.2499290931110016, -0.2435627070061885, -0.2396561050570938, -0.2348118464240818, -0.2323605223591605, -0.2319481317460979, -0.2336351959335105, -0.226483168862859, -0.2189895584793498, -0.2060359295035785, -0.2027327827183872, -0.2056243692056545, -0.1979787763480963, -0.1989165382944897, -0.196144038471669, -0.1835334182532036, -0.1875921870433513, -0.1843629738269268, -0.1898979763729896, -0.1826627678089574, -0.172681566333507, -0.1532253987845521, -0.1511986560871994, -0.1544004883245249, -0.1477733335991419, -0.1373162412457441, -0.135092121838598, -0.1262220443524998, -0.1174451565820649, -0.1015805329795796, -0.1009898305396714, -0.0923531113335767, -0.0792042016986646, -0.0700550971960265, -0.0804499738452037, -0.0594255740822446, -0.0364394764782297, -0.0230695213674464, -0.0427215960981032, -0.1223375348225715, -0.2234245919719768]| 99.3623352050781250|      0.04000000|[6599, 392, 0, 56]                                                         |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      29|[-0.2263911129452553, -0.1413471883601728, -0.0543448041658944, -0.0348865693510624, -0.0481223498864192, -0.0573244143208685, -0.0667726619623217, -0.0765758746713039, -0.0855524073541144, -0.0816378778704525, -0.0857850134225461, -0.1020990210377009, -0.1087368727524573, -0.1248289981922559, -0.1293397483111186, -0.1464514676919678, -0.1391513712270178, -0.1432745279656833, -0.1516577252687757, -0.1610276739797685, -0.1683652017053122, -0.1700727026788426, -0.1798084896765764, -0.1829848585616831, -0.1825884369837142, -0.1945750068560171, -0.2012236115715597, -0.198373095011883, -0.1961598609916632, -0.200016593918031, -0.2153901465216222, -0.2207303214523248, -0.2308085433836804, -0.2149096031321481, -0.2262051172874307, -0.2341041131024428, -0.2375698353831536, -0.2410864485813713, -0.238954307626475, -0.2467970085665885, -0.247302583565043, -0.248650187583209, -0.2362987453545947, -0.2330265440645722, -0.2504090228362849, -0.2534009870287116, -0.2521249785088481, -0.23701435533187, -0.2322547980818183, -0.2382880275124187, -0.2481767011335424, -0.2560136315984431, -0.2552025166156408, -0.2524986182634011, -0.2495902014555982, -0.2521116776001049, -0.2480629739561379, -0.2419659072918317, -0.2496876066790383, -0.2479509693052777, -0.2490930606569758, -0.2355222319394024, -0.2339484062311359, -0.2342037726968707, -0.2277653206609241, -0.2331025001876517, -0.2277386029399468, -0.2207097615322798, -0.2095855259591229, -0.2021001521008552, -0.2002219515593595, -0.1986455914266265, -0.2041121667728408, -0.1909929834137027, -0.1819061088939051, -0.1785762258613482, -0.1817736702821613, -0.1903538039623555, -0.1856396279243271, -0.1721765375562537, -0.1557557167045983, -0.1521314828936959, -0.1497399170066345, -0.1519505560437772, -0.1406867029068916, -0.1361379622986073, -0.1239783684319124, -0.1080360061493853, -0.1052340759259324, -0.1011865742545486, -0.0970900665466306, -0.0801647466947894, -0.0737622457835167, -0.0738534369715248, -0.0585474984907239, -0.0393196682449716, -0.0202396344225556, -0.0468692547653791, -0.1374004247870953, -0.2351028470606341]| 99.3312301635742188|      0.20000000|[6835, 406, 0, 58]                                                         |  | trying linear partial model with 122 points | iterate success | actual_k=7
      30|[-0.2263911129452553, -0.1413471883601728, -0.0543448041658944, -0.0348865693510624, -0.0481223498864192, -0.0573244143208685, -0.0667726619623217, -0.0765758746713039, -0.0855524073541144, -0.0816378778704525, -0.0857850134225461, -0.1020990210377009, -0.1087368727524573, -0.1248289981922559, -0.1293397483111186, -0.1464514676919678, -0.1391513712270178, -0.1432745279656833, -0.1516577252687757, -0.1610276739797685, -0.1683652017053122, -0.1700727026788426, -0.1798084896765764, -0.1829848585616831, -0.1825884369837142, -0.1945750068560171, -0.2012236115715597, -0.198373095011883, -0.1961598609916632, -0.200016593918031, -0.2153901465216222, -0.2207303214523248, -0.2308085433836804, -0.2149096031321481, -0.2262051172874307, -0.2341041131024428, -0.2375698353831536, -0.2410864485813713, -0.238954307626475, -0.2467970085665885, -0.247302583565043, -0.248650187583209, -0.2362987453545947, -0.2330265440645722, -0.2504090228362849, -0.2534009870287116, -0.2521249785088481, -0.23701435533187, -0.2322547980818183, -0.2382880275124187, -0.2481767011335424, -0.2560136315984431, -0.2552025166156408, -0.2524986182634011, -0.2495902014555982, -0.2521116776001049, -0.2480629739561379, -0.2419659072918317, -0.2496876066790383, -0.2479509693052777, -0.2490930606569758, -0.2355222319394024, -0.2339484062311359, -0.2342037726968707, -0.2277653206609241, -0.2331025001876517, -0.2277386029399468, -0.2207097615322798, -0.2095855259591229, -0.2021001521008552, -0.2002219515593595, -0.1986455914266265, -0.2041121667728408, -0.1909929834137027, -0.1819061088939051, -0.1785762258613482, -0.1817736702821613, -0.1903538039623555, -0.1856396279243271, -0.1721765375562537, -0.1557557167045983, -0.1521314828936959, -0.1497399170066345, -0.1519505560437772, -0.1406867029068916, -0.1361379622986073, -0.1239783684319124, -0.1080360061493853, -0.1052340759259324, -0.1011865742545486, -0.0970900665466306, -0.0801647466947894, -0.0737622457835167, -0.0738534369715248, -0.0585474984907239, -0.0393196682449716, -0.0202396344225556, -0.0468692547653791, -0.1374004247870953, -0.2351028470606341]| 99.3312301635742188|      0.04000000|[7070, 420, 0, 60]                                                         |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      31|[-0.2390874133963219, -0.1530279829536116, -0.0620937191829041, -0.0364519349781267, -0.0441801003038841, -0.0580866426631696, -0.0605730969096741, -0.0768551098305935, -0.0793083410287194, -0.0860288533647993, -0.0810208753924792, -0.0962637066268153, -0.1137692090130868, -0.12103508482807, -0.1308545610853553, -0.1418039945385637, -0.1396749071924523, -0.1416096389911663, -0.1475908310564768, -0.162868526732721, -0.1719462716394914, -0.175653109807568, -0.175980443937312, -0.1866582570710296, -0.1846258380800862, -0.196236315003904, -0.203730064668517, -0.1958407692295595, -0.1910890878750661, -0.1998153487883736, -0.2122796996192537, -0.2250452956102261, -0.2237608437708214, -0.2190775572874458, -0.2228914729754189, -0.2293667133152301, -0.2412242205442399, -0.2427407407164606, -0.2364562738636383, -0.2444712398186483, -0.2475095609800937, -0.2490826325334141, -0.2405838161356041, -0.2354405276958516, -0.2499146532504045, -0.2562474700310019, -0.2528144362550483, -0.2363836796291387, -0.2305477812081908, -0.2424353822341314, -0.2466480319135235, -0.2528395662078393, -0.2522367297943114, -0.2518263677501705, -0.2527017688517273, -0.2511071887284663, -0.2507324275662277, -0.2393875910914399, -0.2516196528668962, -0.2463283138520219, -0.2498693517936128, -0.2353940794479389, -0.2327252547821685, -0.2346210144822116, -0.2325090411653321, -0.2258624327877198, -0.2260847555314419, -0.2218689423536729, -0.2077662250883861, -0.1986969908250821, -0.1969927343252291, -0.1947578097502145, -0.1997920657400127, -0.1895084329644404, -0.1824029593401414, -0.1780837051967895, -0.1852202961841159, -0.1872923422513616, -0.1854290912257263, -0.1741676850130642, -0.1603986336339617, -0.1505127949459718, -0.1490560347674729, -0.1447557416731683, -0.1427117042125226, -0.1353517236843726, -0.1245026302923304, -0.1086141954697759, -0.105175621456418, -0.1055314469907415, -0.0967606135296021, -0.0805445265785817, -0.0767160592056621, -0.0722543226602767, -0.0572322512673953, -0.0346288470738665, -0.0191146956134995, -0.0476435520670227, -0.1498959989630265, -0.2469848100708404]| 99.2987136840820312|      0.20000000|[7307, 434, 0, 62]                                                         |  | trying linear partial model with 122 points | iterate success | actual_k=7
      32|[-0.2390874133963219, -0.1530279829536116, -0.0620937191829041, -0.0364519349781267, -0.0441801003038841, -0.0580866426631696, -0.0605730969096741, -0.0768551098305935, -0.0793083410287194, -0.0860288533647993, -0.0810208753924792, -0.0962637066268153, -0.1137692090130868, -0.12103508482807, -0.1308545610853553, -0.1418039945385637, -0.1396749071924523, -0.1416096389911663, -0.1475908310564768, -0.162868526732721, -0.1719462716394914, -0.175653109807568, -0.175980443937312, -0.1866582570710296, -0.1846258380800862, -0.196236315003904, -0.203730064668517, -0.1958407692295595, -0.1910890878750661, -0.1998153487883736, -0.2122796996192537, -0.2250452956102261, -0.2237608437708214, -0.2190775572874458, -0.2228914729754189, -0.2293667133152301, -0.2412242205442399, -0.2427407407164606, -0.2364562738636383, -0.2444712398186483, -0.2475095609800937, -0.2490826325334141, -0.2405838161356041, -0.2354405276958516, -0.2499146532504045, -0.2562474700310019, -0.2528144362550483, -0.2363836796291387, -0.2305477812081908, -0.2424353822341314, -0.2466480319135235, -0.2528395662078393, -0.2522367297943114, -0.2518263677501705, -0.2527017688517273, -0.2511071887284663, -0.2507324275662277, -0.2393875910914399, -0.2516196528668962, -0.2463283138520219, -0.2498693517936128, -0.2353940794479389, -0.2327252547821685, -0.2346210144822116, -0.2325090411653321, -0.2258624327877198, -0.2260847555314419, -0.2218689423536729, -0.2077662250883861, -0.1986969908250821, -0.1969927343252291, -0.1947578097502145, -0.1997920657400127, -0.1895084329644404, -0.1824029593401414, -0.1780837051967895, -0.1852202961841159, -0.1872923422513616, -0.1854290912257263, -0.1741676850130642, -0.1603986336339617, -0.1505127949459718, -0.1490560347674729, -0.1447557416731683, -0.1427117042125226, -0.1353517236843726, -0.1245026302923304, -0.1086141954697759, -0.105175621456418, -0.1055314469907415, -0.0967606135296021, -0.0805445265785817, -0.0767160592056621, -0.0722543226602767, -0.0572322512673953, -0.0346288470738665, -0.0191146956134995, -0.0476435520670227, -0.1498959989630265, -0.2469848100708404]| 99.2987136840820312|      0.04000000|[7542, 448, 0, 64]                                                         |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
