k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|328350.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1204228128982485, 0.8891371385457978, 0.9162368772288607, 0.8987910448972936, 0.9563725612557777, 1.1002756153820532, 0.880423709942448, 0.8382158703822813, 1.1027521982397943, 1.0663923125608528, 1.0245065671006486, 1.066241126267525, 0.9608376442617946, 0.9945418031322001, 1.0635620124867693, 0.9191027558497332, 1.0908470967720094, 1.0719341994546865, 0.9921165294918227, 0.9640895832009397, 1.1446564323065103, 1.0639423265139147, 0.9986379245636336, 1.233824722585402, 1.1022986752914832, 0.9977396412266077, 0.9591050638936449, 1.061726216426238, 0.997386826541285, 1.0455736532940785, 1.1324811389878728, 1.1369433263667446, 1.0513462197206167, 0.8588800880952414, 1.0529221752654416, 0.9634763627770877, 0.9916871700007696, 1.0517820084937295, 1.0407576280637358, 1.1151627993468807, 0.927611475545688, 1.0147648042713344, 0.8957213700002123, 0.9611115726360225, 1.0797470724761762, 1.1485819234929675, 0.8639991693652074, 1.0784102169896106, 0.9889734458145502, 0.9516598164690268, 0.8839052594176908, 1.0093301742113239, 1.060260104908876, 0.8358845123950154, 0.9328798175502325, 0.8597708507225433, 1.2189656816653005, 1.0011723584427976, 0.9515973626523959, 1.1992102353503054, 1.025644283580855, 0.9857199181464372, 0.8406994817112097, 1.0345354439275067, 0.9025045307962047, 1.1743027715359797, 1.0582180934852685, 0.8669303365718026, 1.1774630190393447, 0.990598371275095, 1.0697890303024176, 1.1425749542662353, 0.9288990249774928, 1.015896812470385, 1.0982241881146084, 1.0923178075905167, 1.0752338853911219, 1.068630640463809, 1.148739133730049, 1.1033043742186752, 1.0636120688166169, 0.9919632192148135, 1.169364461152043, 1.0819432055958056, 1.0180877733094722, 1.075087021913209, 0.9179363112515317, 1.0180632797567495, 0.9108287472557948, 1.1704546821306374, 1.1097336041700532, 1.153400916041359, 1.1508445592036693, 1.2261333964964751, 1.0861058295925767, 1.1314363714591282, 1.079114772264047, 1.0387804911206673, 0.982149171226111, 1.0545015769138497]|327392.6562500000000000|      5.00000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[1.7038578865298004, 1.1959686048706832, 0.7801423755007564, 1.8770771186042858, 1.2990776237458088, 1.8269942309418874, 0.1941927085927732, 1.296029259651804, 1.2322674720548736, 0.9426797979816985, 1.501653903130135, 0.5062196891891333, 0.6967603501367795, 1.341089579960884, 0.42467387447506, 0.508196901688807, 1.863716141433795, 1.0408016445808586, 0.4545694407535649, 1.362280883420243, 1.1470409861424218, 0.1345665014422767, 1.1823816676503098, 0.8974006444470027, 1.9210735183442655, 0.2761966384361081, 0.3317534390675978, 0.7445394914066361, 1.0561676532297621, 1.1382885955148794, -0.022319583133759, 1.498136601591701, 0.5797862996064087, 1.7525534452507276, 1.0998581278639876, 0.5814985541931548, 1.760913870039385, 0.7808374209417834, 0.9128708060956379, 1.0192565330700172, -0.1715376809129207, 1.2221957058297483, 0.883660003372853, 1.3204506668481257, 1.0176567493515594, 0.7511924257679571, 0.766326448124208, 1.2818401817458143, 1.3145749771555906, 2.0861935865394057, 1.232038020672633, 1.2939994462481308, 1.3412257349498637, 1.53105233095849, 0.3490115828878895, 1.3643924760126387, 1.9145397845647643, 1.1826819347755015, 0.7847912701671083, 1.0688764186327993, 1.0712076024083679, 0.9556178656231712, 0.3688034084919357, 0.7162379819962543, 0.693347854932809, 0.4355010286335497, 1.068740248955482, 0.812642413554234, 1.7142949950811153, 0.8251118437322136, 1.1174276919883837, 1.7143693441397136, 1.1076800572369316, 0.5069307066602118, 0.7833422208904195, 1.8571531212474384, 1.2968729756961737, 1.0836501372011682, 1.3597328200428849, 1.0297691607975419, 1.6349309765086202, 1.0783495343631222, 0.7739487779514276, 2.147944349796768, 1.2423500181688496, 0.8849617455228707, 1.346581242325409, 1.081764483029471, 1.4989193207835734, 1.5689564661408046, 2.2921301218437558, 1.445610274698513, 2.1002504447248445, 1.1445005734454874, 1.4627195677616616, 1.8457005296065143, 0.8268453020663906, 1.5723849397885008, 1.4074887258611002, 0.4878535977768269]|322344.5937500000000000|     25.00000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       3|[-4.467013310594144, 5.12773226358139, 3.2875957767798534, 3.4235404598216856, -1.5427629157863638, 1.9457971709492101, -0.668076922227776, 3.882960350957543, -3.372603040129066, -1.0940240645493549, 1.4667212881400382, 2.2638061859285483, 2.7227778952598953, -0.3727721721197863, -0.0987154041145156, 0.9183712777727899, 0.3184066022571652, 0.5213722588840486, -1.7566180807023173, 1.7112738396379599, 3.97014098055147, 0.6631441752872992, 0.6607388680415497, 5.827149167692828, -0.7800455140698235, 3.3833798887304263, 1.6193906165070295, -1.6018935689929623, 4.92391508812698, 1.7787149388671875, -2.6031608639536508, 4.2486270875931345, 2.5135531278277927, 6.198843060767499, 3.2450588193330794, 1.4411259183784477, -0.315064459633779, 2.8734048996239583, 2.206068461737238, 4.3084462491238815, -2.6295504986914833, 1.8151647518142464, 0.3116154435504653, 0.9302080896739796, 5.285924320475538, 2.723024320721536, 1.2551056798561202, 2.0651016447718984, 0.2213155447161066, 1.97420418231931, 3.136659775240817, 2.757378750086448, 5.066948135341537, 0.5702637795056471, -1.949598833174087, 1.0355396362009635, 0.4186207804451525, 1.3854448183569137, -2.7631016126253307, 1.6434664053444137, 0.5581289281966815, -6.808860082135158, 3.006692734340721, -3.4126573668883635, 1.960844250138174, 0.7211044089948686, 3.3178818746366874, 3.202211212950634, 2.9194923420725365, 4.099629805880422, -0.2105286930463224, 3.3857441540066144, 4.247151817024629, 1.9831488145502918, 6.701234479000789, 4.410420839217814, 2.4773973749327673, 2.456656274246453, 4.064582310647621, 3.391173468128415, -0.4847249688439945, 0.2877088537909565, 1.6779553773996247, 5.902692689481222, 3.253329686702305, 5.721559055900824, 0.4152805169102056, -1.75803291769391, 1.2911993729438034, -0.6833538164371555, 2.3956112554755196, 4.118043480794603, 1.8932347993561707, -2.5720550112816216, 4.1830268615087025, 1.7586424572113595, 3.2602428624922406, 4.348123925761032, 4.0697559687289395, -0.3815577632659937]|260688.7968750000000000|    125.00000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       4|[-4.467013310594144, 5.12773226358139, 3.2875957767798534, 3.4235404598216856, -1.5427629157863638, 1.9457971709492101, -0.668076922227776, 3.882960350957543, -3.372603040129066, -1.0940240645493549, 1.4667212881400382, 2.2638061859285483, 2.7227778952598953, -0.3727721721197863, -0.0987154041145156, 0.9183712777727899, 0.3184066022571652, 0.5213722588840486, -1.7566180807023173, 1.7112738396379599, 3.97014098055147, 0.6631441752872992, 0.6607388680415497, 5.827149167692828, -0.7800455140698235, 3.3833798887304263, 1.6193906165070295, -1.6018935689929623, 4.92391508812698, 1.7787149388671875, -2.6031608639536508, 4.2486270875931345, 2.5135531278277927, 6.198843060767499, 3.2450588193330794, 1.4411259183784477, -0.315064459633779, 2.8734048996239583, 2.206068461737238, 4.3084462491238815, -2.6295504986914833, 1.8151647518142464, 0.3116154435504653, 0.9302080896739796, 5.285924320475538, 2.723024320721536, 1.2551056798561202, 2.0651016447718984, 0.2213155447161066, 1.97420418231931, 3.136659775240817, 2.757378750086448, 5.066948135341537, 0.5702637795056471, -1.949598833174087, 1.0355396362009635, 0.4186207804451525, 1.3854448183569137, -2.7631016126253307, 1.6434664053444137, 0.5581289281966815, -6.808860082135158, 3.006692734340721, -3.4126573668883635, 1.960844250138174, 0.7211044089948686, 3.3178818746366874, 3.202211212950634, 2.9194923420725365, 4.099629805880422, -0.2105286930463224, 3.3857441540066144, 4.247151817024629, 1.9831488145502918, 6.701234479000789, 4.410420839217814, 2.4773973749327673, 2.456656274246453, 4.064582310647621, 3.391173468128415, -0.4847249688439945, 0.2877088537909565, 1.6779553773996247, 5.902692689481222, 3.253329686702305, 5.721559055900824, 0.4152805169102056, -1.75803291769391, 1.2911993729438034, -0.6833538164371555, 2.3956112554755196, 4.118043480794603, 1.8932347993561707, -2.5720550112816216, 4.1830268615087025, 1.7586424572113595, 3.2602428624922406, 4.348123925761032, 4.0697559687289395, -0.3815577632659937]|260688.7968750000000000|     25.00000000|[209, 0, 0, 13]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[-4.109413922741857, 5.048804779399926, 3.576851759493449, 4.19832468385303, -1.309094048869369, 1.725992857584277, -1.5715162090191135, 5.661523537698887, -2.2433582532738434, 2.229724712945744, 0.9599018984868772, 3.688982168247148, 0.3288497248916724, 1.8175405838884697, -1.570140385180617, -1.5262569412392508, 1.9849161901390424, -0.8673023517942708, -3.4000067535849006, 1.9472730033568233, 3.620174533017327, 1.8989351543407769, 2.6567505226085255, 5.203956973775068, -1.8309907405926444, 7.680074650965853, -3.6728009781558484, -4.561731212137225, 4.946373696627097, 2.709149769122224, 2.0178689703067754, 7.339359043474948, 3.3970277020404325, 7.140929009110191, 3.067952911749707, 2.8876740654051556, 3.1702932134593693, 5.226357018650594, 0.8543832556388282, 5.501283121556323, -0.7819625735275217, 4.55988502919022, 1.8583032812142908, 5.519587286467612, 2.9200940274593163, -2.0503516124538086, -2.520807274959145, 0.6830464930236853, -4.741601668351663, 2.253153309432346, 1.874570243850134, 2.739866806318468, 3.2353605422670517, 2.880309550242652, -0.492531764925481, 2.5387934714078253, 2.4650065510545973, 1.6951489177595633, -5.328121710637989, -0.5756479728322113, -1.5289736139265522, -8.029635128091678, -1.9309881611828104, -2.617000678388234, 4.398304562473827, 1.6649453833035022, 9.387937376305981, 4.017396735658773, 2.424700490700381, 4.258331639605626, -3.6696889137294635, 1.4143510045599532, 3.366196761257665, 2.292054720845757, 6.401015801131139, 5.111787755330704, 5.4160597140748, -0.5441513295727685, 8.927429078817717, 4.983555199306579, -0.1288514755957177, 3.7745619545742777, 3.1319315712239373, 2.9964503796956623, 5.276544138904447, 7.002043373884171, -1.4612507793256113, 0.2327772808167239, 8.307587881517723, 1.3383567920950221, 5.5106300560351436, 4.462347308477306, 0.5384651765962742, -5.0845381657467845, 4.986649982257713, 3.5258843051331246, 7.9937446417717375, 7.57184525670133, -0.5350344215583274, -5.3479947889041854]|208623.5781250000000000|    125.00000000|[241, 0, 0, 15]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       6|[-4.109413922741857, 5.048804779399926, 3.576851759493449, 4.19832468385303, -1.309094048869369, 1.725992857584277, -1.5715162090191135, 5.661523537698887, -2.2433582532738434, 2.229724712945744, 0.9599018984868772, 3.688982168247148, 0.3288497248916724, 1.8175405838884697, -1.570140385180617, -1.5262569412392508, 1.9849161901390424, -0.8673023517942708, -3.4000067535849006, 1.9472730033568233, 3.620174533017327, 1.8989351543407769, 2.6567505226085255, 5.203956973775068, -1.8309907405926444, 7.680074650965853, -3.6728009781558484, -4.561731212137225, 4.946373696627097, 2.709149769122224, 2.0178689703067754, 7.339359043474948, 3.3970277020404325, 7.140929009110191, 3.067952911749707, 2.8876740654051556, 3.1702932134593693, 5.226357018650594, 0.8543832556388282, 5.501283121556323, -0.7819625735275217, 4.55988502919022, 1.8583032812142908, 5.519587286467612, 2.9200940274593163, -2.0503516124538086, -2.520807274959145, 0.6830464930236853, -4.741601668351663, 2.253153309432346, 1.874570243850134, 2.739866806318468, 3.2353605422670517, 2.880309550242652, -0.492531764925481, 2.5387934714078253, 2.4650065510545973, 1.6951489177595633, -5.328121710637989, -0.5756479728322113, -1.5289736139265522, -8.029635128091678, -1.9309881611828104, -2.617000678388234, 4.398304562473827, 1.6649453833035022, 9.387937376305981, 4.017396735658773, 2.424700490700381, 4.258331639605626, -3.6696889137294635, 1.4143510045599532, 3.366196761257665, 2.292054720845757, 6.401015801131139, 5.111787755330704, 5.4160597140748, -0.5441513295727685, 8.927429078817717, 4.983555199306579, -0.1288514755957177, 3.7745619545742777, 3.1319315712239373, 2.9964503796956623, 5.276544138904447, 7.002043373884171, -1.4612507793256113, 0.2327772808167239, 8.307587881517723, 1.3383567920950221, 5.5106300560351436, 4.462347308477306, 0.5384651765962742, -5.0845381657467845, 4.986649982257713, 3.5258843051331246, 7.9937446417717375, 7.57184525670133, -0.5350344215583274, -5.3479947889041854]|208623.5781250000000000|     25.00000000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-4.109413922741857, 5.048804779399926, 3.576851759493449, 4.19832468385303, -1.309094048869369, 1.725992857584277, -1.5715162090191135, 5.661523537698887, -2.2433582532738434, 2.229724712945744, 0.9599018984868772, 3.688982168247148, 0.3288497248916724, 1.8175405838884697, -1.570140385180617, -1.5262569412392508, 1.9849161901390424, -0.8673023517942708, -3.4000067535849006, 1.9472730033568233, 3.620174533017327, 1.8989351543407769, 2.6567505226085255, 5.203956973775068, -1.8309907405926444, 7.680074650965853, -3.6728009781558484, -4.561731212137225, 4.946373696627097, 2.709149769122224, 2.0178689703067754, 7.339359043474948, 3.3970277020404325, 7.140929009110191, 3.067952911749707, 2.8876740654051556, 3.1702932134593693, 5.226357018650594, 0.8543832556388282, 5.501283121556323, -0.7819625735275217, 4.55988502919022, 1.8583032812142908, 5.519587286467612, 2.9200940274593163, -2.0503516124538086, -2.520807274959145, 0.6830464930236853, -4.741601668351663, 2.253153309432346, 1.874570243850134, 2.739866806318468, 3.2353605422670517, 2.880309550242652, -0.492531764925481, 2.5387934714078253, 2.4650065510545973, 1.6951489177595633, -5.328121710637989, -0.5756479728322113, -1.5289736139265522, -8.029635128091678, -1.9309881611828104, -2.617000678388234, 4.398304562473827, 1.6649453833035022, 9.387937376305981, 4.017396735658773, 2.424700490700381, 4.258331639605626, -3.6696889137294635, 1.4143510045599532, 3.366196761257665, 2.292054720845757, 6.401015801131139, 5.111787755330704, 5.4160597140748, -0.5441513295727685, 8.927429078817717, 4.983555199306579, -0.1288514755957177, 3.7745619545742777, 3.1319315712239373, 2.9964503796956623, 5.276544138904447, 7.002043373884171, -1.4612507793256113, 0.2327772808167239, 8.307587881517723, 1.3383567920950221, 5.5106300560351436, 4.462347308477306, 0.5384651765962742, -5.0845381657467845, 4.986649982257713, 3.5258843051331246, 7.9937446417717375, 7.57184525670133, -0.5350344215583274, -5.3479947889041854]|208623.5781250000000000|      5.00000000|[465, 0, 0, 29]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-4.046399990952119, 5.18834483384028, 4.319874931221166, 4.084892449580061, -1.1141243812602084, 1.8770744094356682, -2.1054853338275996, 5.6874288722104085, -1.8535022679942854, 2.874085327498341, 1.1295139916640138, 3.350714649366858, 0.1576010155982114, 1.9972536563192742, -2.097998921824617, -2.9537744268978674, 0.936113692536471, -1.4033298137190313, -2.7000726250923766, 2.5033547655654305, 3.423399687881853, 2.700240356382274, 3.111898763455675, 6.1824416406661715, -1.7196278767942392, 6.867892872894161, -3.3240538567279563, -4.120236274191758, 4.963956095199711, 1.936738498426383, 1.8313654592599018, 7.687408187696579, 3.177347916161805, 6.862801750724875, 3.107479594735933, 2.5666265947675213, 4.002693439267902, 4.919856135915747, 0.7977706406594355, 5.470608549684326, -1.5352108625122027, 4.583639680129656, 1.3186812735640063, 6.130418761893813, 2.507377286450835, -1.707746405027524, -2.5161111500796887, 0.9944128241267984, -5.139790881111295, 2.408325104326031, 2.0895086766309827, 2.536364282142766, 3.7688853258157375, 2.8636871617859123, 0.2344776278621237, 2.3842791953878564, 2.5318954348759757, 1.4032061818357147, -4.744805908130758, -0.5078918278975321, -1.2117162033510152, -8.298774637497415, -2.0461744366208334, -2.5165252887648, 4.105377802091063, 2.0437217230677636, 9.285956005069881, 4.042191368348467, 2.91422812229804, 3.798265004215189, -3.415107073909267, 1.2351432416937156, 4.110919215984891, 2.5783363668983164, 5.944222319971729, 5.268067809750643, 5.858888849306589, -0.1310986333059042, 9.469833811155613, 5.092429415377185, -1.346136871018965, 4.26950127647895, 2.7503275417977204, 3.1929682413802407, 5.854431406393391, 6.885387895673106, -1.8171279756552625, 0.4500952913116506, 7.690298436447331, 1.0648445562285596, 6.091936429317388, 5.258015406569479, 0.310041057175153, -6.915366374145823, 4.857246236645093, 4.065019850049914, 7.728858849269126, 7.788433563925369, -0.1252112371779686, -6.147815199218209]|201288.4218750000000000|     25.00000000|[497, 0, 0, 31]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       9|[-4.046399990952119, 5.18834483384028, 4.319874931221166, 4.084892449580061, -1.1141243812602084, 1.8770744094356682, -2.1054853338275996, 5.6874288722104085, -1.8535022679942854, 2.874085327498341, 1.1295139916640138, 3.350714649366858, 0.1576010155982114, 1.9972536563192742, -2.097998921824617, -2.9537744268978674, 0.936113692536471, -1.4033298137190313, -2.7000726250923766, 2.5033547655654305, 3.423399687881853, 2.700240356382274, 3.111898763455675, 6.1824416406661715, -1.7196278767942392, 6.867892872894161, -3.3240538567279563, -4.120236274191758, 4.963956095199711, 1.936738498426383, 1.8313654592599018, 7.687408187696579, 3.177347916161805, 6.862801750724875, 3.107479594735933, 2.5666265947675213, 4.002693439267902, 4.919856135915747, 0.7977706406594355, 5.470608549684326, -1.5352108625122027, 4.583639680129656, 1.3186812735640063, 6.130418761893813, 2.507377286450835, -1.707746405027524, -2.5161111500796887, 0.9944128241267984, -5.139790881111295, 2.408325104326031, 2.0895086766309827, 2.536364282142766, 3.7688853258157375, 2.8636871617859123, 0.2344776278621237, 2.3842791953878564, 2.5318954348759757, 1.4032061818357147, -4.744805908130758, -0.5078918278975321, -1.2117162033510152, -8.298774637497415, -2.0461744366208334, -2.5165252887648, 4.105377802091063, 2.0437217230677636, 9.285956005069881, 4.042191368348467, 2.91422812229804, 3.798265004215189, -3.415107073909267, 1.2351432416937156, 4.110919215984891, 2.5783363668983164, 5.944222319971729, 5.268067809750643, 5.858888849306589, -0.1310986333059042, 9.469833811155613, 5.092429415377185, -1.346136871018965, 4.26950127647895, 2.7503275417977204, 3.1929682413802407, 5.854431406393391, 6.885387895673106, -1.8171279756552625, 0.4500952913116506, 7.690298436447331, 1.0648445562285596, 6.091936429317388, 5.258015406569479, 0.310041057175153, -6.915366374145823, 4.857246236645093, 4.065019850049914, 7.728858849269126, 7.788433563925369, -0.1252112371779686, -6.147815199218209]|201288.4218750000000000|      5.00000000|[609, 0, 0, 38]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[-3.812175789924653, 5.347249493571004, 4.634679250566878, 4.294606012787745, -1.7967378721035918, 1.7109288994726446, -2.2837447276547578, 4.421597125679261, -2.2849326871209144, 2.3235494732532382, 1.4715028599734374, 2.1942858401433583, 0.1830575249202798, 2.0694105552165785, -1.5871752409805502, -3.4964041199105766, 1.2262911883428993, -1.5495239247012058, -3.591802256113261, 3.4907160633372265, 3.0178282737444793, 2.646058882750787, 3.0934270113354745, 6.484846537047129, -2.125233486558808, 7.064832178594847, -3.656664678797408, -4.476266719175991, 5.612173085765594, 2.151621005124108, 1.9892561889049063, 7.283886067740603, 3.104927796889522, 6.612919288599985, 2.477277737525844, 2.055949420146124, 4.944337322321491, 4.757032640715407, 0.934024693888568, 6.025636669919658, -0.9624865268265755, 4.069063522338325, 1.9158208865416917, 5.648643146322547, 1.960058320578733, -1.5628401778662533, -2.8138031034056907, 1.1599507056760936, -5.553364575966363, 2.3953772105850857, 1.6192600998241402, 3.4095414560846633, 4.780937564024627, 3.3999168718678545, 0.7650933984844582, 2.3491562058247335, 3.1028625863085817, 1.7140289315430821, -5.691999879614209, -0.3437306258681527, -1.4900524906654882, -7.912317784333078, -2.537231532211088, -2.1251557077751557, 4.426106141741003, 1.8481507526194452, 8.640811040116505, 4.232717798154992, 3.269941022557207, 3.6875024564078243, -3.6181246687596214, 0.0653902258919152, 4.651784947820464, 2.061796774229877, 6.472837103788688, 4.854952615924244, 6.149728763761378, 0.0288254628785831, 8.706729418910239, 4.352753278985594, -1.2188261238304254, 4.305058767063718, 3.084983149319208, 3.822146738675167, 6.439503767965385, 7.309313434491029, -2.19319984767874, 0.4830932918783663, 8.573671545896463, 0.5210738853402084, 6.941384584501713, 5.35632169863929, -0.1158786848862785, -6.825353176982436, 4.862761876065906, 4.119265720304152, 8.006870041303403, 8.63275993786652, 0.0046392711019653, -5.672111670467718]|193280.4218750000000000|     25.00000000|[641, 0, 0, 40]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
