k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
      20|[1.1733806838584646, 0.896080438945943]                                         |  0.0406326428055763|      0.01000000|[151, 53, 0, 53]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1733806838584646, 0.896080438945943]                                         |  0.0406326428055763|      0.01000000|[154, 54, 0, 54]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1733806838584646, 0.896080438945943]                                         |  0.0406326428055763|      0.01000000|[157, 55, 0, 55]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1733806838584646, 0.896080438945943]                                         |  0.0406326428055763|      0.01000000|[160, 56, 0, 56]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1733806838584646, 0.896080438945943]                                         |  0.0406326428055763|      0.01000000|[163, 57, 0, 57]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      20|[1.1733806838584646, 0.896080438945943]                                         |  0.0406326428055763|      0.01000000|[166, 58, 0, 58]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.10000000|[171, 60, 0, 60]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      21|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.10000000|[174, 61, 0, 61]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.10000000|[177, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      21|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.10000000|[180, 63, 0, 63]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[185, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
