k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      30|[5.677260414209045, 30.622934595787687, 46.03467634295468, 41.72462865426551]   | 21.7145271301269531|      0.81000000|[320, 120, 0, 60]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      31|[5.677260414209045, 30.622934595787687, 46.03467634295468, 41.72462865426551]   | 21.7145271301269531|      0.72900000|[332, 124, 0, 62]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      32|[4.961849499083974, 30.49889985149301, 46.08998159427073, 41.75905152318329]    | 16.0363388061523438|      0.81000000|[342, 128, 0, 64]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      33|[4.961849499083974, 30.49889985149301, 46.08998159427073, 41.75905152318329]    | 16.0363388061523438|      0.72900000|[352, 132, 0, 66]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      34|[4.961849499083974, 30.49889985149301, 46.08998159427073, 41.75905152318329]    | 16.0363388061523438|      0.65610000|[364, 136, 0, 68]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      35|[4.318850310890424, 30.381654302542472, 46.14181471091225, 41.78326026649948]   | 11.6977844238281250|      0.72900000|[375, 140, 0, 70]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      36|[4.318850310890424, 30.381654302542472, 46.14181471091225, 41.78326026649948]   | 11.6977844238281250|      0.65610000|[386, 144, 0, 72]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      37|[4.318850310890424, 30.381654302542472, 46.14181471091225, 41.78326026649948]   | 11.6977844238281250|      0.59049000|[396, 148, 0, 74]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      38|[3.7359127318969474, 30.309790732688846, 46.19527931813304, 41.812232359966195] |  8.3976449966430664|      0.65610000|[407, 152, 0, 76]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      39|[3.7359127318969474, 30.309790732688846, 46.19527931813304, 41.812232359966195] |  8.3976449966430664|      0.59049000|[418, 156, 0, 78]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      40|[3.7359127318969474, 30.309790732688846, 46.19527931813304, 41.812232359966195] |  8.3976449966430664|      0.53144100|[428, 160, 0, 80]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      41|[3.7359127318969474, 30.309790732688846, 46.19527931813304, 41.812232359966195] |  8.3976449966430664|      0.47829690|[439, 164, 0, 82]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      42|[3.260542402104389, 30.26231546129192, 46.21456932409547, 41.825076361612176]   |  6.1332445144653320|      0.53144100|[450, 168, 0, 84]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      43|[3.260542402104389, 30.26231546129192, 46.21456932409547, 41.825076361612176]   |  6.1332445144653320|      0.47829690|[461, 172, 0, 86]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      44|[3.260542402104389, 30.26231546129192, 46.21456932409547, 41.825076361612176]   |  6.1332445144653320|      0.43046721|[471, 176, 0, 88]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
