k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      26|[0.0097963885664655, -0.00726369480701]                                         |  0.0000588033872191|      0.00390625|[167, 62, 0, 62]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      27|[0.0077185704328352, -0.0039559068957228]                                       |  0.0000297486221825|      0.00781250|[175, 65, 0, 65]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      28|[0.0077185704328352, -0.0039559068957228]                                       |  0.0000297486221825|      0.00390625|[181, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      29|[0.0077185704328352, -0.0039559068957228]                                       |  0.0000297486221825|      0.00195312|[187, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      30|[0.0058242884509354, -0.0044317146706425]                                       |  0.0000214936935663|      0.00390625|[192, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      31|[0.0039893279563743, -0.0009832789316588]                                       |  0.0000100024717540|      0.00781250|[199, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | iterate success | actual_k=1
      32|[0.0039893279563743, -0.0009832789316588]                                       |  0.0000100024717540|      0.00390625|[207, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      33|[0.0039893279563743, -0.0009832789316588]                                       |  0.0000100024717540|      0.00195312|[213, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      34|[0.0024072968626059, -0.0021286499999048]                                       |  0.0000045991951083|      0.00390625|[218, 81, 0, 81]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      35|[0.0024072968626059, -0.0021286499999048]                                       |  0.0000045991951083|      0.00195312|[225, 84, 0, 84]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      36|[0.0024072968626059, -0.0021286499999048]                                       |  0.0000045991951083|      0.00097656|[232, 87, 0, 87]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      37|[0.0016867560575052, -0.0014694874519766]                                       |  0.0000022034366793|      0.00195312|[237, 89, 0, 89]                                                           |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
